Date,SSAB-A.ST
2015-08-24,16.146438598632812
2015-08-25,16.622892379760742
2015-08-26,16.006872177124023
2015-08-27,16.810585021972656
2015-08-28,17.46991729736328
2015-08-31,17.113779067993164
2015-09-01,16.44000816345215
2015-09-02,16.281192779541016
2015-09-03,16.752832412719727
2015-09-04,16.021310806274414
2015-09-07,16.05499839782715
2015-09-08,16.170503616333008
2015-09-09,16.54107666015625
2015-09-10,15.87692928314209
2015-09-11,15.862492561340332
2015-09-14,15.549671173095703
2015-09-15,15.56411075592041
2015-09-16,15.56892204284668
2015-09-17,15.506357192993164
2015-09-18,15.049156188964844
2015-09-21,14.712268829345703
2015-09-22,14.019247055053711
2015-09-23,13.701613426208496
2015-09-24,13.258849143981934
2015-09-25,13.43210506439209
2015-09-28,12.522512435913086
2015-09-29,13.018218994140625
2015-09-30,13.793054580688477
2015-10-01,13.369539260864258
2015-10-02,14.471638679504395
2015-10-05,16.47369956970215
2015-10-06,16.045373916625977
2015-10-07,16.454448699951172
2015-10-08,17.007904052734375
2015-10-09,18.047435760498047
2015-10-12,17.71055030822754
2015-10-13,17.24372100830078
2015-10-14,17.493982315063477
2015-10-15,17.580610275268555
2015-10-16,17.49879264831543
2015-10-19,16.714332580566406
2015-10-20,16.363008499145508
2015-10-21,16.64214324951172
2015-10-22,15.463042259216309
2015-10-23,15.843243598937988
2015-10-26,15.333101272583008
2015-10-27,15.150221824645996
2015-10-28,15.496731758117676
2015-10-29,14.948088645935059
2015-10-30,14.875898361206055
2015-11-02,15.275347709655762
2015-11-03,15.997245788574219
2015-11-04,15.795117378234863
2015-11-05,15.309038162231445
2015-11-06,15.121346473693848
2015-11-09,15.265725135803223
2015-11-10,14.866275787353516
2015-11-11,14.933650016784668
2015-11-12,14.38019847869873
2015-11-13,14.173253059387207
2015-11-16,14.173253059387207
2015-11-17,14.226192474365234
2015-11-18,14.644890785217285
2015-11-19,14.611204147338867
2015-11-20,14.683393478393555
2015-11-23,14.683393478393555
2015-11-24,14.308008193969727
2015-11-25,14.279130935668945
2015-11-26,14.726707458496094
2015-11-27,14.534200668334961
2015-11-30,14.534200668334961
2015-12-01,14.322447776794434
2015-12-02,13.263662338256836
2015-12-03,12.888277053833008
2015-12-04,12.888277053833008
2015-12-07,12.195253372192383
2015-12-08,11.766927719116211
2015-12-09,11.766927719116211
2015-12-10,12.411825180053711
2015-12-11,12.108626365661621
2015-12-14,11.670676231384277
2015-12-15,11.969059944152832
2015-12-16,10.789960861206055
2015-12-17,10.506012916564941
2015-12-18,9.875556945800781
2015-12-21,9.692675590515137
2015-12-22,9.692675590515137
2015-12-23,10.93433952331543
2015-12-28,10.645580291748047
2015-12-29,10.833274841308594
2015-12-30,10.833274841308594
2016-01-04,10.881400108337402
2016-01-05,10.809210777282715
2016-01-07,10.53007698059082
2016-01-08,10.096938133239746
