Date,EQT
2015-08-03,37.70335388183594
2015-08-04,37.58258819580078
2015-08-05,37.45679473876953
2015-08-06,38.14615249633789
2015-08-07,37.37629318237305
2015-08-10,38.58895492553711
2015-08-11,38.29710388183594
2015-08-12,39.605892181396484
2015-08-13,39.4448127746582
2015-08-14,39.384403228759766
2015-08-17,39.500186920166016
2015-08-18,39.08238220214844
2015-08-19,37.964881896972656
2015-08-20,37.355777740478516
2015-08-21,37.37592697143555
2015-08-24,35.704708099365234
2015-08-25,35.83055877685547
2015-08-26,37.42123794555664
2015-08-27,38.73505401611328
2015-08-28,39.117618560791016
2015-08-31,39.17299270629883
2015-09-01,37.98500442504883
2015-09-02,37.94977951049805
2015-09-03,37.7886962890625
2015-09-04,36.827239990234375
2015-09-08,37.66284942626953
2015-09-09,36.69636154174805
2015-09-10,36.74669647216797
2015-09-11,36.54029846191406
2015-09-14,36.23325729370117
2015-09-15,36.80206298828125
2015-09-16,37.52190399169922
2015-09-17,37.57224655151367
2015-09-18,37.119197845458984
2015-09-21,37.14436721801758
2015-09-22,36.67622375488281
2015-09-23,36.293663024902344
2015-09-24,35.694637298583984
2015-09-25,35.241600036621094
2015-09-28,33.806968688964844
2015-09-29,32.74985885620117
2015-09-30,32.603885650634766
2015-10-01,32.58374786376953
2015-10-02,34.40597915649414
2015-10-05,35.80537414550781
2015-10-06,36.30875778198242
2015-10-07,36.83226776123047
2015-10-08,37.763526916503906
2015-10-09,37.496734619140625
2015-10-12,37.44136428833008
2015-10-13,37.07389831542969
2015-10-14,37.55714416503906
2015-10-15,38.50852584838867
2015-10-16,38.47832489013672
2015-10-19,37.82897186279297
2015-10-20,38.16119384765625
2015-10-21,37.391029357910156
2015-10-22,34.39087677001953
2015-10-23,34.954673767089844
2015-10-26,33.83213424682617
2015-10-27,32.221317291259766
2015-10-28,32.231388092041016
2015-10-29,33.4948616027832
2015-10-30,33.258277893066406
2015-11-02,33.36398696899414
2015-11-03,32.95121765136719
2015-11-04,33.575401306152344
2015-11-05,33.973079681396484
2015-11-06,33.84723663330078
2015-11-09,33.575401306152344
2015-11-10,33.59051513671875
2015-11-11,32.04446029663086
2015-11-12,31.379688262939453
2015-11-13,31.374656677246094
2015-11-16,31.973941802978516
2015-11-17,30.684709548950195
2015-11-18,30.548734664916992
2015-11-19,29.994773864746094
2015-11-20,29.6170711517334
2015-11-23,29.712753295898438
2015-11-24,29.97463035583496
2015-11-25,29.304834365844727
2015-11-27,28.912015914916992
2015-11-30,28.816329956054688
2015-12-01,28.88180160522461
2015-12-02,27.416309356689453
2015-12-03,27.048683166503906
2015-12-04,27.506956100463867
2015-12-07,26.73140525817871
2015-12-08,26.378883361816406
2015-12-09,26.061603546142578
2015-12-10,26.353702545166016
2015-12-11,25.28605842590332
2015-12-14,24.20833969116211
2015-12-15,24.32417106628418
2015-12-16,24.27884292602539
2015-12-17,24.047182083129883
2015-12-18,24.63640594482422
2015-12-21,24.958709716796875
2015-12-22,24.520570755004883
2015-12-23,26.132118225097656
2015-12-24,26.157297134399414
2015-12-28,26.20764923095703
2015-12-29,26.68104362487793
2015-12-30,25.890378952026367
2015-12-31,26.25298309326172
2016-01-04,26.766653060913086
2016-01-05,26.48967170715332
2016-01-06,24.943601608276367
2016-01-07,26.122037887573242
2016-01-08,27.42134666442871
2016-01-11,26.464494705200195
2016-01-12,25.714120864868164
2016-01-13,25.764482498168945
2016-01-14,26.20764923095703
2016-01-15,26.439315795898438
2016-01-19,26.832122802734375
2016-01-20,27.92495346069336
2016-01-21,28.025672912597656
2016-01-22,29.229293823242188
2016-01-25,28.34294319152832
2016-01-26,30.850900650024414
2016-01-27,30.201255798339844
2016-01-28,30.19117546081543
2016-01-29,31.09263038635254
2016-02-01,30.15592384338379
2016-02-02,29.264545440673828
2016-02-03,30.674644470214844
2016-02-04,30.09549331665039
2016-02-05,30.10556983947754
2016-02-08,30.10052490234375
2016-02-09,28.690431594848633
2016-02-10,29.601957321166992
2016-02-11,28.77100944519043
2016-02-12,29.783788681030273
2016-02-16,30.39347267150879
2016-02-17,31.4415283203125
2016-02-18,30.695789337158203
2016-02-19,29.672937393188477
2016-02-22,30.348119735717773
2016-02-23,27.964818954467773
2016-02-24,28.801239013671875
2016-02-25,28.30744743347168
2016-02-26,28.60976791381836
2016-02-29,28.085744857788086
2016-03-01,29.13379669189453
2016-03-02,29.703176498413086
2016-03-03,30.07099151611328
2016-03-04,28.388071060180664
2016-03-07,30.967891693115234
2016-03-08,29.20433807373047
2016-03-09,29.174104690551758
2016-03-10,30.227190017700195
2016-03-11,30.841915130615234
2016-03-14,30.584945678710938
2016-03-15,31.532217025756836
2016-03-16,32.610496520996094
2016-03-17,32.529884338378906
2016-03-18,33.12445831298828
2016-03-21,31.91012954711914
2016-03-22,32.111663818359375
2016-03-23,31.76904296875
2016-03-24,32.529884338378906
2016-03-28,32.91786193847656
2016-03-29,33.49228286743164
2016-03-30,33.42173385620117
2016-03-31,33.89033508300781
2016-04-01,33.628326416015625
2016-04-04,33.320960998535156
2016-04-05,32.46437454223633
2016-04-06,32.474456787109375
2016-04-07,32.81708526611328
2016-04-08,33.85002899169922
2016-04-11,32.90779113769531
2016-04-12,34.76707458496094
2016-04-13,34.35390090942383
2016-04-14,33.784523010253906
2016-04-15,33.44189453125
2016-04-18,34.046531677246094
2016-04-19,34.666297912597656
2016-04-20,34.469783782958984
2016-04-21,33.70390319824219
2016-04-22,34.500022888183594
2016-04-25,34.48994064331055
2016-04-26,34.923274993896484
2016-04-27,36.5003776550293
