Date,RAMCOCEM.NS
2015-08-21,342.77655029296875
2015-08-24,321.88836669921875
2015-08-25,328.0489196777344
2015-08-26,312.6475524902344
2015-08-27,314.2358703613281
2015-08-28,310.2411193847656
2015-08-31,312.7919616699219
2015-09-01,307.78656005859375
2015-09-02,301.9629211425781
2015-09-03,308.7010192871094
2015-09-04,306.72772216796875
2015-09-07,305.7169494628906
2015-09-08,307.1127014160156
2015-09-09,320.30010986328125
2015-09-10,313.513916015625
2015-09-11,311.6368713378906
2015-09-14,313.3213806152344
2015-09-15,305.813232421875
2015-09-16,309.90423583984375
2015-09-18,304.8987731933594
2015-09-21,305.2837829589844
2015-09-22,308.0752868652344
2015-09-23,307.97906494140625
2015-09-24,307.0645751953125
2015-09-28,305.04315185546875
2015-09-29,306.15008544921875
2015-09-30,314.86151123046875
2015-10-01,323.1397705078125
2015-10-05,323.81353759765625
2015-10-06,329.2040710449219
2015-10-07,330.40728759765625
2015-10-08,328.62646484375
2015-10-09,322.4659729003906
2015-10-12,320.540771484375
2015-10-13,321.455322265625
2015-10-14,320.5888671875
2015-10-15,324.9205627441406
2015-10-16,322.4659729003906
2015-10-19,334.3057861328125
2015-10-20,330.1666564941406
2015-10-21,327.85638427734375
2015-10-23,329.9259948730469
2015-10-26,328.241455078125
2015-10-27,328.241455078125
2015-10-28,333.4394226074219
2015-10-29,334.49822998046875
2015-10-30,348.3113708496094
2015-11-02,350.38092041015625
2015-11-03,356.6376647949219
2015-11-04,359.09228515625
2015-11-05,353.4612121582031
2015-11-06,359.1404113769531
2015-11-09,353.36492919921875
2015-11-10,351.4397277832031
2015-11-13,365.63787841796875
2015-11-16,362.3169860839844
2015-11-17,359.6697998046875
2015-11-18,354.7606201171875
2015-11-19,357.7928161621094
2015-11-20,361.4025573730469
2015-11-23,360.0067443847656
2015-11-24,360.5361633300781
2015-11-26,362.6538391113281
2015-11-27,364.4346618652344
2015-11-30,366.7449035644531
2015-12-01,363.616455078125
2015-12-02,365.3972473144531
2015-12-03,365.4452819824219
2015-12-04,363.0870361328125
2015-12-07,356.8302307128906
2015-12-08,357.3115234375
2015-12-09,352.113525390625
2015-12-10,353.6537170410156
2015-12-11,350.76593017578125
2015-12-14,357.8890075683594
2015-12-15,356.0119934082031
2015-12-16,359.3811340332031
2015-12-17,355.4344787597656
2015-12-18,350.76593017578125
2015-12-21,351.7285461425781
2015-12-22,352.35418701171875
2015-12-23,349.995849609375
2015-12-24,349.0814208984375
2015-12-28,358.4184875488281
2015-12-29,360.151123046875
2015-12-30,362.46136474609375
2015-12-31,374.5417785644531
2016-01-01,375.215576171875
2016-01-04,374.6380310058594
2016-01-05,383.4456787109375
2016-01-06,376.37060546875
2016-01-07,375.4081115722656
2016-01-08,375.7450256347656
2016-01-11,376.6594543457031
2016-01-12,373.771728515625
2016-01-13,374.2529602050781
2016-01-14,365.97479248046875
2016-01-15,362.1725769042969
