Date,DLG.L
2015-08-24,344.5205078125
2015-08-25,350.395263671875
2015-08-26,345.41656494140625
2015-08-27,349.6982727050781
2015-08-28,351.59014892578125
2015-09-01,346.6114807128906
2015-09-02,349.6982727050781
2015-09-03,352.4862976074219
2015-09-04,349.5986633300781
2015-09-07,350.8931579589844
2015-09-08,354.278564453125
2015-09-09,359.4563903808594
2015-09-10,362.6426696777344
2015-09-11,360.7508239746094
2015-09-14,359.555908203125
2015-09-15,363.63836669921875
2015-09-16,362.5430603027344
2015-09-17,362.7422180175781
2015-09-18,362.4434814453125
2015-09-21,363.439208984375
2015-09-22,360.15338134765625
2015-09-23,363.439208984375
2015-09-24,364.0367126464844
2015-09-25,369.4136047363281
2015-09-28,366.7251281738281
2015-09-29,365.0323486328125
2015-09-30,373.296875
2015-10-01,374.2926330566406
2015-10-02,374.9896240234375
2015-10-05,377.87725830078125
2015-10-06,375.28839111328125
2015-10-07,373.993896484375
2015-10-08,375.1886901855469
2015-10-09,373.79473876953125
2015-10-12,374.9896240234375
2015-10-13,373.3965148925781
2015-10-14,370.50885009765625
2015-10-15,374.39215087890625
2015-10-16,380.565673828125
2015-10-19,382.15887451171875
2015-10-20,382.75628662109375
2015-10-21,381.16314697265625
2015-10-22,388.0336608886719
2015-10-23,390.8216552734375
2015-10-26,391.4190673828125
2015-10-27,390.3236999511719
2015-10-28,393.7092590332031
2015-10-29,394.50579833984375
2015-10-30,392.7134704589844
2015-11-02,389.8258972167969
2015-11-03,393.11181640625
2015-11-04,393.11181640625
2015-11-05,389.5272216796875
2015-11-06,395.2028503417969
2015-11-09,392.7134704589844
2015-11-10,393.31097412109375
2015-11-11,399.18572998046875
2015-11-12,401.2767639160156
2015-11-13,396.2980651855469
2015-11-16,398.1900634765625
2015-11-17,402.47161865234375
2015-11-18,402.5711669921875
2015-11-19,404.263916015625
2015-11-20,399.88275146484375
2015-11-23,397.692138671875
2015-11-24,401.07757568359375
2015-11-25,405.3592834472656
2015-11-26,404.8613586425781
2015-11-27,406.45452880859375
2015-11-30,410.03912353515625
2015-12-01,412.5284118652344
2015-12-02,411.6322937011719
2015-12-03,405.9566345214844
2015-12-04,407.7489318847656
2015-12-07,407.2510681152344
2015-12-08,404.1643371582031
2015-12-09,403.76605224609375
2015-12-10,403.2681884765625
2015-12-11,397.2939147949219
2015-12-14,398.6878356933594
2015-12-15,408.2468566894531
2015-12-16,407.7489318847656
2015-12-17,406.1558532714844
2015-12-18,403.0689697265625
2015-12-21,402.86993408203125
2015-12-22,403.76605224609375
2015-12-23,407.2510681152344
2015-12-24,408.94390869140625
2015-12-29,410.2383117675781
2015-12-30,411.0347595214844
2015-12-31,405.75750732421875
2016-01-04,390.9212951660156
2016-01-05,384.64813232421875
2016-01-06,374.8900451660156
2016-01-07,369.91143798828125
2016-01-08,363.04095458984375
2016-01-11,360.65118408203125
2016-01-12,369.7122802734375
2016-01-13,371.0067138671875
2016-01-14,366.92425537109375
2016-01-15,368.01959228515625
2016-01-18,367.5216979980469
2016-01-19,370.0109558105469
2016-01-20,358.3609924316406
2016-01-21,358.0622863769531
2016-01-22,364.63409423828125
2016-01-25,368.2187194824219
2016-01-26,367.8204040527344
2016-01-27,375.8857116699219
2016-01-28,367.0238952636719
2016-01-29,372.99810791015625
2016-02-01,377.87725830078125
2016-02-02,375.28839111328125
2016-02-03,371.50469970703125
2016-02-04,369.91143798828125
2016-02-05,360.4520568847656
2016-02-08,349.2004089355469
2016-02-09,347.7067565917969
2016-02-10,354.278564453125
2016-02-11,348.6029357910156
2016-02-12,356.27001953125
2016-02-15,362.4434814453125
2016-02-16,364.23577880859375
2016-02-17,374.39215087890625
2016-02-18,373.993896484375
2016-02-19,373.0978088378906
2016-02-22,376.5827941894531
2016-02-23,375.587158203125
2016-02-24,371.9029235839844
2016-02-25,382.6567077636719
2016-02-26,387.137451171875
2016-02-29,386.9383544921875
2016-03-01,407.8484802246094
2016-03-02,406.05621337890625
2016-03-03,397.2939147949219
2016-03-04,396.99517822265625
2016-03-07,393.7092590332031
2016-03-08,390.3236999511719
2016-03-09,393.2113342285156
2016-03-10,357.1498107910156
2016-03-11,365.01788330078125
2016-03-14,365.11737060546875
2016-03-15,364.3206787109375
2016-03-16,370.8939514160156
2016-03-17,373.6826477050781
2016-03-18,373.9814758300781
2016-03-21,375.2761535644531
2016-03-22,378.6625061035156
2016-03-23,373.9814758300781
2016-03-24,368.4040832519531
2016-03-29,370.0971984863281
2016-03-30,371.4915771484375
2016-03-31,368.7029113769531
2016-04-01,362.6275329589844
2016-04-04,363.0259704589844
2016-04-05,358.0461730957031
2016-04-06,362.72723388671875
2016-04-07,359.0421447753906
2016-04-08,359.2413024902344
2016-04-11,353.8631591796875
2016-04-12,362.3287353515625
2016-04-13,366.2130432128906
2016-04-14,365.416259765625
2016-04-15,361.3327941894531
2016-04-18,358.54412841796875
2016-04-19,357.94659423828125
2016-04-20,354.0623474121094
2016-04-21,346.1943359375
2016-04-22,343.90362548828125
2016-04-25,346.59271240234375
2016-04-26,347.09063720703125
2016-04-27,350.77569580078125
2016-04-28,357.6477966308594
2016-04-29,360.43646240234375
2016-05-03,366.81060791015625
2016-05-04,369.49969482421875
2016-05-05,370.69488525390625
2016-05-06,375.475341796875
2016-05-09,378.4632263183594
2016-05-10,377.96533203125
2016-05-11,377.2680358886719
2016-05-12,371.9895324707031
2016-05-13,365.9142150878906
2016-05-16,368.0057373046875
2016-05-17,367.5077209472656
2016-05-18,368.1053771972656
2016-05-19,364.4203186035156
2016-05-20,366.51177978515625
2016-05-23,365.8146057128906
2016-05-24,372.4875793457031
2016-05-25,368.603271484375
2016-05-26,367.7070007324219
2016-05-27,370.29644775390625
2016-05-31,373.78228759765625
2016-06-01,373.4835510253906
