Date,RENUKA.NS
2015-08-21,8.100000381469727
2015-08-24,7.349999904632568
2015-08-25,7.400000095367432
2015-08-26,7.300000190734863
2015-08-27,7.349999904632568
2015-08-28,7.300000190734863
2015-08-31,7.449999809265137
2015-09-01,7.25
2015-09-02,7.699999809265137
2015-09-03,7.550000190734863
2015-09-04,7.199999809265137
2015-09-07,7.349999904632568
2015-09-08,7.300000190734863
2015-09-09,7.349999904632568
2015-09-10,7.349999904632568
2015-09-11,7.449999809265137
2015-09-14,7.400000095367432
2015-09-15,7.550000190734863
2015-09-16,7.349999904632568
2015-09-18,7.449999809265137
2015-09-21,7.550000190734863
2015-09-22,7.449999809265137
2015-09-23,7.449999809265137
2015-09-24,7.400000095367432
2015-09-28,7.699999809265137
2015-09-29,7.449999809265137
2015-09-30,7.199999809265137
2015-10-01,7.349999904632568
2015-10-05,7.550000190734863
2015-10-06,8.550000190734863
2015-10-07,10.100000381469727
2015-10-08,10.949999809265137
2015-10-09,11.5
2015-10-12,10.75
2015-10-13,11.050000190734863
2015-10-14,10.949999809265137
2015-10-15,10.649999618530273
2015-10-16,10.649999618530273
2015-10-19,10.800000190734863
2015-10-20,11.449999809265137
2015-10-21,12.149999618530273
2015-10-23,12.399999618530273
2015-10-26,11.850000381469727
2015-10-27,12.0
2015-10-28,11.75
2015-10-29,11.75
2015-10-30,11.449999809265137
2015-11-02,11.449999809265137
2015-11-03,11.800000190734863
2015-11-04,11.600000381469727
2015-11-05,11.149999618530273
2015-11-06,11.25
2015-11-09,11.850000381469727
2015-11-10,11.399999618530273
2015-11-13,12.25
2015-11-16,13.5
2015-11-17,16.049999237060547
2015-11-18,17.350000381469727
2015-11-19,15.649999618530273
2015-11-20,15.5
2015-11-23,15.350000381469727
2015-11-24,15.300000190734863
2015-11-26,14.899999618530273
2015-11-27,14.550000190734863
2015-11-30,13.100000381469727
2015-12-01,12.5
2015-12-02,12.800000190734863
2015-12-03,12.699999809265137
2015-12-04,12.300000190734863
2015-12-07,12.5
2015-12-08,12.300000190734863
2015-12-09,11.699999809265137
2015-12-10,12.149999618530273
2015-12-11,11.800000190734863
