Date,TVSSCS.NS
2023-08-23,201.0
2023-08-24,199.10000610351562
2023-08-25,197.0500030517578
2023-08-28,197.39999389648438
2023-08-29,200.0
2023-08-30,200.3000030517578
2023-08-31,200.14999389648438
2023-09-01,200.1999969482422
2023-09-04,200.0500030517578
2023-09-05,200.0500030517578
2023-09-06,201.0500030517578
2023-09-07,221.3000030517578
2023-09-08,230.89999389648438
2023-09-11,245.35000610351562
2023-09-12,229.0500030517578
2023-09-13,221.35000610351562
2023-09-14,226.14999389648438
2023-09-15,222.39999389648438
2023-09-18,222.64999389648438
2023-09-20,214.64999389648438
2023-09-21,214.14999389648438
2023-09-22,213.4499969482422
2023-09-25,210.4499969482422
2023-09-26,210.10000610351562
2023-09-27,211.5
2023-09-28,217.0500030517578
2023-09-29,215.5500030517578
2023-10-03,214.14999389648438
2023-10-04,214.25
2023-10-05,211.5500030517578
2023-10-06,216.1999969482422
2023-10-09,210.9499969482422
2023-10-10,211.10000610351562
2023-10-11,228.25
2023-10-12,223.85000610351562
2023-10-13,226.64999389648438
2023-10-16,221.75
2023-10-17,223.14999389648438
2023-10-18,214.4499969482422
2023-10-19,215.75
2023-10-20,212.14999389648438
2023-10-23,210.3000030517578
2023-10-25,208.85000610351562
2023-10-26,209.6999969482422
2023-10-27,210.4499969482422
2023-10-30,213.1999969482422
2023-10-31,212.89999389648438
2023-11-01,211.8000030517578
2023-11-02,212.85000610351562
2023-11-03,213.85000610351562
2023-11-06,218.5
2023-11-07,219.14999389648438
2023-11-08,214.85000610351562
2023-11-09,212.35000610351562
2023-11-10,211.85000610351562
2023-11-13,213.35000610351562
2023-11-15,211.89999389648438
2023-11-16,212.3000030517578
2023-11-17,211.89999389648438
2023-11-20,209.9499969482422
2023-11-21,212.5500030517578
2023-11-22,209.5
2023-11-23,211.35000610351562
2023-11-24,210.0
2023-11-28,207.35000610351562
2023-11-29,208.9499969482422
2023-11-30,207.85000610351562
2023-12-01,206.3000030517578
2023-12-04,208.6999969482422
2023-12-05,208.89999389648438
2023-12-06,207.6999969482422
2023-12-07,207.89999389648438
2023-12-08,206.60000610351562
2023-12-11,207.35000610351562
2023-12-12,203.89999389648438
2023-12-13,204.25
2023-12-14,209.60000610351562
2023-12-15,206.3000030517578
2023-12-18,205.64999389648438
2023-12-19,203.8000030517578
2023-12-20,199.9499969482422
2023-12-21,198.64999389648438
2023-12-22,199.0
2023-12-26,201.5
2023-12-27,199.39999389648438
2023-12-28,198.89999389648438
2023-12-29,198.1999969482422
2024-01-01,198.89999389648438
2024-01-02,198.89999389648438
2024-01-03,199.14999389648438
