Date,CAMS.NS
2020-10-05,1297.9534912109375
2020-10-06,1314.6246337890625
2020-10-07,1279.476318359375
2020-10-08,1236.3623046875
2020-10-09,1238.1220703125
2020-10-12,1214.2264404296875
2020-10-13,1212.559326171875
2020-10-14,1246.087158203125
2020-10-15,1233.90771484375
2020-10-16,1242.4288330078125
2020-10-19,1241.6414794921875
2020-10-20,1237.19580078125
2020-10-21,1238.677490234375
2020-10-22,1229.184326171875
2020-10-23,1252.6168212890625
2020-10-26,1244.5125732421875
2020-10-27,1236.8714599609375
2020-10-28,1220.7093505859375
2020-10-29,1203.6680908203125
2020-10-30,1201.1209716796875
2020-11-02,1203.2047119140625
2020-11-03,1172.22412109375
2020-11-04,1173.8909912109375
2020-11-05,1195.008056640625
2020-11-06,1185.5146484375
2020-11-09,1198.1107177734375
2020-11-10,1196.3511962890625
2020-11-11,1190.3309326171875
2020-11-12,1208.9935302734375
2020-11-13,1204.87158203125
2020-11-14,1214.1341552734375
2020-11-17,1259.88720703125
2020-11-18,1256.8306884765625
2020-11-19,1280.799072265625
2020-11-20,1292.76025390625
2020-11-23,1348.841796875
2020-11-24,1338.9283447265625
2020-11-25,1377.092041015625
2020-11-26,1377.184814453125
2020-11-27,1345.1649169921875
2020-12-01,1350.005126953125
2020-12-02,1356.93994140625
2020-12-03,1345.583984375
2020-12-04,1361.8265380859375
2020-12-07,1354.519775390625
2020-12-08,1362.52490234375
2020-12-09,1368.621337890625
2020-12-10,1400.641357421875
2020-12-11,1395.3824462890625
2020-12-14,1405.295654296875
2020-12-15,1404.9700927734375
2020-12-16,1404.9234619140625
2020-12-17,1405.062744140625
2020-12-18,1490.325439453125
2020-12-21,1571.073486328125
2020-12-22,1560.8812255859375
2020-12-23,1557.3907470703125
2020-12-24,1577.8216552734375
2020-12-28,1606.630615234375
2020-12-29,1708.7408447265625
2020-12-30,1672.06689453125
2020-12-31,1680.7696533203125
2021-01-01,1665.457763671875
2021-01-04,1699.1534423828125
2021-01-05,1677.88427734375
2021-01-06,1660.47802734375
2021-01-07,1682.3984375
2021-01-08,1663.31689453125
2021-01-11,1671.5079345703125
2021-01-12,1677.9310302734375
2021-01-13,1713.39501953125
2021-01-14,1686.121826171875
