Date,BBY.L
2015-08-24,251.05189514160156
2015-08-25,262.33172607421875
2015-08-26,260.43511962890625
2015-08-27,266.3245849609375
2015-08-28,272.0144958496094
2015-09-01,266.8236999511719
2015-09-02,261.33343505859375
2015-09-03,262.6312255859375
2015-09-04,257.54022216796875
2015-09-07,259.7364501953125
2015-09-08,259.53668212890625
2015-09-09,260.43511962890625
2015-09-10,261.433349609375
2015-09-11,260.43511962890625
2015-09-14,256.0429992675781
2015-09-15,254.34596252441406
2015-09-16,256.6418762207031
2015-09-17,253.9467010498047
2015-09-18,252.14990234375
2015-09-21,252.2497100830078
2015-09-22,246.85935974121094
2015-09-23,252.8486785888672
2015-09-24,247.6579132080078
2015-09-25,256.0429992675781
2015-09-28,257.6401062011719
2015-09-29,251.7505645751953
2015-09-30,251.05189514160156
2015-10-01,249.85398864746094
2015-10-02,251.25148010253906
2015-10-05,259.8361511230469
2015-10-06,261.5331726074219
2015-10-07,259.9359436035156
2015-10-08,260.53497314453125
2015-10-09,259.0376281738281
2015-10-12,254.54562377929688
2015-10-13,258.3388671875
2015-10-14,253.1481170654297
2015-10-15,258.03936767578125
2015-10-16,249.05543518066406
2015-10-19,246.85935974121094
2015-10-20,247.7577362060547
2015-10-21,255.24440002441406
2015-10-22,252.4493408203125
2015-10-23,258.3388671875
2015-10-26,255.74351501464844
2015-10-27,250.55274963378906
2015-10-28,249.9537811279297
2015-10-29,243.96450805664062
2015-10-30,248.75592041015625
2015-11-02,250.9520263671875
2015-11-03,251.7505645751953
2015-11-04,251.5509796142578
2015-11-05,252.34957885742188
2015-11-06,259.0376281738281
2015-11-09,257.7399597167969
2015-11-10,253.5474090576172
2015-11-11,252.9484405517578
2015-11-12,247.7577362060547
2015-11-13,248.05723571777344
2015-11-16,248.55630493164062
2015-11-17,251.25148010253906
2015-11-18,254.54562377929688
2015-11-19,256.4422607421875
2015-11-20,255.44398498535156
2015-11-23,251.1516571044922
2015-11-24,246.759521484375
2015-11-25,249.35487365722656
2015-11-26,252.4493408203125
2015-11-27,252.54916381835938
2015-11-30,256.14276123046875
2015-12-01,261.9324951171875
2015-12-02,266.3245849609375
2015-12-03,265.3263854980469
2015-12-04,266.12493896484375
2015-12-07,266.723876953125
2015-12-08,261.9324951171875
2015-12-09,267.3228454589844
2015-12-10,267.5224609375
2015-12-11,265.7256774902344
2015-12-14,263.5295715332031
2015-12-15,269.1196594238281
2015-12-16,265.126708984375
2015-12-17,263.5295715332031
2015-12-18,265.42620849609375
2015-12-21,260.8343505859375
2015-12-22,263.8290100097656
2015-12-23,265.92529296875
2015-12-24,268.72039794921875
2015-12-29,268.32098388671875
2015-12-30,270.9163818359375
2015-12-31,269.7185363769531
2016-01-04,265.0268859863281
2016-01-05,263.8290100097656
2016-01-06,265.5259704589844
2016-01-07,259.1374206542969
2016-01-08,256.94134521484375
2016-01-11,253.64718627929688
2016-01-12,258.937744140625
2016-01-13,259.8361511230469
2016-01-14,256.3423767089844
2016-01-15,250.65257263183594
2016-01-18,241.46893310546875
2016-01-19,243.96450805664062
2016-01-20,237.07679748535156
2016-01-21,237.07679748535156
2016-01-22,244.7630615234375
2016-01-25,244.36378479003906
2016-01-26,243.46539306640625
2016-01-27,247.3584442138672
2016-01-28,250.25326538085938
2016-01-29,250.25326538085938
2016-02-01,253.9467010498047
2016-02-02,251.65077209472656
2016-02-03,244.463623046875
2016-02-04,245.46182250976562
2016-02-05,247.8575439453125
2016-02-08,232.28533935546875
2016-02-09,221.70423889160156
2016-02-10,224.69891357421875
2016-02-11,220.60621643066406
2016-02-12,224.29957580566406
2016-02-15,227.79335021972656
2016-02-16,225.99658203125
2016-02-17,235.57948303222656
2016-02-18,238.57411193847656
2016-02-19,235.18019104003906
2016-02-22,237.5758819580078
2016-02-23,239.77198791503906
2016-02-24,242.26751708984375
2016-02-25,249.05543518066406
2016-02-26,250.85220336914062
2016-02-29,250.9520263671875
2016-03-01,252.64898681640625
2016-03-02,249.55450439453125
2016-03-03,249.35487365722656
2016-03-04,255.44398498535156
2016-03-07,251.7505645751953
2016-03-08,251.45115661621094
2016-03-09,255.74351501464844
2016-03-10,255.44398498535156
2016-03-11,261.5331726074219
2016-03-14,258.7381286621094
2016-03-15,249.05543518066406
2016-03-16,244.1641387939453
2016-03-17,242.0679168701172
2016-03-18,246.65968322753906
2016-03-21,246.2604522705078
2016-03-22,248.1570281982422
2016-03-23,251.05189514160156
2016-03-24,251.1516571044922
2016-03-29,251.65077209472656
2016-03-30,253.44754028320312
2016-03-31,254.14634704589844
2016-04-01,251.5509796142578
2016-04-04,247.9573516845703
2016-04-05,242.0679168701172
2016-04-06,242.66683959960938
2016-04-07,234.28176879882812
2016-04-08,235.08035278320312
2016-04-11,234.88072204589844
2016-04-12,235.08035278320312
2016-04-13,237.87538146972656
2016-04-14,235.37986755371094
2016-04-15,231.08750915527344
2016-04-18,231.48678588867188
2016-04-19,232.4849853515625
2016-04-20,227.9929962158203
2016-04-21,226.79515075683594
2016-04-22,227.5937042236328
2016-04-25,229.29067993164062
2016-04-26,235.97879028320312
2016-04-27,247.9573516845703
2016-04-28,242.96629333496094
2016-04-29,238.17481994628906
2016-05-03,239.87179565429688
2016-05-04,237.3762664794922
2016-05-05,236.47789001464844
2016-05-06,236.0785675048828
2016-05-09,236.7772979736328
2016-05-10,235.4796142578125
2016-05-11,236.9769744873047
2016-05-12,235.57948303222656
2016-05-13,234.48141479492188
2016-05-16,236.3780517578125
2016-05-17,243.46539306640625
2016-05-18,242.0679168701172
2016-05-19,236.17840576171875
2016-05-20,239.57232666015625
2016-05-23,240.47076416015625
2016-05-24,240.96983337402344
2016-05-25,244.7630615234375
2016-05-26,242.7666015625
2016-05-27,244.5634307861328
2016-05-31,247.3584442138672
2016-06-01,239.57232666015625
2016-06-02,238.57411193847656
2016-06-03,237.07679748535156
2016-06-06,235.18019104003906
2016-06-07,233.7826385498047
2016-06-08,233.48321533203125
2016-06-09,232.18553161621094
2016-06-10,229.78982543945312
2016-06-13,227.19444274902344
2016-06-14,226.89495849609375
2016-06-15,226.99481201171875
2016-06-16,223.50100708007812
2016-06-17,229.9894256591797
2016-06-20,241.76844787597656
2016-06-21,243.8646697998047
2016-06-22,247.55807495117188
2016-06-23,254.14634704589844
2016-06-24,232.28533935546875
2016-06-27,190.4600067138672
2016-06-28,202.937744140625
2016-06-29,209.72560119628906
2016-06-30,214.61691284179688
2016-07-01,219.4083251953125
2016-07-04,211.422607421875
2016-07-05,201.4404296875
2016-07-06,199.14451599121094
2016-07-07,202.5384063720703
2016-07-08,201.6400604248047
2016-07-11,215.1160125732422
2016-07-12,218.31028747558594
2016-07-13,216.9127960205078
2016-07-14,217.1124267578125
2016-07-15,216.4136962890625
2016-07-18,218.8094024658203
2016-07-19,220.0072479248047
2016-07-20,220.50636291503906
2016-07-21,222.60263061523438
2016-07-22,216.21405029296875
2016-07-25,222.103515625
2016-07-26,219.2086944580078
2016-07-27,224.19976806640625
2016-07-28,222.103515625
2016-07-29,221.30494689941406
2016-08-01,221.00546264648438
2016-08-02,220.10708618164062
2016-08-03,222.9020538330078
2016-08-04,225.89674377441406
2016-08-05,231.48678588867188
2016-08-08,231.68643188476562
2016-08-09,234.58128356933594
2016-08-10,236.67752075195312
2016-08-11,240.67041015625
2016-08-12,240.57052612304688
2016-08-15,240.57052612304688
2016-08-16,243.96450805664062
2016-08-17,251.35130310058594
2016-08-18,253.44754028320312
2016-08-19,259.63653564453125
2016-08-22,259.8361511230469
2016-08-23,268.32098388671875
2016-08-24,277.5046081542969
2016-08-25,277.4048156738281
2016-08-26,279.5010681152344
