Date,FGP.L
2015-08-24,105.29253387451172
2015-08-25,108.98876953125
2015-08-26,106.39142608642578
2015-08-27,106.79100799560547
2015-08-28,108.88886260986328
2015-09-01,106.89090728759766
2015-09-02,105.59223175048828
2015-09-03,105.09274291992188
2015-09-04,104.09375
2015-09-07,105.49234008789062
2015-09-08,103.39448547363281
2015-09-09,106.69111633300781
2015-09-10,103.7940673828125
2015-09-11,104.19366455078125
2015-09-14,102.3954849243164
2015-09-15,101.59630584716797
2015-09-16,103.59425354003906
2015-09-17,101.69621276855469
2015-09-18,100.09783172607422
2015-09-21,99.79814147949219
2015-09-22,97.60037994384766
2015-09-23,98.89905548095703
2015-09-24,97.60037994384766
2015-09-25,98.74921417236328
2015-09-28,97.30069732666016
2015-09-29,96.25176239013672
2015-09-30,97.60037994384766
2015-10-01,98.89905548095703
2015-10-02,98.14981842041016
2015-10-05,99.1488037109375
2015-10-06,97.85012817382812
2015-10-07,98.0998764038086
2015-10-08,102.3954849243164
2015-10-09,101.49639892578125
2015-10-12,102.3954849243164
2015-10-13,100.4974365234375
2015-10-14,99.84810638427734
2015-10-15,98.0998764038086
2015-10-16,98.349609375
2015-10-19,96.55146026611328
2015-10-20,96.80120849609375
2015-10-21,97.95002746582031
2015-10-22,96.90110778808594
2015-10-23,97.15084838867188
2015-10-26,97.00100708007812
2015-10-27,95.40262603759766
2015-10-28,96.90110778808594
2015-10-29,96.25176239013672
2015-10-30,96.65135192871094
2015-11-02,99.04889678955078
2015-11-03,101.59630584716797
2015-11-04,100.69722747802734
2015-11-05,99.59835052490234
2015-11-06,100.4974365234375
2015-11-09,99.09886169433594
2015-11-10,97.30069732666016
2015-11-11,97.30069732666016
2015-11-12,99.49845123291016
2015-11-13,104.49333190917969
2015-11-16,107.5901870727539
2015-11-17,106.19161987304688
2015-11-18,105.89192962646484
2015-11-19,106.09172058105469
2015-11-20,105.692138671875
2015-11-23,104.09375
2015-11-24,102.99488067626953
2015-11-25,102.79507446289062
2015-11-26,103.59425354003906
2015-11-27,104.39344787597656
2015-11-30,105.19264221191406
2015-12-01,106.19161987304688
2015-12-02,106.79100799560547
2015-12-03,104.89293670654297
2015-12-04,104.59324645996094
2015-12-07,104.2935562133789
2015-12-08,102.99488067626953
2015-12-09,103.99385070800781
2015-12-10,103.19467163085938
2015-12-11,103.69416046142578
2015-12-14,103.59425354003906
2015-12-15,104.59324645996094
2015-12-16,105.9918212890625
2015-12-17,104.99284362792969
2015-12-18,103.59425354003906
2015-12-21,104.99284362792969
2015-12-22,105.49234008789062
2015-12-23,106.79100799560547
2015-12-24,107.88988494873047
2015-12-29,108.68907928466797
2015-12-30,108.38936614990234
2015-12-31,107.19060516357422
2016-01-04,105.29253387451172
2016-01-05,106.99079895019531
2016-01-06,106.79100799560547
2016-01-07,105.59223175048828
2016-01-08,103.29457092285156
2016-01-11,103.99385070800781
2016-01-12,103.49436950683594
2016-01-13,103.69416046142578
2016-01-14,102.3954849243164
2016-01-15,98.69926452636719
2016-01-18,98.349609375
2016-01-19,99.09886169433594
2016-01-20,94.85319519042969
2016-01-21,94.7033462524414
2016-01-22,98.5494155883789
2016-01-25,101.19671630859375
2016-01-26,101.79611206054688
2016-01-27,102.1957015991211
2016-01-28,90.00814056396484
2016-01-29,92.9051742553711
