Date,IFCI.NS
2015-08-21,20.19078254699707
2015-08-24,17.352907180786133
2015-08-25,18.236833572387695
2015-08-26,18.190311431884766
2015-08-27,18.6090145111084
2015-08-28,18.6090145111084
2015-08-31,18.5624942779541
2015-09-01,18.422924041748047
2015-09-02,18.004222869873047
2015-09-03,18.79510498046875
2015-09-04,17.957698822021484
2015-09-07,17.771610260009766
2015-09-08,18.422924041748047
2015-09-09,19.306852340698242
2015-09-10,19.167285919189453
2015-09-11,19.358003616333008
2015-09-14,19.548723220825195
2015-09-15,19.739444732666016
2015-09-16,19.78712272644043
2015-09-18,20.21624183654785
2015-09-21,21.217517852783203
2015-09-22,20.454641342163086
2015-09-23,20.78839874267578
2015-09-24,20.740718841552734
2015-09-28,20.931438446044922
2015-09-29,20.64535903930664
2015-09-30,20.597681045532227
2015-10-01,20.168561935424805
2015-10-05,20.406959533691406
2015-10-06,20.359281539916992
2015-10-07,20.883758544921875
2015-10-08,20.69304084777832
2015-10-09,20.97911834716797
2015-10-12,20.883758544921875
2015-10-13,22.886310577392578
2015-10-14,22.31415367126465
2015-10-15,23.60150909423828
2015-10-16,23.88758659362793
2015-10-19,27.70197105407715
2015-10-20,27.225173950195312
2015-10-21,27.463573455810547
2015-10-23,26.50997543334961
2015-10-26,26.128538131713867
2015-10-27,26.271577835083008
2015-10-28,27.082134246826172
2015-10-29,26.41461753845215
2015-10-30,25.413341522216797
2015-11-02,25.270301818847656
2015-11-03,25.747100830078125
2015-11-04,25.270301818847656
2015-11-05,24.698143005371094
2015-11-06,24.269025802612305
2015-11-09,23.982946395874023
2015-11-10,24.888864517211914
2015-11-13,24.555105209350586
2015-11-16,24.793502807617188
2015-11-17,26.033178329467773
2015-11-18,24.984224319458008
2015-11-19,25.461021423339844
2015-11-20,25.556379318237305
2015-11-23,25.413341522216797
2015-11-24,25.174942016601562
2015-11-26,25.127262115478516
2015-11-27,25.6517391204834
2015-11-30,26.843734741210938
2015-12-01,27.55893325805664
2015-12-02,26.986774444580078
2015-12-03,26.93909454345703
2015-12-04,26.22389793395996
2015-12-07,26.128538131713867
2015-12-08,24.984224319458008
2015-12-09,24.31670570373535
2015-12-10,24.459745407104492
2015-12-11,23.506147384643555
2015-12-14,23.79222869873047
2015-12-15,23.982946395874023
2015-12-16,24.078306198120117
2015-12-17,25.07958221435547
2015-12-18,25.6517391204834
2015-12-21,25.985498428344727
2015-12-22,25.36566162109375
2015-12-23,25.50870132446289
2015-12-24,25.50870132446289
2015-12-28,25.937820434570312
2015-12-29,25.6517391204834
2015-12-30,26.08085823059082
2015-12-31,26.319257736206055
2016-01-01,27.12981605529785
2016-01-04,25.937820434570312
2016-01-05,27.892690658569336
2016-01-06,27.034454345703125
