Date,SPGI
2015-08-03,91.77533721923828
2015-08-04,91.6574478149414
2015-08-05,92.1198501586914
2015-08-06,91.2131576538086
2015-08-07,91.32196807861328
2015-08-10,93.70655059814453
2015-08-11,92.68199157714844
2015-08-12,91.96571350097656
2015-08-13,91.74812316894531
2015-08-14,92.21051788330078
2015-08-17,93.171630859375
2015-08-18,92.98119354248047
2015-08-19,92.99935913085938
2015-08-20,90.94114685058594
2015-08-21,87.47760009765625
2015-08-24,84.25687408447266
2015-08-25,84.78457641601562
2015-08-26,87.58675384521484
2015-08-27,90.15241241455078
2015-08-28,90.4799575805664
2015-08-31,88.2418212890625
2015-09-01,84.4024429321289
2015-09-02,85.21220397949219
2015-09-03,85.28495788574219
2015-09-04,84.7754898071289
2015-09-08,87.4866943359375
2015-09-09,84.71178436279297
2015-09-10,85.10299682617188
2015-09-11,86.04011535644531
2015-09-14,84.42066192626953
2015-09-15,86.34032440185547
2015-09-16,86.12199401855469
2015-09-17,85.57611083984375
2015-09-18,83.9020767211914
2015-09-21,84.33875274658203
2015-09-22,83.01045227050781
2015-09-23,82.91039276123047
2015-09-24,81.15447235107422
2015-09-25,81.09988403320312
2015-09-28,77.81546020507812
2015-09-29,77.69720458984375
2015-09-30,78.69798278808594
2015-10-01,80.41748809814453
2015-10-02,81.26364135742188
2015-10-05,82.23711395263672
2015-10-06,81.1180648803711
2015-10-07,80.89061737060547
2015-10-08,81.50018310546875
2015-10-09,81.64575958251953
2015-10-12,82.09156036376953
2015-10-13,82.09156036376953
2015-10-14,82.71932983398438
2015-10-15,84.70268249511719
2015-10-16,84.29328155517578
2015-10-19,84.66631317138672
2015-10-20,84.63899993896484
2015-10-21,83.64730834960938
2015-10-22,84.75728607177734
2015-10-23,86.78612518310547
2015-10-26,86.31304931640625
2015-10-27,85.47603607177734
2015-10-28,85.50334167480469
2015-10-29,85.758056640625
2015-10-30,84.28419494628906
2015-11-02,83.92938995361328
2015-11-03,88.8968734741211
2015-11-04,88.52385711669922
2015-11-05,88.7876968383789
2015-11-06,89.77027130126953
2015-11-09,87.58675384521484
2015-11-10,87.50486755371094
2015-11-11,88.23274230957031
2015-11-12,87.04998016357422
2015-11-13,86.15837860107422
2015-11-16,86.70426940917969
2015-11-17,86.61327362060547
2015-11-18,87.1136703491211
2015-11-19,87.69591522216797
2015-11-20,88.15084075927734
2015-11-23,87.63048553466797
2015-11-24,88.44297790527344
2015-11-25,88.44297790527344
2015-11-27,88.41558074951172
2015-11-30,88.06869506835938
2015-12-01,88.98160552978516
2015-12-02,88.93595886230469
2015-12-03,87.41138458251953
2015-12-04,89.7667007446289
2015-12-07,88.57080078125
2015-12-08,87.49353790283203
2015-12-09,86.22459411621094
2015-12-10,86.781494140625
2015-12-11,84.59960174560547
2015-12-14,86.18809509277344
2015-12-15,86.83625793457031
2015-12-16,88.11433410644531
2015-12-17,87.01882934570312
2015-12-18,85.68596649169922
2015-12-21,86.87277221679688
2015-12-22,87.54830932617188
2015-12-23,89.44718170166016
2015-12-24,88.99984741210938
2015-12-28,88.98160552978516
2015-12-29,91.29126739501953
2015-12-30,91.16344451904297
2015-12-31,89.99494171142578
2016-01-04,86.54415893554688
2016-01-05,86.83625793457031
2016-01-06,85.88683319091797
2016-01-07,83.1845932006836
2016-01-08,80.8019027709961
2016-01-11,80.765380859375
2016-01-12,80.99360656738281
2016-01-13,77.0224380493164
2016-01-14,77.50628662109375
2016-01-15,75.97259521484375
2016-01-19,76.07302856445312
2016-01-20,75.32440185546875
2016-01-21,74.64886474609375
2016-01-22,78.0540542602539
2016-01-25,76.56597900390625
2016-01-26,77.0133056640625
2016-01-27,76.23731994628906
2016-01-28,75.20574188232422
2016-01-29,77.61583709716797
2016-02-01,76.81246948242188
2016-02-02,74.56668853759766
2016-02-03,73.73595428466797
2016-02-04,79.42338562011719
2016-02-05,78.29139709472656
2016-02-08,76.1095199584961
2016-02-09,76.31037139892578
2016-02-10,77.38760375976562
2016-02-11,75.0962142944336
2016-02-12,78.07227325439453
2016-02-16,79.71554565429688
2016-02-17,81.13053894042969
2016-02-18,80.1719741821289
2016-02-19,80.2906723022461
2016-02-22,81.66001892089844
2016-02-23,79.92766571044922
2016-02-24,81.08257293701172
2016-02-25,82.59497833251953
2016-02-26,81.85254669189453
2016-02-29,82.2558364868164
2016-03-01,84.56568908691406
2016-03-02,84.80399322509766
2016-03-03,86.45388793945312
2016-03-04,87.13214874267578
2016-03-07,86.28888702392578
2016-03-08,86.11474609375
2016-03-09,85.47309112548828
2016-03-10,85.16144561767578
2016-03-11,87.19632720947266
2016-03-14,86.01388549804688
2016-03-15,85.36312866210938
2016-03-16,86.71052551269531
2016-03-17,87.9478988647461
2016-03-18,89.63445281982422
2016-03-21,88.17707061767578
2016-03-22,89.09366607666016
2016-03-23,89.11201477050781
2016-03-24,88.35120391845703
2016-03-28,89.2678451538086
2016-03-29,91.1651840209961
2016-03-30,90.68856811523438
2016-03-31,90.72523498535156
2016-04-01,91.0185317993164
2016-04-04,90.00112915039062
2016-04-05,88.3420639038086
2016-04-06,89.5611572265625
2016-04-07,88.66289520263672
2016-04-08,89.12116241455078
2016-04-11,88.5345458984375
2016-04-12,89.62529754638672
2016-04-13,91.50434875488281
2016-04-14,91.73346710205078
2016-04-15,91.44933319091797
2016-04-18,92.54012298583984
2016-04-19,94.53826904296875
2016-04-20,95.44572448730469
2016-04-21,94.8682632446289
2016-04-22,94.74911499023438
2016-04-25,94.5566177368164
2016-04-26,97.85638427734375
2016-04-27,98.91964721679688
