Date,BAX
2015-08-03,33.67997360229492
2015-08-04,34.36191940307617
2015-08-05,35.913360595703125
2015-08-06,35.74287796020508
2015-08-07,35.70026779174805
2015-08-10,35.836647033691406
2015-08-11,35.59795379638672
2015-08-12,34.79666519165039
2015-08-13,34.79666519165039
2015-08-14,34.864864349365234
2015-08-17,34.745521545410156
2015-08-18,34.600608825683594
2015-08-19,34.21700668334961
2015-08-20,33.76521301269531
2015-08-21,32.6314582824707
2015-08-24,31.68524932861328
2015-08-25,31.514759063720703
2015-08-26,32.11146545410156
2015-08-27,32.895713806152344
2015-08-28,33.0321044921875
2015-08-31,32.77640151977539
2015-09-01,31.736406326293945
2015-09-02,31.980098724365234
2015-09-03,31.680824279785156
2015-09-04,30.902687072753906
2015-09-08,31.21908187866211
2015-09-09,31.048063278198242
2015-09-10,30.842838287353516
2015-09-11,30.800085067749023
2015-09-14,30.7573299407959
2015-09-15,30.996746063232422
2015-09-16,30.962549209594727
2015-09-17,31.08225440979004
2015-09-18,30.996746063232422
2015-09-21,30.740234375
2015-09-22,30.338340759277344
2015-09-23,30.577749252319336
2015-09-24,30.17586898803711
2015-09-25,29.457609176635742
2015-09-28,27.867149353027344
2015-09-29,27.95265769958496
2015-09-30,28.08946418762207
2015-10-01,27.986860275268555
2015-10-02,28.68802833557129
2015-10-05,28.474254608154297
2015-10-06,27.59351348876953
2015-10-07,28.140779495239258
2015-10-08,28.43149757385254
2015-10-09,28.39729881286621
2015-10-12,28.619625091552734
2015-10-13,28.303239822387695
2015-10-14,28.26048469543457
2015-10-15,28.816287994384766
2015-10-16,29.004409790039062
2015-10-19,29.089923858642578
2015-10-20,29.295141220092773
2015-10-21,30.440948486328125
2015-10-22,29.85948944091797
2015-10-23,30.269926071166992
2015-10-26,30.706026077270508
2015-10-27,31.330244064331055
2015-10-28,31.851837158203125
2015-10-29,32.1425666809082
2015-10-30,31.971540451049805
2015-11-02,32.296470642089844
2015-11-03,32.68126678466797
2015-11-04,32.125465393066406
2015-11-05,32.10835647583008
2015-11-06,32.46747970581055
2015-11-09,32.20243453979492
2015-11-10,32.47603988647461
2015-11-11,32.39053726196289
2015-11-12,32.03139114379883
2015-11-13,32.125465393066406
2015-11-16,32.43330383300781
2015-11-17,32.296470642089844
2015-11-18,32.553009033203125
2015-11-19,32.41620635986328
2015-11-20,32.75822830200195
2015-11-23,32.553009033203125
2015-11-24,32.52735137939453
2015-11-25,32.39053726196289
2015-11-27,32.21952438354492
2015-11-30,32.19387435913086
2015-12-01,32.44184494018555
2015-12-02,32.04301452636719
2015-12-03,31.622751235961914
2015-12-04,32.19739532470703
2015-12-07,32.36035919189453
2015-12-08,31.90578269958496
2015-12-09,31.5369815826416
2015-12-10,31.974393844604492
2015-12-11,31.59702491760254
2015-12-14,31.331146240234375
2015-12-15,31.95724868774414
2015-12-16,32.44614791870117
2015-12-17,32.19739532470703
2015-12-18,31.434059143066406
2015-12-21,31.45979881286621
2015-12-22,32.266014099121094
2015-12-23,32.71200942993164
2015-12-24,32.7205810546875
2015-12-28,32.71200942993164
2015-12-29,33.072235107421875
2015-12-30,32.634822845458984
2015-12-31,32.7205810546875
2016-01-04,31.880062103271484
2016-01-05,32.008724212646484
2016-01-06,32.08590316772461
2016-01-07,31.554155349731445
2016-01-08,31.04810333251953
2016-01-11,30.52491569519043
2016-01-12,30.43057632446289
2016-01-13,29.87308692932129
2016-01-14,30.28477668762207
2016-01-15,30.10464096069336
2016-01-19,30.327661514282227
2016-01-20,29.81303596496582
2016-01-21,30.23330307006836
2016-01-22,30.93660545349121
2016-01-25,30.919464111328125
2016-01-26,31.3397274017334
2016-01-27,31.305404663085938
2016-01-28,30.6192626953125
2016-01-29,31.391189575195312
2016-02-01,31.974393844604492
2016-02-02,32.54904556274414
2016-02-03,32.81493377685547
2016-02-04,32.84066390991211
2016-02-05,32.15452575683594
2016-02-08,30.876562118530273
2016-02-09,31.03952980041504
2016-02-10,31.65706443786621
2016-02-11,30.773653030395508
2016-02-12,31.39975929260254
2016-02-16,32.08590316772461
2016-02-17,32.77204895019531
2016-02-18,32.651973724365234
2016-02-19,32.291744232177734
2016-02-22,32.943599700927734
2016-02-23,32.883544921875
2016-02-24,33.42388916015625
2016-02-25,34.17007827758789
2016-02-26,33.81840896606445
2016-02-29,33.887027740478516
2016-03-01,34.29014205932617
2016-03-02,34.156822204589844
2016-03-03,33.82997512817383
2016-03-04,33.94179153442383
2016-03-07,34.25143051147461
2016-03-08,34.04500198364258
2016-03-09,34.053611755371094
2016-03-10,34.23423767089844
2016-03-11,34.81915283203125
2016-03-14,34.78474044799805
2016-03-15,34.509490966796875
2016-03-16,34.43207550048828
2016-03-17,34.165428161621094
2016-03-18,34.518089294433594
2016-03-21,34.44928741455078
2016-03-22,34.92236328125
2016-03-23,34.99977111816406
2016-03-24,34.50088882446289
2016-03-28,34.81915283203125
2016-03-29,35.50727081298828
2016-03-30,35.490074157714844
2016-03-31,35.335235595703125
2016-04-01,35.85993957519531
2016-04-04,36.19540023803711
2016-04-05,35.53306579589844
2016-04-06,36.315826416015625
2016-04-07,35.894325256347656
2016-04-08,35.98896026611328
2016-04-11,36.07497024536133
2016-04-12,36.15238571166992
2016-04-13,36.41903305053711
2016-04-14,36.68568801879883
2016-04-15,36.7200927734375
2016-04-18,37.07275390625
2016-04-19,37.304996490478516
2016-04-20,37.21037673950195
2016-04-21,36.995330810546875
2016-04-22,37.261985778808594
2016-04-25,37.52863693237305
2016-04-26,37.821102142333984
2016-04-27,38.00172805786133
