Date,MANAPPURAM.NS
2015-08-21,19.444869995117188
2015-08-24,17.617046356201172
2015-08-25,17.539278030395508
2015-08-26,17.267047882080078
2015-08-27,17.578161239624023
2015-08-28,17.811498641967773
2015-08-31,18.04483985900879
2015-09-01,17.733720779418945
2015-09-02,17.461496353149414
2015-09-03,17.733720779418945
2015-09-04,17.733722686767578
2015-09-07,17.773395538330078
2015-09-08,17.53536033630371
2015-09-09,16.94026756286621
2015-09-10,16.424524307250977
2015-09-11,16.90058708190918
2015-09-14,18.011432647705078
2015-09-15,19.518997192382812
2015-09-16,19.439645767211914
2015-09-18,19.876052856445312
2015-09-21,19.320629119873047
2015-09-22,18.289134979248047
2015-09-23,18.011432647705078
2015-09-24,17.85273551940918
2015-09-28,18.209794998168945
2015-09-29,18.289134979248047
2015-09-30,19.082595825195312
2015-10-01,18.566848754882812
2015-10-05,19.122264862060547
2015-10-06,19.558664321899414
2015-10-07,19.59834098815918
2015-10-08,19.320629119873047
2015-10-09,19.638017654418945
2015-10-12,19.399978637695312
2015-10-13,19.399978637695312
2015-10-14,19.161941528320312
2015-10-15,19.122264862060547
2015-10-16,19.36030387878418
2015-10-19,19.161941528320312
2015-10-20,19.439645767211914
2015-10-21,19.04292106628418
2015-10-23,19.003250122070312
2015-10-26,19.04292106628418
2015-10-27,19.24128532409668
2015-10-28,19.59834098815918
2015-10-29,19.91572380065918
2015-10-30,19.201614379882812
2015-11-02,19.122264862060547
2015-11-03,19.201614379882812
2015-11-04,18.566848754882812
2015-11-05,18.289134979248047
2015-11-06,18.209794998168945
2015-11-09,18.051105499267578
2015-11-10,17.892417907714844
2015-11-13,18.249467849731445
2015-11-16,18.368486404418945
2015-11-17,18.209794998168945
2015-11-18,18.130451202392578
2015-11-19,18.130451202392578
2015-11-20,17.85273551940918
2015-11-23,18.011432647705078
2015-11-24,18.011430740356445
2015-11-26,20.399463653564453
2015-11-27,20.723262786865234
2015-11-30,21.5732421875
2015-12-01,21.654190063476562
2015-12-02,22.01847267150879
2015-12-03,21.775619506835938
2015-12-04,21.168493270874023
