Date,URI
2015-08-03,63.4804573059082
2015-08-04,63.69439697265625
2015-08-05,63.66522979736328
2015-08-06,63.849979400634766
2015-08-07,62.050987243652344
2015-08-10,64.87104034423828
2015-08-11,64.02501678466797
2015-08-12,64.44315338134766
2015-08-13,62.537193298339844
2015-08-14,63.52906799316406
2015-08-17,63.77220153808594
2015-08-18,63.704132080078125
2015-08-19,63.75273513793945
2015-08-20,62.77058792114258
2015-08-21,59.96025085449219
2015-08-24,59.24064254760742
2015-08-25,59.153133392333984
2015-08-26,61.75925064086914
2015-08-27,66.41719818115234
2015-08-28,65.21138763427734
2015-08-31,67.4188232421875
2015-09-01,63.53880310058594
2015-09-02,65.50311279296875
2015-09-03,65.96015930175781
2015-09-04,64.25841522216797
2015-09-08,66.11575317382812
2015-09-09,67.31185150146484
2015-09-10,67.07846069335938
2015-09-11,67.53551483154297
2015-09-14,65.76567840576172
2015-09-15,67.90503692626953
2015-09-16,70.28749084472656
2015-09-17,67.68136596679688
2015-09-18,65.27944946289062
2015-09-21,65.7462387084961
2015-09-22,64.8613052368164
2015-09-23,61.5550422668457
2015-09-24,60.10612106323242
2015-09-25,61.06882095336914
2015-09-28,57.84034729003906
2015-09-29,58.28766632080078
2015-09-30,58.39463806152344
2015-10-01,58.190425872802734
2015-10-02,58.00566101074219
2015-10-05,62.63444519042969
2015-10-06,63.91806411743164
2015-10-07,66.02823638916016
2015-10-08,68.58573913574219
2015-10-09,68.80939483642578
2015-10-12,67.60357666015625
2015-10-13,68.080078125
2015-10-14,68.26482391357422
2015-10-15,67.36046600341797
2015-10-16,65.04608154296875
2015-10-19,63.58743667602539
2015-10-20,64.38481903076172
2015-10-21,65.34752655029297
2015-10-22,71.86283874511719
2015-10-23,71.92118072509766
2015-10-26,71.814208984375
2015-10-27,69.99576568603516
2015-10-28,72.63105010986328
2015-10-29,72.21292114257812
2015-10-30,72.79637145996094
2015-11-02,73.94384765625
2015-11-03,74.84821319580078
2015-11-04,74.44951629638672
2015-11-05,76.18042755126953
2015-11-06,77.63908386230469
2015-11-09,75.36359405517578
2015-11-10,75.5775375366211
2015-11-11,74.86764526367188
2015-11-12,71.46414947509766
2015-11-13,72.0962142944336
2015-11-16,72.68941497802734
2015-11-17,73.57433319091797
2015-11-18,74.86764526367188
2015-11-19,73.47705841064453
2015-11-20,73.49651336669922
2015-11-23,74.04109191894531
2015-11-24,75.27607727050781
2015-11-25,75.73312377929688
2015-11-27,75.03296661376953
2015-11-30,76.5013427734375
2015-12-01,76.2485122680664
2015-12-02,74.10914611816406
2015-12-03,73.12700653076172
2015-12-04,72.0962142944336
2015-12-07,68.51765441894531
2015-12-08,66.05742645263672
2015-12-09,69.11084747314453
2015-12-10,69.0816650390625
2015-12-11,65.69761657714844
2015-12-14,64.3070297241211
2015-12-15,65.71705627441406
2015-12-16,67.32158660888672
2015-12-17,65.0558090209961
2015-12-18,65.32807922363281
2015-12-21,67.14653015136719
2015-12-22,70.06383514404297
2015-12-23,72.75747680664062
2015-12-24,72.54353332519531
2015-12-28,70.4722671508789
2015-12-29,71.298828125
2015-12-30,70.67647552490234
2015-12-31,70.54032897949219
2016-01-04,68.80939483642578
2016-01-05,68.11898040771484
2016-01-06,64.8613052368164
2016-01-07,60.64095687866211
2016-01-08,60.10612106323242
2016-01-11,59.279544830322266
2016-01-12,59.590721130371094
2016-01-13,56.148311614990234
2016-01-14,55.564857482910156
2016-01-15,53.38660430908203
2016-01-19,52.51141357421875
2016-01-20,52.91011047363281
2016-01-21,53.78529739379883
2016-01-22,56.148311614990234
2016-01-25,53.13376998901367
2016-01-26,55.32174301147461
2016-01-27,54.300689697265625
2016-01-28,44.32352066040039
2016-01-29,46.58929443359375
2016-02-01,47.48393249511719
2016-02-02,44.49856185913086
2016-02-03,47.09495544433594
2016-02-04,47.33806228637695
2016-02-05,46.871299743652344
2016-02-08,45.325130462646484
2016-02-09,43.54557418823242
2016-02-10,44.245723724365234
2016-02-11,42.145267486572266
2016-02-12,44.197105407714844
2016-02-16,46.24894332885742
2016-02-17,46.851844787597656
2016-02-18,48.495262145996094
2016-02-19,47.06578063964844
2016-02-22,50.18730163574219
2016-02-23,48.495262145996094
2016-02-24,48.31050109863281
2016-02-25,48.97175598144531
2016-02-26,50.1094970703125
2016-02-29,50.148399353027344
2016-03-01,51.023597717285156
2016-03-02,52.812862396240234
2016-03-03,55.0008430480957
2016-03-04,55.90521240234375
2016-03-07,58.20014190673828
2016-03-08,55.27312469482422
2016-03-09,56.6345329284668
2016-03-10,56.32334899902344
2016-03-11,58.00566101074219
2016-03-14,58.3557243347168
2016-03-15,57.8986930847168
2016-03-16,60.05748748779297
2016-03-17,61.62310791015625
2016-03-18,61.1757926940918
2016-03-21,61.788429260253906
2016-03-22,62.012088775634766
2016-03-23,59.90190505981445
2016-03-24,60.28115463256836
2016-03-28,59.979705810546875
2016-03-29,60.835445404052734
2016-03-30,61.05909729003906
2016-03-31,60.475643157958984
2016-04-01,59.13368225097656
2016-04-04,57.830623626708984
2016-04-05,56.86790466308594
2016-04-06,57.37357711791992
2016-04-07,56.35252380371094
2016-04-08,57.85979461669922
2016-04-11,57.937591552734375
2016-04-12,58.3071174621582
2016-04-13,60.2033576965332
2016-04-14,59.649070739746094
2016-04-15,59.318443298339844
2016-04-18,59.843570709228516
2016-04-19,59.46431350708008
2016-04-20,58.48215103149414
2016-04-21,63.081764221191406
2016-04-22,64.19033813476562
2016-04-25,63.03314208984375
2016-04-26,65.0558090209961
2016-04-27,66.19354248046875
