Date,BMA.BA
2015-08-24,41.096317291259766
2015-08-25,41.7591552734375
2015-08-26,44.55784225463867
2015-08-27,45.73622512817383
2015-08-28,46.28858947753906
2015-08-31,46.399070739746094
2015-09-01,44.778785705566406
2015-09-02,44.92607879638672
2015-09-03,45.6625862121582
2015-09-04,46.399070739746094
2015-09-07,46.84096145629883
2015-09-08,48.16665267944336
2015-09-09,48.64536666870117
2015-09-10,49.23457336425781
2015-09-11,49.41869354248047
2015-09-14,47.945701599121094
2015-09-15,47.8720588684082
2015-09-16,46.69367218017578
2015-09-17,45.6625862121582
2015-09-18,44.705142974853516
2015-09-21,43.342620849609375
2015-09-22,40.10205841064453
2015-09-23,38.444942474365234
2015-09-24,38.59223556518555
2015-09-25,41.24361038208008
2015-09-28,38.813194274902344
2015-09-29,39.7706298828125
2015-09-30,40.249351501464844
2015-10-01,37.5611457824707
2015-10-02,38.29764175415039
2015-10-05,39.69697952270508
2015-10-06,38.6658935546875
2015-10-07,40.91219711303711
2015-10-08,44.189598083496094
2015-10-09,43.821346282958984
2015-10-13,45.29433059692383
2015-10-14,44.852439880371094
2015-10-15,45.6625862121582
2015-10-16,47.577457427978516
2015-10-19,46.030818939208984
2015-10-20,46.399070739746094
2015-10-21,45.6625862121582
2015-10-22,45.441627502441406
2015-10-23,47.282859802246094
2015-10-26,55.421119689941406
2015-10-27,55.23699188232422
2015-10-28,62.6019172668457
2015-10-29,61.86542510986328
2015-10-30,61.86542510986328
2015-11-02,61.0552864074707
2015-11-03,58.73533630371094
2015-11-04,61.128929138183594
2015-11-05,61.86542510986328
2015-11-09,62.6019172668457
2015-11-10,63.780311584472656
2015-11-11,64.25904083251953
2015-11-12,65.17963409423828
2015-11-13,66.28438568115234
2015-11-16,69.96685028076172
2015-11-17,72.6918716430664
2015-11-18,71.07157897949219
2015-11-19,69.96685028076172
2015-11-20,73.20741271972656
2015-11-24,64.66411590576172
2015-11-25,60.39244079589844
2015-11-26,62.6019172668457
2015-11-27,62.6019172668457
2015-11-30,62.41780471801758
2015-12-01,63.338409423828125
2015-12-02,62.01273727416992
2015-12-03,60.760684967041016
2015-12-04,63.338409423828125
2015-12-09,64.73775482177734
2015-12-10,62.6019172668457
2015-12-11,60.760684967041016
2015-12-14,58.10931396484375
2015-12-15,57.77788162231445
2015-12-16,57.446468353271484
2015-12-17,60.02419662475586
2015-12-18,56.341732025146484
2015-12-21,54.13223648071289
2015-12-22,56.341732025146484
2015-12-23,59.434993743896484
2015-12-28,57.446468353271484
2015-12-29,58.182952880859375
2015-12-30,58.9194450378418
2016-01-04,58.551204681396484
2016-01-05,59.47183609008789
2016-01-06,60.760684967041016
2016-01-07,61.86542510986328
2016-01-08,60.760684967041016
2016-01-11,58.9194450378418
2016-01-12,60.02419662475586
2016-01-13,60.57655715942383
2016-01-14,61.49718475341797
2016-01-15,56.930931091308594
2016-01-18,56.01030731201172
2016-01-19,59.06674575805664
2016-01-20,54.942386627197266
2016-01-21,57.446468353271484
2016-01-22,59.803253173828125
2016-01-25,61.27623748779297
2016-01-26,62.27049255371094
2016-01-27,62.45463180541992
2016-01-28,61.97589874267578
2016-01-29,65.4742431640625
2016-02-01,65.73201751708984
2016-02-02,65.25328826904297
2016-02-03,64.07492065429688
2016-02-04,65.43740844726562
2016-02-05,67.16818237304688
2016-02-10,69.74589538574219
2016-02-11,67.31548309326172
2016-02-12,68.93574523925781
2016-02-15,70.3350830078125
2016-02-16,73.28106689453125
2016-02-17,75.49056243896484
2016-02-18,75.49056243896484
2016-02-19,76.22705078125
2016-02-22,77.11083221435547
2016-02-23,77.8841552734375
2016-02-24,78.80477142333984
2016-02-25,82.11900329589844
2016-02-26,79.39395904541016
2016-02-29,78.98889923095703
2016-03-01,79.541259765625
2016-03-02,79.17302703857422
2016-03-03,78.43651580810547
2016-03-04,74.01757049560547
2016-03-07,73.6493148803711
2016-03-08,74.38581848144531
2016-03-09,74.7540512084961
2016-03-10,73.6493148803711
2016-03-11,72.9128189086914
2016-03-14,70.74015808105469
2016-03-15,71.32935333251953
2016-03-16,72.06585693359375
2016-03-17,72.5445785522461
2016-03-18,72.3604507446289
2016-03-21,71.95538330078125
2016-03-22,71.65184020996094
2016-03-23,70.98634338378906
2016-03-28,71.87367248535156
2016-03-29,69.72928619384766
2016-03-30,68.47225189208984
2016-03-31,69.72928619384766
2016-04-01,70.83845520019531
2016-04-04,70.32083129882812
2016-04-05,67.65885925292969
2016-04-06,64.33138275146484
2016-04-07,62.11305236816406
2016-04-08,63.96165084838867
2016-04-11,62.11305236816406
2016-04-12,65.0708236694336
2016-04-13,71.57791137695312
2016-04-14,70.91240692138672
2016-04-15,70.98634338378906
2016-04-18,73.20465087890625
2016-04-19,76.9018783569336
2016-04-20,75.42298126220703
2016-04-21,74.31382751464844
2016-04-22,72.24340057373047
2016-04-25,69.35957336425781
2016-04-26,70.91240692138672
2016-04-27,68.25041961669922
2016-04-28,69.5074462890625
2016-04-29,67.51097106933594
2016-05-02,67.69583129882812
2016-05-03,65.29265594482422
2016-05-04,63.00037384033203
2016-05-05,65.36659240722656
2016-05-06,64.92292785644531
2016-05-09,66.5497055053711
2016-05-10,64.84898376464844
2016-05-11,66.40182495117188
2016-05-12,65.81024932861328
2016-05-13,65.1447525024414
2016-05-16,64.70109558105469
2016-05-17,62.48277282714844
2016-05-18,62.852500915527344
2016-05-19,62.26094436645508
2016-05-20,62.852500915527344
2016-05-23,64.33138275146484
2016-05-24,62.297916412353516
2016-05-26,62.926429748535156
2016-05-27,63.37009811401367
