Date,SAN.PA
2015-08-24,56.25126266479492
2015-08-25,58.27560806274414
2015-08-26,57.16592025756836
2015-08-27,59.56016159057617
2015-08-28,59.47945785522461
2015-08-31,59.29786682128906
2015-09-01,57.83845901489258
2015-09-02,58.67241287231445
2015-09-03,60.19906997680664
2015-09-04,58.625328063964844
2015-09-07,59.33150100708008
2015-09-08,59.654319763183594
2015-09-09,60.48826599121094
2015-09-10,59.50635528564453
2015-09-11,59.196983337402344
2015-09-14,58.9347038269043
2015-09-15,59.17681884765625
2015-09-16,60.22597885131836
2015-09-17,60.004032135009766
2015-09-18,59.102821350097656
2015-09-21,60.14527893066406
2015-09-22,57.49545669555664
2015-09-23,57.63669204711914
2015-09-24,56.76239776611328
2015-09-25,58.517723083496094
2015-09-28,56.7892951965332
2015-09-29,55.88136291503906
2015-09-30,57.09193420410156
2015-10-01,56.90362548828125
2015-10-02,57.15245819091797
2015-10-05,58.927978515625
2015-10-06,58.71275329589844
2015-10-07,57.36767578125
2015-10-08,57.90570831298828
2015-10-09,57.8586311340332
2015-10-12,58.632057189941406
2015-10-13,57.9393424987793
2015-10-14,57.13228988647461
2015-10-15,59.2171630859375
2015-10-16,59.66104507446289
2015-10-19,59.93006134033203
2015-10-20,58.70603942871094
2015-10-21,58.51100158691406
2015-10-22,60.01076126098633
2015-10-23,62.17634582519531
2015-10-26,61.7728157043457
2015-10-27,61.55760192871094
2015-10-28,62.747989654541016
2015-10-29,61.19443893432617
2015-10-30,61.7728157043457
2015-11-02,61.75936508178711
2015-11-03,61.73917770385742
2015-11-04,61.73917770385742
2015-11-05,62.73453903198242
2015-11-06,58.44374465942383
2015-11-09,56.58753204345703
2015-11-10,56.42611312866211
2015-11-11,56.614437103271484
2015-11-12,54.717872619628906
2015-11-13,54.253822326660156
2015-11-16,53.87718963623047
2015-11-17,55.5787239074707
2015-11-18,55.87464141845703
2015-11-19,55.43076705932617
2015-11-20,55.88136291503906
2015-11-23,55.800662994384766
2015-11-24,55.00033187866211
2015-11-25,56.049503326416016
2015-11-26,56.500091552734375
2015-11-27,56.37904357910156
2015-11-30,56.74895477294922
2015-12-01,56.257991790771484
2015-12-02,55.87464141845703
2015-12-03,53.68888854980469
2015-12-04,53.30553436279297
