Date,GILLETTE.NS
2015-08-21,4631.30224609375
2015-08-24,4308.62548828125
2015-08-25,4080.308349609375
2015-08-26,4073.92236328125
2015-08-27,4077.469482421875
2015-08-28,4320.46337890625
2015-08-31,4424.00341796875
2015-09-01,4258.6513671875
2015-09-02,4245.8798828125
2015-09-03,4363.697265625
2015-09-04,4258.56201171875
2015-09-07,4084.609375
2015-09-08,4122.4326171875
2015-09-09,4184.64453125
2015-09-10,4140.25732421875
2015-09-11,4196.43994140625
2015-09-14,4201.05126953125
2015-09-15,4159.28076171875
2015-09-16,4229.56396484375
2015-09-18,4210.58447265625
2015-09-21,4258.51806640625
2015-09-22,4261.1787109375
2015-09-23,4206.81494140625
2015-09-24,4272.88525390625
2015-09-28,4254.30517578125
2015-09-29,4247.3896484375
2015-09-30,4314.56689453125
2015-10-01,4421.7412109375
2015-10-05,4492.64453125
2015-10-06,4477.78955078125
2015-10-07,4477.34521484375
2015-10-08,4461.826171875
2015-10-09,4433.71337890625
2015-10-12,4448.16943359375
2015-10-13,4430.07763671875
2015-10-14,4411.3642578125
2015-10-15,4342.5166015625
2015-10-16,4251.9189453125
2015-10-19,4282.78466796875
2015-10-20,4408.11865234375
2015-10-21,4437.7841796875
2015-10-23,4438.7177734375
2015-10-26,4442.720703125
2015-10-27,4393.9306640625
2015-10-28,4334.24365234375
2015-10-29,4314.49658203125
2015-10-30,4317.69873046875
2015-11-02,4258.67822265625
2015-11-03,4188.806640625
2015-11-04,4202.14990234375
2015-11-05,4186.93798828125
2015-11-06,4230.92578125
2015-11-09,4174.8857421875
2015-11-10,4141.484375
2015-11-13,4134.10009765625
2015-11-16,4134.6796875
2015-11-17,4122.13720703125
2015-11-18,4108.9716796875
2015-11-19,4214.95849609375
2015-11-20,4237.32958984375
2015-11-23,4210.466796875
2015-11-24,4173.64013671875
2015-11-26,4175.99658203125
2015-11-27,4168.83642578125
2015-11-30,4173.462890625
2015-12-01,4182.1806640625
2015-12-02,4202.37060546875
2015-12-03,4192.9873046875
2015-12-04,4206.68505859375
2015-12-07,4223.67578125
2015-12-08,4156.51708984375
2015-12-09,4096.11767578125
2015-12-10,4203.48388671875
2015-12-11,4210.8681640625
2015-12-14,4187.8720703125
2015-12-15,4195.2109375
2015-12-16,4189.029296875
2015-12-17,4201.7490234375
2015-12-18,4179.73291015625
2015-12-21,4181.20068359375
2015-12-22,4164.38916015625
2015-12-23,4175.46435546875
2015-12-24,4164.8349609375
2015-12-28,4159.94140625
2015-12-29,4134.76708984375
2015-12-30,4150.24560546875
2015-12-31,4150.82421875
2016-01-01,4132.9443359375
2016-01-04,4123.20361328125
2016-01-05,4169.1923828125
2016-01-06,4133.2109375
2016-01-07,4136.28076171875
2016-01-08,4139.74951171875
2016-01-11,4114.13037109375
2016-01-12,4134.10009765625
2016-01-13,4139.4375
2016-01-14,4113.3310546875
2016-01-15,4071.212158203125
2016-01-18,3971.09521484375
2016-01-19,4043.413818359375
2016-01-20,3994.2685546875
2016-01-21,3991.244384765625
2016-01-22,4013.125244140625
2016-01-25,3991.1982421875
2016-01-27,3992.445556640625
2016-01-28,3992.844482421875
2016-01-29,3987.19580078125
2016-02-01,3957.397216796875
2016-02-02,3960.5546875
2016-02-03,3918.703369140625
2016-02-04,3911.4091796875
2016-02-05,3909.630126953125
2016-02-08,3885.390869140625
2016-02-09,3816.985595703125
2016-02-10,3681.8671875
2016-02-11,3561.604248046875
2016-02-12,3620.53515625
2016-02-15,3816.496826171875
2016-02-16,3770.73095703125
2016-02-17,3878.72021484375
2016-02-18,3929.421630859375
2016-02-19,3946.322998046875
2016-02-22,3985.4609375
2016-02-23,3996.492431640625
2016-02-24,3985.818359375
2016-02-25,3964.958740234375
2016-02-26,3967.18212890625
2016-02-29,3922.528564453125
2016-03-01,3959.132568359375
2016-03-02,3997.95947265625
2016-03-03,3999.07080078125
2016-03-04,4002.58447265625
2016-03-08,4004.630859375
2016-03-09,3975.676513671875
2016-03-10,4001.606201171875
2016-03-11,4003.253173828125
2016-03-14,3998.049072265625
2016-03-15,3977.678466796875
2016-03-16,3985.595458984375
2016-03-17,3966.514892578125
2016-03-18,3903.002685546875
2016-03-21,3967.537841796875
2016-03-22,3942.765380859375
2016-03-23,3953.21728515625
2016-03-28,3903.67041015625
2016-03-29,3897.443115234375
2016-03-30,3924.974853515625
2016-03-31,3924.57373046875
2016-04-01,3902.380126953125
2016-04-04,3924.796142578125
2016-04-05,3935.958984375
2016-04-06,3915.322998046875
2016-04-07,3915.500244140625
2016-04-08,3948.768310546875
2016-04-11,3913.01025390625
2016-04-12,3938.495361328125
2016-04-13,3957.085693359375
2016-04-18,3922.661376953125
2016-04-20,3905.849853515625
2016-04-21,3897.354736328125
2016-04-22,3914.344482421875
2016-04-25,3896.02001953125
2016-04-26,3811.0263671875
2016-04-27,3794.303466796875
2016-04-28,3779.448486328125
2016-04-29,3719.0048828125
2016-05-02,3757.5654296875
2016-05-03,3760.6787109375
2016-05-04,3807.334716796875
2016-05-05,3939.295654296875
2016-05-06,3944.41015625
2016-05-09,4005.25390625
2016-05-10,4031.094970703125
2016-05-11,4023.355224609375
2016-05-12,4057.156982421875
2016-05-13,4147.7109375
2016-05-16,4188.98388671875
2016-05-17,4202.8173828125
2016-05-18,4248.40478515625
2016-05-19,4228.212890625
2016-05-20,4187.8720703125
2016-05-23,4144.59716796875
2016-05-24,4207.576171875
2016-05-25,4182.66845703125
2016-05-26,4201.52734375
2016-05-27,4178.798828125
2016-05-30,4193.3876953125
2016-05-31,4102.61083984375
2016-06-01,4158.69677734375
2016-06-02,4177.3310546875
2016-06-03,4153.22607421875
2016-06-06,4109.14990234375
2016-06-07,4113.81982421875
2016-06-08,4086.2890625
2016-06-09,4063.42919921875
2016-06-10,4075.97021484375
2016-06-13,4049.1513671875
2016-06-14,4032.69580078125
2016-06-15,4034.47412109375
2016-06-16,3978.389892578125
2016-06-17,4035.453125
2016-06-20,3952.37158203125
2016-06-21,3957.797119140625
