Date,BRE.MI
2015-08-24,5.715882778167725
2015-08-25,6.073943138122559
2015-08-26,6.018353462219238
2015-08-27,6.191661357879639
2015-08-28,6.114817142486572
2015-08-31,6.051054000854492
2015-09-01,5.934969425201416
2015-09-02,5.943143844604492
2015-09-03,6.10664176940918
2015-09-04,5.951320171356201
2015-09-07,6.0150837898254395
2015-09-08,6.1556925773620605
2015-09-09,6.312649726867676
2015-09-10,6.181851387023926
2015-09-11,6.1638665199279785
2015-09-14,6.044513702392578
2015-09-15,6.1556925773620605
2015-09-16,6.180216312408447
2015-09-17,6.212916374206543
2015-09-18,6.057592868804932
2015-09-21,5.952954292297363
2015-09-22,5.697897911071777
2015-09-23,5.907175540924072
2015-09-24,5.640673637390137
2015-09-25,5.810710906982422
2015-09-28,5.704438209533691
2015-09-29,5.519685745239258
2015-09-30,5.657023906707764
2015-10-01,5.763297080993652
2015-10-02,5.673373222351074
2015-10-05,5.846681118011475
2015-10-06,5.933335304260254
2015-10-07,5.848316192626953
2015-10-08,5.91371488571167
2015-10-09,6.054323673248291
2015-10-12,6.070672988891602
2015-10-13,5.936604976654053
2015-10-14,5.967669486999512
2015-10-15,5.962764739990234
2015-10-16,5.9186201095581055
2015-10-19,6.044513702392578
2015-10-20,6.057592868804932
2015-10-21,6.129532337188721
2015-10-22,6.217822074890137
2015-10-23,6.397669315338135
2015-10-26,6.479416847229004
2015-10-27,6.485957145690918
2015-10-28,6.507212162017822
2015-10-29,6.499038219451904
2015-10-30,6.554625988006592
2015-11-02,6.706679344177246
2015-11-03,6.642916202545166
2015-11-04,6.5905961990356445
2015-11-05,6.5971360206604
2015-11-06,6.646185874938965
2015-11-09,6.577516078948975
2015-11-10,6.618391036987305
2015-11-11,6.566071033477783
2015-11-12,6.806413650512695
2015-11-13,6.68705940246582
2015-11-16,6.741014003753662
2015-11-17,6.8145880699157715
2015-11-18,6.847287178039551
2015-11-19,6.768808364868164
2015-11-20,6.829302787780762
2015-11-23,6.948657989501953
2015-11-24,6.891432285308838
2015-11-25,6.914320945739746
2015-11-26,6.9633708000183105
2015-11-27,7.022230625152588
2015-11-30,7.112154960632324
2015-12-01,7.228236675262451
2015-12-02,7.15629768371582
2015-12-03,7.1481242179870605
2015-12-04,7.188998699188232
2015-12-07,7.269113063812256
2015-12-08,7.171014308929443
2015-12-09,7.081089973449707
2015-12-10,7.002610683441162
2015-12-11,6.9633708000183105
2015-12-14,6.8996076583862305
2015-12-15,6.984626293182373
2015-12-16,7.095804691314697
2015-12-17,7.298542022705078
2015-12-18,7.177553653717041
2015-12-21,7.130139350891113
2015-12-22,7.151393890380859
2015-12-23,7.226601600646973
2015-12-28,7.198807716369629
2015-12-29,7.275651931762695
2015-12-30,7.305081367492676
2015-12-31,7.305081367492676
2016-01-04,7.169378757476807
2016-01-05,7.139949798583984
2016-01-06,6.927401065826416
2016-01-07,6.525197982788086
2016-01-08,6.5415472984313965
2016-01-11,6.428733825683594
2016-01-12,6.600406646728516
2016-01-13,6.781888484954834
2016-01-14,6.551356792449951
2016-01-15,6.212916374206543
2016-01-18,6.1982011795043945
2016-01-19,6.275045871734619
2016-01-20,5.946414947509766
2016-01-21,6.20310640335083
2016-01-22,6.2488861083984375
2016-01-25,6.306109428405762
2016-01-26,6.319189548492432
2016-01-27,6.387858867645264
2016-01-28,6.230900764465332
2016-01-29,6.167137145996094
2016-02-01,6.230900764465332
2016-02-02,6.059227466583252
2016-02-03,5.992194175720215
2016-02-04,5.8646650314331055
2016-02-05,5.704438209533691
2016-02-08,5.3594584465026855
2016-02-09,5.516415119171143
2016-02-10,5.722423076629639
2016-02-11,5.675008773803711
2016-02-12,5.732232570648193
2016-02-15,6.039608955383301
2016-02-16,5.974209785461426
2016-02-17,6.119722366333008
2016-02-18,6.140976905822754
2016-02-19,6.10010290145874
2016-02-22,6.237440586090088
2016-02-23,6.111547470092773
2016-02-24,5.975844860076904
2016-02-25,6.073943138122559
2016-02-26,6.129532337188721
2016-02-29,6.219455718994141
2016-03-01,6.351889610290527
2016-03-02,6.324095726013184
2016-03-03,7.046756267547607
2016-03-04,7.082724094390869
2016-03-07,7.11706018447876
2016-03-08,7.07945442199707
2016-03-09,7.120328903198242
2016-03-10,7.071280002593994
2016-03-11,7.066373825073242
2016-03-14,7.161202430725098
2016-03-15,7.143219470977783
2016-03-16,7.249492168426514
2016-03-17,7.141584873199463
2016-03-18,7.229872226715088
2016-03-21,7.076183795928955
2016-03-22,7.269113063812256
2016-03-23,7.15302848815918
2016-03-24,7.151393890380859
2016-03-29,7.169378757476807
2016-03-30,7.314891338348389
2016-03-31,7.430974960327148
2016-04-01,7.4031805992126465
2016-04-04,7.355764389038086
2016-04-05,7.1448540687561035
2016-04-06,7.188998699188232
2016-04-07,7.162837982177734
2016-04-08,7.274016380310059
2016-04-11,7.309986591339111
2016-04-12,7.357400417327881
2016-04-13,7.4064507484436035
2016-04-14,7.422800064086914
2016-04-15,7.393372535705566
2016-04-18,7.357400417327881
2016-04-19,7.439150333404541
2016-04-20,7.471850395202637
2016-04-21,7.5110883712768555
2016-04-22,7.7677812576293945
2016-04-25,7.715461254119873
2016-04-26,7.635347366333008
2016-04-27,7.682762145996094
2016-04-28,7.741621494293213
2016-04-29,7.669681072235107
2016-05-02,7.722000598907471
2016-05-03,7.669681072235107
2016-05-04,7.6304426193237305
2016-05-05,7.6304426193237305
2016-05-06,7.682762145996094
2016-05-09,7.7105560302734375
2016-05-10,7.8560686111450195
2016-05-11,8.477361679077148
2016-05-12,8.501885414123535
