Date,BHEL.NS
2015-08-03,172.70144653320312
2015-08-04,171.99954223632812
2015-08-05,171.23658752441406
2015-08-06,172.39630126953125
2015-08-07,162.44741821289062
2015-08-10,166.2926788330078
2015-08-11,162.99673461914062
2015-08-12,158.6326446533203
2015-08-13,157.8391876220703
2015-08-14,159.60923767089844
2015-08-17,159.88388061523438
2015-08-18,159.60923767089844
2015-08-19,160.0670166015625
2015-08-20,154.39065551757812
2015-08-21,151.88818359375
2015-08-24,140.10821533203125
2015-08-25,140.9932403564453
2015-08-26,146.57801818847656
2015-08-27,141.35943603515625
2015-08-28,143.1905517578125
2015-08-31,138.2161102294922
2015-09-01,132.90597534179688
2015-09-02,126.0394287109375
2015-09-03,129.15223693847656
2015-09-04,125.85630798339844
2015-09-07,122.56036376953125
2015-09-08,129.45741271972656
2015-09-09,129.85415649414062
2015-09-10,132.47869873046875
2015-09-11,128.60293579101562
2015-09-14,130.54348754882812
2015-09-15,129.90069580078125
2015-09-16,128.76820373535156
2015-09-18,127.48267364501953
2015-09-21,126.8093032836914
2015-09-22,123.47300720214844
2015-09-23,121.88137817382812
2015-09-24,121.29983520507812
2015-09-28,119.4633560180664
2015-09-29,120.71827697753906
2015-09-30,125.829833984375
2015-10-01,122.034423828125
2015-10-05,124.97281646728516
2015-10-06,121.0549545288086
2015-10-07,124.11577606201172
2015-10-08,124.75855255126953
2015-10-09,123.595458984375
2015-10-12,125.7992172241211
2015-10-13,127.60509490966797
2015-10-14,125.67680358886719
2015-10-15,129.65582275390625
2015-10-16,130.7883758544922
2015-10-19,131.36990356445312
2015-10-20,130.11495971679688
2015-10-21,127.60509490966797
2015-10-23,128.52333068847656
2015-10-26,133.17578125
2015-10-27,131.24749755859375
2015-10-28,130.0231170654297
2015-10-29,124.42186737060547
2015-10-30,121.72834777832031
2015-11-02,122.55477142333984
2015-11-03,123.07511138916016
2015-11-04,123.07511138916016
2015-11-05,119.00424194335938
2015-11-06,117.1983413696289
2015-11-09,112.97444152832031
2015-11-10,109.20963287353516
2015-11-13,108.93415832519531
2015-11-16,109.24024963378906
2015-11-17,109.45451354980469
2015-11-18,106.94464874267578
2015-11-19,107.61801147460938
2015-11-20,107.89349365234375
2015-11-23,107.25072479248047
2015-11-24,106.42430877685547
2015-11-26,106.11820983886719
2015-11-27,107.7404556274414
2015-11-30,107.12828826904297
2015-12-01,107.40376281738281
2015-12-02,105.9651870727539
2015-12-03,103.24107360839844
2015-12-04,103.05741882324219
2015-12-07,103.33289337158203
2015-12-08,100.82302856445312
2015-12-09,103.39411163330078
2015-12-10,102.56768798828125
2015-12-11,101.31275177001953
2015-12-14,102.32282257080078
2015-12-15,101.6800537109375
2015-12-16,102.96559143066406
2015-12-17,103.4859390258789
2015-12-18,101.92491149902344
2015-12-21,102.2922134399414
2015-12-22,101.5882339477539
2015-12-23,105.35301208496094
