Date,NETC.CO
2018-06-07,200.63455200195312
2018-06-08,202.6309051513672
2018-06-11,210.61636352539062
2018-06-12,204.6272735595703
2018-06-13,208.6199951171875
2018-06-14,209.61817932128906
2018-06-15,212.61273193359375
2018-06-18,213.810546875
2018-06-19,212.31326293945312
2018-06-20,214.0101776123047
2018-06-21,222.49472045898438
2018-06-22,227.68527221679688
2018-06-25,222.59454345703125
2018-06-26,231.67800903320312
2018-06-27,232.7760009765625
2018-06-28,231.12899780273438
2018-06-29,233.27508544921875
2018-07-02,230.67982482910156
2018-07-03,235.82044982910156
2018-07-04,239.21426391601562
2018-07-05,237.76690673828125
2018-07-06,231.2288055419922
2018-07-09,227.78509521484375
2018-07-10,225.8885498046875
2018-07-11,224.59091186523438
2018-07-12,224.59091186523438
2018-07-13,223.04373168945312
2018-07-16,224.59091186523438
2018-07-17,224.59091186523438
2018-07-18,224.59091186523438
2018-07-19,225.58909606933594
2018-07-20,225.83863830566406
2018-07-23,227.93482971191406
2018-07-24,232.87582397460938
2018-07-25,230.8295440673828
2018-07-26,235.17164611816406
2018-07-27,236.569091796875
2018-07-30,234.8721923828125
2018-07-31,231.37855529785156
2018-08-01,230.77963256835938
2018-08-02,230.08090209960938
2018-08-03,229.23245239257812
2018-08-06,230.08090209960938
2018-08-07,231.07908630371094
2018-08-08,225.6889190673828
2018-08-09,228.98291015625
2018-08-10,232.02735900878906
2018-08-13,231.97744750976562
2018-08-14,231.27871704101562
2018-08-15,231.77781677246094
2018-08-16,236.3694610595703
2018-08-17,235.02191162109375
2018-08-20,234.57272338867188
2018-08-21,218.60182189941406
2018-08-22,221.09727478027344
2018-08-23,226.98654174804688
2018-08-24,239.56362915039062
2018-08-27,246.5509033203125
2018-08-28,252.49008178710938
2018-08-29,257.5309143066406
2018-08-30,258.1797180175781
2018-08-31,259.52728271484375
2018-09-03,250.8430938720703
2018-09-04,244.80409240722656
2018-09-05,245.25326538085938
2018-09-06,241.36036682128906
2018-09-07,234.57272338867188
2018-09-10,237.7169952392578
2018-09-11,234.57272338867188
2018-09-12,227.58544921875
2018-09-13,227.58544921875
2018-09-14,225.5391845703125
2018-09-17,222.59454345703125
2018-09-18,221.64627075195312
2018-09-19,225.58909606933594
2018-09-20,225.58909606933594
2018-09-21,233.17527770996094
2018-09-24,226.537353515625
2018-09-25,224.69073486328125
2018-09-26,227.236083984375
2018-09-27,225.0400848388672
2018-09-28,230.5800018310547
2018-10-01,230.5800018310547
2018-10-02,228.633544921875
2018-10-03,226.73699951171875
2018-10-04,223.44300842285156
2018-10-05,221.14718627929688
2018-10-08,212.5628204345703
2018-10-09,209.6680908203125
2018-10-10,209.61817932128906
2018-10-11,209.61817932128906
2018-10-12,225.63900756835938
2018-10-15,227.58544921875
2018-10-16,235.3213653564453
2018-10-17,247.29954528808594
2018-10-18,243.50645446777344
2018-10-19,240.91119384765625
2018-10-22,234.9720001220703
2018-10-23,223.09364318847656
2018-10-24,221.5963592529297
2018-10-25,222.59454345703125
2018-10-26,219.60000610351562
2018-10-29,217.6036376953125
2018-10-30,210.46664428710938
2018-10-31,217.45391845703125
2018-11-01,224.59091186523438
2018-11-02,231.57818603515625
2018-11-05,230.5800018310547
2018-11-06,238.56546020507812
2018-11-07,237.06817626953125
2018-11-08,224.89036560058594
2018-11-09,221.8958282470703
2018-11-12,220.69801330566406
2018-11-13,215.10818481445312
2018-11-14,218.20254516601562
2018-11-15,216.4557342529297
2018-11-16,221.14718627929688
2018-11-19,219.300537109375
2018-11-20,211.8640899658203
2018-11-21,209.61817932128906
2018-11-22,207.07281494140625
2018-11-23,205.525634765625
2018-11-26,205.12635803222656
2018-11-27,209.61817932128906
2018-11-28,204.92672729492188
2018-11-29,211.6145477294922
2018-11-30,217.0047149658203
2018-12-03,223.64263916015625
2018-12-04,215.2080078125
2018-12-05,212.6626434326172
2018-12-06,202.68081665039062
2018-12-07,202.6309051513672
2018-12-10,194.1064453125
2018-12-11,205.22618103027344
2018-12-12,205.92491149902344
2018-12-13,212.2134552001953
2018-12-14,209.6680908203125
2018-12-17,212.61273193359375
2018-12-18,213.7107391357422
2018-12-19,215.15809631347656
2018-12-20,207.621826171875
2018-12-21,210.0174560546875
2018-12-27,207.5718994140625
2018-12-28,219.60000610351562
2019-01-02,224.191650390625
2019-01-03,216.7052764892578
2019-01-04,221.5963592529297
2019-01-07,220.09909057617188
2019-01-08,230.1807403564453
2019-01-09,234.77235412597656
2019-01-10,233.5745391845703
2019-01-11,231.97744750976562
2019-01-14,233.07545471191406
2019-01-15,235.22154235839844
2019-01-16,227.28599548339844
2019-01-17,223.29327392578125
2019-01-18,221.14718627929688
2019-01-21,220.39854431152344
2019-01-22,220.9475555419922
2019-01-23,221.396728515625
2019-01-24,217.85317993164062
2019-01-25,220.44845581054688
2019-01-28,216.3559112548828
2019-01-29,218.25244140625
2019-01-30,217.35409545898438
2019-01-31,219.60000610351562
2019-02-01,217.6036376953125
2019-02-04,220.29872131347656
2019-02-05,219.8994598388672
2019-02-06,205.4258270263672
2019-02-07,206.62364196777344
2019-02-08,206.62364196777344
2019-02-11,202.03199768066406
2019-02-12,199.98573303222656
2019-02-13,205.62545776367188
2019-02-14,210.76608276367188
2019-02-15,213.810546875
2019-02-18,219.60000610351562
2019-02-19,216.15628051757812
2019-02-20,231.92755126953125
2019-02-21,229.58181762695312
2019-02-22,235.52099609375
2019-02-25,235.7206268310547
2019-02-26,235.17164611816406
2019-02-27,235.870361328125
2019-02-28,238.8649139404297
2019-03-01,237.21791076660156
