Date,TSCO.L
2015-08-24,228.75033569335938
2015-08-25,234.93963623046875
2015-08-26,235.19224548339844
2015-08-27,241.82359313964844
2015-08-28,241.69725036621094
2015-09-01,234.1818084716797
2015-09-02,233.48704528808594
2015-09-03,239.4236297607422
2015-09-04,234.87640380859375
2015-09-07,234.87640380859375
2015-09-08,238.72900390625
2015-09-09,241.5077667236328
2015-09-10,234.37123107910156
2015-09-11,229.066162109375
2015-09-14,225.40304565429688
2015-09-15,223.5715789794922
2015-09-16,226.35040283203125
2015-09-17,222.62423706054688
2015-09-18,220.60324096679688
2015-09-21,222.93997192382812
2015-09-22,212.45611572265625
2015-09-23,212.89820861816406
2015-09-24,208.6036376953125
2015-09-25,211.50880432128906
2015-09-28,209.929931640625
2015-09-29,216.371826171875
2015-09-30,231.40289306640625
2015-10-01,225.1504669189453
2015-10-02,227.17147827148438
2015-10-05,235.63426208496094
2015-10-06,242.70779418945312
2015-10-07,248.8339385986328
2015-10-08,254.83367919921875
2015-10-09,258.6862487792969
2015-10-12,254.95997619628906
2015-10-13,245.10769653320312
2015-10-14,243.0867462158203
2015-10-15,242.70779418945312
2015-10-16,248.77078247070312
2015-10-19,244.53927612304688
2015-10-20,238.85525512695312
2015-10-21,237.6553192138672
2015-10-22,237.78167724609375
2015-10-23,240.74993896484375
2015-10-26,240.686767578125
2015-10-27,233.9290771484375
2015-10-28,238.41319274902344
2015-10-29,234.4974822998047
2015-10-30,231.52923583984375
2015-11-02,232.3502197265625
2015-11-03,233.2344207763672
2015-11-04,238.3500518798828
2015-11-05,232.41334533691406
2015-11-06,231.02395629882812
2015-11-09,225.5293731689453
2015-11-10,221.36109924316406
2015-11-11,219.78225708007812
2015-11-12,216.87704467773438
2015-11-13,210.94041442871094
2015-11-16,209.929931640625
2015-11-17,213.4665985107422
2015-11-18,215.86656188964844
2015-11-19,217.2559356689453
2015-11-20,216.56130981445312
2015-11-23,208.5404510498047
2015-11-24,207.6562957763672
2015-11-25,212.83506774902344
2015-11-26,214.72972106933594
2015-11-27,213.65606689453125
2015-11-30,211.1929473876953
2015-12-01,211.69827270507812
2015-12-02,211.31932067871094
2015-12-03,207.02468872070312
2015-12-04,205.38270568847656
2015-12-07,198.30921936035156
2015-12-08,197.7407989501953
2015-12-09,193.25680541992188
2015-12-10,190.16209411621094
2015-12-11,182.33079528808594
2015-12-14,180.68870544433594
2015-12-15,188.58322143554688
2015-12-16,186.941162109375
2015-12-17,182.9623260498047
2015-12-18,181.19398498535156
2015-12-21,183.5306854248047
2015-12-22,182.9623260498047
2015-12-23,193.13043212890625
2015-12-24,190.60421752929688
2015-12-29,190.91993713378906
2015-12-30,190.16209411621094
2015-12-31,188.83584594726562
2016-01-04,179.67822265625
2016-01-05,182.3939208984375
2016-01-06,178.79400634765625
2016-01-07,175.82577514648438
2016-01-08,185.5517578125
2016-01-11,183.72019958496094
2016-01-12,196.0355682373047
2016-01-13,199.95126342773438
2016-01-14,212.2035369873047
2016-01-15,207.71946716308594
2016-01-18,204.05642700195312
2016-01-19,200.96176147460938
2016-01-20,192.4989013671875
2016-01-21,197.1092529296875
2016-01-22,202.79327392578125
2016-01-25,196.6671905517578
2016-01-26,202.54071044921875
2016-01-27,203.36167907714844
2016-01-28,209.929931640625
2016-01-29,219.0244140625
2016-02-01,216.9402313232422
2016-02-02,216.11912536621094
2016-02-03,212.58245849609375
2016-02-04,214.6033935546875
2016-02-05,220.5401153564453
2016-02-08,218.01382446289062
2016-02-09,219.52955627441406
2016-02-10,229.0029296875
2016-02-11,226.85565185546875
2016-02-12,223.5715789794922
2016-02-15,225.84521484375
2016-02-16,228.05560302734375
2016-02-17,236.01324462890625
2016-02-18,235.886962890625
2016-02-19,231.52923583984375
2016-02-22,233.2344207763672
2016-02-23,226.79254150390625
2016-02-24,223.19265747070312
2016-02-25,228.05560302734375
2016-02-26,232.60284423828125
2016-02-29,227.8661346435547
2016-03-01,232.3502197265625
2016-03-02,229.44509887695312
2016-03-03,235.12913513183594
2016-03-04,240.93942260742188
2016-03-07,242.2656707763672
2016-03-08,246.4971466064453
2016-03-09,246.56028747558594
2016-03-10,238.22369384765625
2016-03-11,242.7709503173828
2016-03-14,243.97088623046875
2016-03-15,240.30789184570312
2016-03-16,240.81314086914062
2016-03-17,243.71827697753906
2016-03-18,246.11822509765625
2016-03-21,249.40231323242188
2016-03-22,254.7073974609375
2016-03-23,249.5285186767578
2016-03-24,239.7394561767578
2016-03-29,239.23416137695312
2016-03-30,244.72877502441406
2016-03-31,242.2656707763672
2016-04-01,239.9920654296875
2016-04-04,241.12887573242188
2016-04-05,237.0238037109375
2016-04-06,241.82359313964844
2016-04-07,241.63412475585938
2016-04-08,240.686767578125
2016-04-11,244.41299438476562
2016-04-12,247.94967651367188
2016-04-13,228.6239776611328
2016-04-14,224.39256286621094
2016-04-15,226.79254150390625
2016-04-18,228.56088256835938
2016-04-19,229.6345672607422
2016-04-20,229.88714599609375
2016-04-21,233.67648315429688
2016-04-22,235.697509765625
2016-04-25,233.36068725585938
2016-04-26,231.7187042236328
2016-04-27,220.792724609375
2016-04-28,218.8980255126953
2016-04-29,217.38226318359375
2016-05-03,213.78240966796875
2016-05-04,202.1617431640625
2016-05-05,201.9722900390625
2016-05-06,201.1511993408203
2016-05-09,198.05661010742188
2016-05-10,201.9722900390625
2016-05-11,201.27755737304688
2016-05-12,196.5408477783203
2016-05-13,204.1826629638672
