Date,PLD
2015-08-03,30.39430046081543
2015-08-04,30.25220489501953
2015-08-05,30.274635314941406
2015-08-06,30.431699752807617
2015-08-07,30.484039306640625
2015-08-10,30.461606979370117
2015-08-11,30.768238067626953
2015-08-12,30.798152923583984
2015-08-13,30.850505828857422
2015-08-14,30.92529296875
2015-08-17,31.366558074951172
2015-08-18,31.598400115966797
2015-08-19,31.493696212768555
2015-08-20,31.119752883911133
2015-08-21,30.409255981445312
2015-08-24,28.479694366455078
2015-08-25,27.260635375976562
2015-08-26,28.068363189697266
2015-08-27,28.958349227905273
2015-08-28,29.085487365722656
2015-08-31,28.419862747192383
2015-09-01,27.627107620239258
2015-09-02,28.001041412353516
2015-09-03,28.27776336669922
2015-09-04,27.432649612426758
2015-09-08,27.873903274536133
2015-09-09,27.29802131652832
2015-09-10,27.485000610351562
2015-09-11,27.84398078918457
2015-09-14,27.821556091308594
2015-09-15,28.22542381286621
2015-09-16,28.505102157592773
2015-09-17,28.867931365966797
2015-09-18,28.83768653869629
2015-09-21,29.223203659057617
2015-09-22,28.83013343811035
2015-09-23,29.05690574645996
2015-09-24,28.73185920715332
2015-09-25,29.223203659057617
2015-09-28,28.739425659179688
2015-09-29,29.283674240112305
2015-09-30,29.404626846313477
2015-10-01,29.69186019897461
2015-10-02,30.13783836364746
2015-10-05,30.644296646118164
2015-10-06,30.644296646118164
2015-10-07,30.80303955078125
2015-10-08,31.165868759155273
2015-10-09,31.30194091796875
2015-10-12,31.67989158630371
2015-10-13,31.218778610229492
2015-10-14,30.954219818115234
2015-10-15,31.36996841430664
2015-10-16,31.50603675842285
2015-10-19,31.974689483642578
2015-10-20,32.32241439819336
2015-10-21,32.345069885253906
2015-10-22,32.662559509277344
2015-10-23,32.52649688720703
2015-10-26,32.67768478393555
2015-10-27,32.59452819824219
2015-10-28,32.76839065551758
2015-10-29,32.624759674072266
2015-10-30,32.29971694946289
2015-11-02,33.01783752441406
2015-11-03,32.69279098510742
2015-11-04,32.632320404052734
2015-11-05,32.61720657348633
2015-11-06,31.649646759033203
2015-11-09,30.88619613647461
2015-11-10,31.097841262817383
2015-11-11,31.24901580810547
2015-11-12,31.037368774414062
2015-11-13,30.96933364868164
2015-11-16,31.59674835205078
2015-11-17,31.445556640625
2015-11-18,31.952014923095703
2015-11-19,31.967134475708008
2015-11-20,32.579402923583984
2015-11-23,32.67012405395508
2015-11-24,32.76081085205078
2015-11-25,32.685237884521484
2015-11-27,32.957359313964844
2015-11-30,32.31483840942383
2015-12-01,33.010276794433594
2015-12-02,32.012489318847656
2015-12-03,31.3548526763916
2015-12-04,32.27703857421875
2015-12-07,32.24681091308594
2015-12-08,32.08051300048828
2015-12-09,31.846189498901367
2015-12-10,31.7403621673584
2015-12-11,31.60299301147461
2015-12-14,31.51140594482422
2015-12-15,31.717466354370117
2015-12-16,32.29746627807617
2015-12-17,32.053260803222656
2015-12-18,31.816673278808594
2015-12-21,31.976943969726562
2015-12-22,32.106685638427734
2015-12-23,32.35090255737305
2015-12-24,32.40431594848633
2015-12-28,32.747745513916016
2015-12-29,33.25143051147461
2015-12-30,32.999595642089844
2015-12-31,32.7553825378418
2016-01-04,31.976943969726562
2016-01-05,32.64852523803711
2016-01-06,32.47300720214844
2016-01-07,31.625885009765625
2016-01-08,31.343509674072266
2016-01-11,31.305356979370117
2016-01-12,31.053508758544922
2016-01-13,30.90850830078125
2016-01-14,30.259807586669922
2016-01-15,29.61874008178711
2016-01-19,29.79427146911621
2016-01-20,28.550294876098633
2016-01-21,28.79450798034668
2016-01-22,29.450841903686523
2016-01-25,29.168466567993164
2016-01-26,30.412446975708008
2016-01-27,30.1224365234375
2016-01-28,29.672155380249023
2016-01-29,30.1224365234375
2016-02-01,30.1224365234375
2016-02-02,29.969797134399414
2016-02-03,30.160598754882812
2016-02-04,30.206384658813477
2016-02-05,29.946889877319336
2016-02-08,28.733463287353516
2016-02-09,28.542661666870117
2016-02-10,28.46634864807129
2016-02-11,27.14606285095215
2016-02-12,27.527647018432617
2016-02-16,28.359508514404297
2016-02-17,28.588449478149414
2016-02-18,28.74872398376465
2016-02-19,28.489242553710938
2016-02-22,28.779253005981445
2016-02-23,28.9318790435791
2016-02-24,29.13031005859375
2016-02-25,29.817174911499023
2016-02-26,29.466102600097656
2016-02-29,29.351634979248047
2016-03-01,30.740602493286133
2016-03-02,30.88561248779297
2016-03-03,31.305356979370117
2016-03-04,31.66404914855957
2016-03-07,31.74798583984375
2016-03-08,31.549556732177734
2016-03-09,31.83957290649414
2016-03-10,31.595352172851562
2016-03-11,32.427215576171875
2016-03-14,32.35090255737305
2016-03-15,32.32037353515625
2016-03-16,32.628700256347656
2016-03-17,33.12202453613281
2016-03-18,32.95244598388672
2016-03-21,32.84452438354492
2016-03-22,32.80598831176758
2016-03-23,32.51306915283203
2016-03-24,32.62099075317383
2016-03-28,33.106597900390625
2016-03-29,33.79263687133789
2016-03-30,33.66157913208008
2016-03-31,34.05470657348633
2016-04-01,34.39386749267578
2016-04-04,34.21657180786133
2016-04-05,34.008453369140625
2016-04-06,33.95450973510742
2016-04-07,33.646175384521484
2016-04-08,34.008453369140625
2016-04-11,33.89283752441406
2016-04-12,33.89283752441406
2016-04-13,34.32449722290039
2016-04-14,34.22430419921875
2016-04-15,34.55575180053711
2016-04-18,34.779273986816406
2016-04-19,35.288021087646484
2016-04-20,34.709903717041016
2016-04-21,34.1009635925293
