Date,MUV2.DE
2015-08-24,104.51904296875
2015-08-25,105.90208435058594
2015-08-26,106.23137664794922
2015-08-27,107.48270416259766
2015-08-28,108.04252624511719
2015-08-31,107.87788391113281
2015-09-01,106.98876953125
2015-09-02,107.61444091796875
2015-09-03,109.22798919677734
2015-09-04,107.87788391113281
2015-09-07,108.20716857910156
2015-09-08,109.39263916015625
2015-09-09,109.3597183227539
2015-09-10,109.42556762695312
2015-09-11,109.12921142578125
2015-09-14,108.66817474365234
2015-09-15,109.29385375976562
2015-09-16,109.91949462890625
2015-09-17,110.44638061523438
2015-09-18,108.20716857910156
2015-09-21,109.88658905029297
2015-09-22,107.51563262939453
2015-09-23,108.76697540283203
2015-09-24,108.07544708251953
2015-09-25,110.54517364501953
2015-09-28,110.18294525146484
2015-09-29,108.56939697265625
2015-09-30,109.82070922851562
2015-10-01,108.47061920166016
2015-10-02,107.97666931152344
2015-10-05,109.7548599243164
2015-10-06,110.15003204345703
2015-10-07,110.34758758544922
2015-10-08,111.26963806152344
2015-10-09,111.20379638671875
2015-10-12,111.3684310913086
2015-10-13,109.91949462890625
2015-10-14,109.39263916015625
2015-10-15,110.64396667480469
2015-10-16,112.12580108642578
2015-10-19,112.42216491699219
2015-10-20,112.78439331054688
2015-10-21,113.54178619384766
2015-10-22,115.6493148803711
2015-10-23,117.09821319580078
2015-10-26,117.95437622070312
2015-10-27,117.49335479736328
2015-10-28,118.8434829711914
2015-10-29,119.46915435791016
2015-10-30,119.53499603271484
2015-11-02,120.02893829345703
2015-11-03,119.6996841430664
2015-11-04,118.90933227539062
2015-11-05,118.81057739257812
2015-11-06,118.18487548828125
2015-11-09,117.62506866455078
2015-11-10,117.75679779052734
2015-11-11,119.07400512695312
2015-11-12,119.07400512695312
2015-11-13,118.64588928222656
2015-11-16,119.00812530517578
2015-11-17,120.19359588623047
2015-11-18,120.42410278320312
2015-11-19,121.51079559326172
2015-11-20,121.70836639404297
2015-11-23,121.7413101196289
2015-11-24,120.52288818359375
