Date,LRD.L
2015-08-24,2.528717041015625
2015-08-25,2.7020533084869385
2015-08-26,2.6542606353759766
2015-08-27,2.7227401733398438
2015-08-28,2.7191734313964844
2015-08-31,2.7191734313964844
2015-09-01,2.688500165939331
2015-09-02,2.669954299926758
2015-09-03,2.6835076808929443
2015-09-04,2.642847776412964
2015-09-08,2.679940700531006
2015-09-09,2.7134664058685303
2015-09-10,2.663533926010132
2015-09-11,2.657114028930664
2015-09-14,2.657827138900757
2015-09-15,2.669241189956665
2015-09-16,2.6549746990203857
2015-09-17,2.6749470233917236
2015-09-18,2.6763741970062256
2015-09-21,2.635714530944824
2015-09-22,2.55867600440979
2015-09-23,2.5679495334625244
2015-09-24,2.5672361850738525
2015-09-25,2.6492676734924316
2015-09-28,2.5943429470062256
2015-09-29,2.632148027420044
2015-09-30,2.6856467723846436
2015-10-01,2.69563364982605
2015-10-02,2.6606807708740234
2015-10-05,2.705620050430298
2015-10-06,2.7063331604003906
2015-10-07,2.7034800052642822
2015-10-08,2.7063331604003906
2015-10-09,2.657114028930664
2015-10-12,2.6499810218811035
2015-10-13,2.631434679031372
2015-10-14,2.5408430099487305
2015-10-15,2.507317304611206
2015-10-16,2.475931167602539
2015-10-19,2.505890130996704
2015-10-20,2.522296667098999
2015-10-21,2.585782289505005
2015-10-22,2.635714530944824
2015-10-23,2.6178815364837646
2015-10-26,2.58364200592041
2015-10-27,2.5251502990722656
2015-10-28,2.496617555618286
2015-10-29,2.403886556625366
2015-10-30,2.4174387454986572
2015-11-02,2.4431185722351074
2015-11-03,2.5294299125671387
2015-11-04,2.5315701961517334
2015-11-05,2.5113461017608643
2015-11-06,2.546015977859497
2015-11-09,2.507734775543213
2015-11-10,2.506290912628174
2015-11-11,2.499068021774292
2015-11-12,2.4918453693389893
2015-11-13,2.503401517868042
2015-11-16,2.4918453693389893
2015-11-17,2.509902000427246
2015-11-18,2.488234043121338
2015-11-19,2.504845380783081
2015-11-20,2.506290912628174
2015-11-23,2.4817333221435547
2015-11-24,2.4571759700775146
2015-11-25,2.454286575317383
2015-11-27,2.523625612258911
2015-11-30,2.5785179138183594
2015-12-01,2.633410692214966
2015-12-02,2.6471338272094727
2015-12-03,2.7280290126800537
2015-12-04,2.733806610107422
2015-12-07,2.6940817832946777
2015-12-08,2.665912628173828
2015-12-09,2.624743700027466
2015-12-10,2.6276330947875977
2015-12-11,2.5315704345703125
2015-12-14,2.45139741897583
2015-12-15,2.4550087451934814
2015-12-16,2.4557318687438965
2015-12-17,2.4557318687438965
2015-12-18,2.4463419914245605
2015-12-21,2.4846224784851074
2015-12-22,2.488234043121338
2015-12-23,2.4773998260498047
2015-12-24,2.4665658473968506
2015-12-28,2.4665658473968506
2015-12-29,2.5424046516418457
2015-12-30,2.5958526134490967
2015-12-31,2.5633504390716553
2016-01-04,2.4954566955566406
2016-01-05,2.50051212310791
2016-01-06,2.430452346801758
2016-01-07,2.35172438621521
2016-01-08,2.3762807846069336
2016-01-11,2.60668683052063
2016-01-12,2.5532386302948
2016-01-13,2.4846224784851074
2016-01-14,2.4687321186065674
2016-01-15,2.4116721153259277
2016-01-19,2.3777260780334473
2016-01-20,2.285996913909912
2016-01-21,2.3589470386505127
2016-01-22,2.4376749992370605
2016-01-25,2.4448976516723633
2016-01-26,2.4123952388763428
2016-01-27,2.4448976516723633
2016-01-28,2.4369521141052246
2016-01-29,2.564072370529175
2016-02-01,2.5496270656585693
2016-02-02,2.527958869934082
2016-02-03,2.527958869934082
2016-02-04,2.527958869934082
2016-02-05,2.522902488708496
2016-02-08,2.4708993434906006
2016-02-09,2.409505844116211
2016-02-10,2.405172348022461
2016-02-11,2.3184988498687744
2016-02-12,2.361835479736328
2016-02-16,2.3726696968078613
2016-02-17,2.4687321186065674
2016-02-18,2.4773998260498047
2016-02-19,2.4167287349700928
2016-02-22,2.4239516258239746
2016-02-23,2.4477858543395996
2016-02-24,2.380614995956421
2016-02-25,2.4145615100860596
2016-02-26,2.403005361557007
2016-02-29,2.434063673019409
2016-03-01,2.481011152267456
2016-03-02,2.6391892433166504
2016-03-03,2.6724133491516113
2016-03-04,2.7143056392669678
2016-03-07,2.7598090171813965
2016-03-08,2.699860095977783
2016-03-09,2.744640588760376
2016-03-10,2.744640588760376
2016-03-11,2.744640588760376
2016-03-14,2.7229726314544678
2016-03-15,2.7193610668182373
2016-03-16,2.702749490737915
2016-03-17,2.6637463569641113
2016-03-18,2.6543567180633545
2016-03-21,2.673858404159546
2016-03-22,2.6948037147521973
2016-03-23,2.708527088165283
2016-03-24,2.691915512084961
2016-03-29,2.7013044357299805
2016-03-30,2.7590858936309814
2016-03-31,2.751863479614258
2016-04-01,2.74680757522583
2016-04-04,2.7323625087738037
2016-04-05,2.702749490737915
2016-04-06,2.708527088165283
2016-04-07,2.650745153427124
2016-04-08,2.6565239429473877
2016-04-11,2.6586902141571045
2016-04-12,2.6435227394104004
2016-04-13,2.731640338897705
2016-04-14,2.729473352432251
2016-04-15,2.7258617877960205
2016-04-18,2.6760246753692627
2016-04-19,2.6182429790496826
2016-04-20,2.624021530151367
2016-04-21,2.626910924911499
2016-04-22,2.5958526134490967
2016-04-25,2.6211323738098145
