Date,NESN.SW
2015-08-24,51.380821228027344
2015-08-25,52.95830154418945
2015-08-26,52.13199996948242
2015-08-27,53.333900451660156
2015-08-28,53.25877380371094
2015-08-31,53.55924987792969
2015-09-01,52.6578254699707
2015-09-02,52.808074951171875
2015-09-03,53.409019470214844
2015-09-04,52.99586486816406
2015-09-07,53.44657516479492
2015-09-08,53.52168273925781
2015-09-09,54.42310333251953
2015-09-10,54.12263488769531
2015-09-11,53.93483352661133
2015-09-14,53.747047424316406
2015-09-15,54.76113510131836
2015-09-16,55.1367301940918
2015-09-17,55.58743667602539
2015-09-18,55.174293518066406
2015-09-21,55.58743667602539
2015-09-22,54.04751205444336
2015-09-23,53.85971450805664
2015-09-24,52.88318634033203
2015-09-25,54.38554382324219
2015-09-28,54.00995635986328
2015-09-29,53.484127044677734
2015-09-30,55.024051666259766
2015-10-01,55.024051666259766
2015-10-02,55.09916687011719
2015-10-05,56.11326599121094
2015-10-06,56.18838882446289
2015-10-07,55.51231384277344
2015-10-08,55.81278610229492
2015-10-09,55.81278610229492
2015-10-12,56.2259407043457
2015-10-13,56.338619232177734
2015-10-14,55.850345611572266
2015-10-15,56.451297760009766
2015-10-16,55.39964294433594
2015-10-19,55.21184158325195
2015-10-20,55.174293518066406
2015-10-21,55.024051666259766
2015-10-22,56.18838882446289
2015-10-23,56.71420669555664
2015-10-26,56.52641296386719
2015-10-27,56.48884963989258
2015-10-28,56.902015686035156
2015-10-29,57.08979797363281
2015-10-30,56.78932571411133
2015-11-02,56.376182556152344
2015-11-03,56.601531982421875
2015-11-04,56.939571380615234
2015-11-05,57.24004364013672
2015-11-06,56.67665481567383
2015-11-09,56.18838882446289
2015-11-10,56.07570266723633
2015-11-11,56.26350021362305
2015-11-12,56.03813934326172
2015-11-13,55.21184158325195
2015-11-16,55.286964416503906
2015-11-17,56.451297760009766
2015-11-18,56.939571380615234
2015-11-19,57.16492462158203
2015-11-20,57.127357482910156
2015-11-23,56.902015686035156
2015-11-24,56.18838882446289
2015-11-25,56.86444091796875
2015-11-26,57.08979797363281
2015-11-27,57.39027404785156
2015-11-30,57.35270690917969
2015-12-01,57.31515121459961
2015-12-02,57.6531867980957
2015-12-03,56.86444091796875
2015-12-04,56.48884963989258
2015-12-07,56.601531982421875
2015-12-08,55.96303176879883
2015-12-09,55.36207580566406
2015-12-10,55.39964294433594
2015-12-11,54.46065902709961
2015-12-14,53.747047424316406
2015-12-15,54.911376953125
2015-12-16,54.986480712890625
2015-12-17,55.24940490722656
2015-12-18,54.873817443847656
2015-12-21,54.31043243408203
2015-12-22,53.67192077636719
2015-12-23,55.09916687011719
2015-12-28,55.286964416503906
2015-12-29,56.451297760009766
2015-12-30,56.00059509277344
2016-01-04,55.24940490722656
2016-01-05,55.43720245361328
2016-01-06,54.873817443847656
2016-01-07,53.59680938720703
2016-01-08,52.808074951171875
2016-01-11,52.7705078125
2016-01-12,53.93483352661133
2016-01-13,54.5357780456543
2016-01-14,53.55924987792969
2016-01-15,52.6578254699707
2016-01-18,52.62026596069336
2016-01-19,53.52168273925781
2016-01-20,52.28224182128906
2016-01-21,52.99586486816406
2016-01-22,54.160186767578125
2016-01-25,54.38554382324219
2016-01-26,55.024051666259766
2016-01-27,55.51231384277344
2016-01-28,54.986480712890625
2016-01-29,56.48884963989258
2016-02-01,56.78932571411133
2016-02-02,56.71420669555664
2016-02-03,56.48884963989258
2016-02-04,55.88791275024414
2016-02-05,55.09916687011719
2016-02-08,54.723567962646484
2016-02-09,53.85971450805664
2016-02-10,54.723567962646484
2016-02-11,53.22121047973633
2016-02-12,54.00995635986328
2016-02-15,55.286964416503906
2016-02-16,54.873817443847656
2016-02-17,55.66255187988281
2016-02-18,53.59680938720703
2016-02-19,53.22121047973633
2016-02-22,53.44657516479492
2016-02-23,52.732948303222656
2016-02-24,52.732948303222656
2016-02-25,52.7705078125
2016-02-26,52.920745849609375
2016-02-29,52.6578254699707
2016-03-01,53.747047424316406
2016-03-02,53.634368896484375
2016-03-03,53.18366622924805
2016-03-04,53.7094841003418
2016-03-07,53.747047424316406
2016-03-08,53.52168273925781
2016-03-09,53.7094841003418
2016-03-10,53.333900451660156
2016-03-11,53.747047424316406
2016-03-14,53.78459930419922
2016-03-15,53.634368896484375
2016-03-16,53.93483352661133
2016-03-17,53.7094841003418
2016-03-18,53.67192077636719
2016-03-21,53.67192077636719
2016-03-22,53.070980072021484
2016-03-23,53.78459930419922
2016-03-24,53.070980072021484
2016-03-29,53.97239303588867
2016-03-30,54.27286911010742
2016-03-31,53.97239303588867
2016-04-01,53.409019470214844
2016-04-04,53.44657516479492
2016-04-05,53.3714599609375
2016-04-06,54.00995635986328
2016-04-07,54.04751205444336
2016-04-08,54.49821853637695
2016-04-11,54.304412841796875
2016-04-12,54.3819465637207
2016-04-13,55.19591522216797
2016-04-14,56.28123474121094
2016-04-15,56.35875701904297
2016-04-18,56.28123474121094
2016-04-19,57.32777404785156
2016-04-20,57.250267028808594
2016-04-21,56.8626594543457
2016-04-22,56.087432861328125
2016-04-25,56.12619400024414
2016-04-26,56.12619400024414
2016-04-27,56.24247360229492
2016-04-28,56.20371627807617
2016-04-29,55.428497314453125
2016-05-02,55.66106033325195
2016-05-03,55.15716552734375
2016-05-04,54.653263092041016
2016-05-06,55.04087829589844
2016-05-09,55.38972473144531
2016-05-10,56.048675537109375
2016-05-11,56.397518157958984
2016-05-12,56.28123474121094
2016-05-13,56.59132385253906
2016-05-17,56.397518157958984
2016-05-18,56.51380920410156
2016-05-19,56.009910583496094
