Date,PPH.L
2015-08-24,603.918212890625
2015-08-25,618.8912353515625
2015-08-26,635.36181640625
2015-08-27,649.8359375
2015-08-28,658.8197021484375
2015-09-01,661.3154296875
2015-09-02,661.3154296875
2015-09-03,663.8107299804688
2015-09-04,675.2902221679688
2015-09-07,673.7929077148438
2015-09-08,680.7803955078125
2015-09-09,678.7841796875
2015-09-10,663.908447265625
2015-09-11,683.8756713867188
2015-09-14,673.89208984375
2015-09-15,673.89208984375
2015-09-16,673.89208984375
2015-09-17,673.89208984375
2015-09-18,673.89208984375
2015-09-21,673.89208984375
2015-09-22,676.3878784179688
2015-09-23,676.3878784179688
2015-09-24,676.3878784179688
2015-09-25,676.3878784179688
2015-09-28,676.3878784179688
2015-09-29,680.8805541992188
2015-09-30,666.4044189453125
2015-10-01,666.4044189453125
2015-10-02,666.4044189453125
2015-10-05,666.4044189453125
2015-10-06,666.4044189453125
2015-10-07,666.4044189453125
2015-10-08,667.4026489257812
2015-10-09,667.4026489257812
2015-10-12,667.4026489257812
2015-10-13,667.4026489257812
2015-10-14,663.908447265625
2015-10-15,663.908447265625
2015-10-16,663.908447265625
2015-10-19,658.9166870117188
2015-10-20,667.4026489257812
2015-10-21,667.4026489257812
2015-10-22,667.4026489257812
2015-10-23,667.4026489257812
2015-10-26,667.4026489257812
2015-10-27,667.4026489257812
2015-10-28,675.3896484375
2015-10-29,680.3812866210938
2015-10-30,679.8821411132812
2015-11-02,679.8821411132812
2015-11-03,681.3797607421875
2015-11-04,662.4109497070312
2015-11-05,662.4109497070312
2015-11-06,663.4093627929688
2015-11-09,662.4109497070312
2015-11-10,662.4109497070312
2015-11-11,664.9067993164062
2015-11-12,664.9067993164062
2015-11-13,659.9150390625
2015-11-16,653.4256591796875
2015-11-17,652.427490234375
2015-11-18,647.9346923828125
2015-11-19,647.9346923828125
2015-11-20,646.437255859375
2015-11-23,631.9608764648438
2015-11-24,611.49462890625
2015-11-25,604.007080078125
2015-11-26,600.0133666992188
2015-11-27,600.0133666992188
2015-11-30,597.5177001953125
2015-12-01,607.5011596679688
2015-12-02,605.00537109375
2015-12-03,608.9986572265625
2015-12-04,613.990478515625
2015-12-07,614.9888916015625
2015-12-08,621.4782104492188
2015-12-09,621.4782104492188
2015-12-10,622.9758911132812
2015-12-11,623.4750366210938
2015-12-14,623.4750366210938
2015-12-15,627.9674682617188
2015-12-16,633.9577026367188
2015-12-17,642.9428100585938
2015-12-18,646.437255859375
2015-12-21,658.9166870117188
2015-12-22,667.9019165039062
2015-12-23,668.9002075195312
2015-12-24,662.91015625
2015-12-29,666.4044189453125
2015-12-30,666.4044189453125
2015-12-31,666.4044189453125
2016-01-04,666.4044189453125
2016-01-05,666.4044189453125
2016-01-06,664.9067993164062
2016-01-07,655.9215698242188
2016-01-08,657.4191284179688
2016-01-11,657.4191284179688
2016-01-12,657.4191284179688
2016-01-13,656.4207153320312
2016-01-14,651.4290771484375
2016-01-15,647.4356689453125
2016-01-18,642.9428100585938
2016-01-19,638.9495239257812
2016-01-20,623.97412109375
2016-01-21,621.4782104492188
2016-01-22,627.9674682617188
2016-01-25,638.9495239257812
2016-01-26,648.93310546875
2016-01-27,643.94140625
2016-01-28,648.93310546875
2016-01-29,643.94140625
2016-02-01,643.94140625
2016-02-02,643.94140625
2016-02-03,648.93310546875
2016-02-04,649.9314575195312
2016-02-05,649.9314575195312
2016-02-08,649.9314575195312
2016-02-09,644.9396362304688
2016-02-10,644.9396362304688
2016-02-11,638.9495239257812
2016-02-12,638.9495239257812
2016-02-15,643.94140625
2016-02-16,643.94140625
2016-02-17,643.94140625
2016-02-18,642.9428100585938
2016-02-19,636.4537353515625
2016-02-22,636.4537353515625
2016-02-23,636.4537353515625
2016-02-24,636.4537353515625
2016-02-25,633.9577026367188
2016-02-26,633.9577026367188
2016-02-29,633.9577026367188
2016-03-01,632.9594116210938
2016-03-02,628.9657592773438
2016-03-03,628.9657592773438
2016-03-04,631.4617919921875
2016-03-07,633.9577026367188
2016-03-08,633.9577026367188
2016-03-09,647.9346923828125
2016-03-10,718.818115234375
2016-03-11,731.2976684570312
2016-03-14,748.76904296875
2016-03-15,746.2730102539062
2016-03-16,746.2730102539062
2016-03-17,746.2730102539062
2016-03-18,759.7509155273438
2016-03-21,786.207275390625
2016-03-22,796.690185546875
2016-03-23,798.6868896484375
2016-03-24,798.6868896484375
2016-03-29,803.6787109375
2016-03-30,811.1663818359375
2016-03-31,811.1663818359375
2016-04-01,811.1663818359375
2016-04-04,806.174560546875
2016-04-05,798.6868896484375
2016-04-06,798.6868896484375
2016-04-07,798.6868896484375
2016-04-08,798.6868896484375
2016-04-11,801.1828002929688
2016-04-12,801.1828002929688
2016-04-13,801.1828002929688
2016-04-14,801.2826538085938
2016-04-15,801.2826538085938
2016-04-18,803.7788696289062
2016-04-19,801.2826538085938
2016-04-20,811.2673950195312
2016-04-21,811.2673950195312
2016-04-22,811.2673950195312
2016-04-25,811.2673950195312
2016-04-26,811.2673950195312
2016-04-27,811.2673950195312
2016-04-28,798.786376953125
2016-04-29,811.2673950195312
2016-05-03,811.2673950195312
2016-05-04,773.8244018554688
2016-05-05,773.8244018554688
2016-05-06,773.8244018554688
2016-05-09,773.8244018554688
2016-05-10,773.8244018554688
2016-05-11,783.8092651367188
2016-05-12,791.2978515625
2016-05-13,791.2978515625
2016-05-16,788.8016357421875
2016-05-17,788.8016357421875
2016-05-18,788.8016357421875
2016-05-19,793.7940063476562
2016-05-20,793.7940063476562
2016-05-23,793.7940063476562
