Date,UL.PA
2023-04-14,47.707889556884766
2023-04-17,46.635799407958984
2023-04-18,46.24763488769531
2023-04-19,45.99809646606445
2023-04-20,45.304935455322266
2023-04-21,45.055397033691406
2023-04-24,44.67646789550781
2023-04-25,44.842830657958984
2023-04-26,45.89643096923828
2023-04-27,44.38072204589844
2023-04-28,44.86131286621094
2023-05-01,44.86131286621094
2023-05-02,43.54893112182617
2023-05-03,42.615474700927734
2023-05-04,41.09052276611328
2023-05-05,42.060943603515625
2023-05-08,42.596988677978516
2023-05-09,41.85762023925781
2023-05-10,42.32896423339844
2023-05-11,41.80216598510742
2023-05-12,41.16446304321289
2023-05-15,41.524906158447266
2023-05-16,41.05355453491211
2023-05-17,40.813255310058594
2023-05-18,40.65614318847656
2023-05-19,40.61917495727539
2023-05-22,40.813255310058594
2023-05-23,42.04246139526367
2023-05-24,40.61917495727539
2023-05-25,40.10161209106445
2023-05-26,39.68571853637695
2023-05-30,40.563720703125
2023-05-31,39.55632781982422
2023-06-01,39.21437072753906
2023-06-02,41.31233596801758
2023-06-05,40.89643859863281
2023-06-06,41.12749099731445
2023-06-07,42.51380920410156
2023-06-08,42.53229522705078
2023-06-09,43.317874908447266
2023-06-12,43.613624572753906
2023-06-13,43.2901496887207
2023-06-14,43.317874908447266
2023-06-15,42.975914001464844
2023-06-16,43.8354377746582
2023-06-20,42.837284088134766
2023-06-21,42.901981353759766
2023-06-22,42.6431999206543
2023-06-23,42.14412307739258
2023-06-26,42.43986892700195
2023-06-27,42.846527099609375
2023-06-28,43.576656341552734
2023-06-29,43.47499465942383
2023-06-30,44.50086975097656
2023-07-03,44.65798568725586
2023-07-05,46.32156753540039
2023-07-06,43.75225830078125
2023-07-07,45.75779724121094
2023-07-10,45.45280838012695
2023-07-11,47.356689453125
2023-07-12,48.76148986816406
2023-07-13,49.14966583251953
2023-07-14,48.83543014526367
2023-07-17,48.206966400146484
2023-07-18,48.22544860839844
2023-07-19,48.89088439941406
2023-07-20,48.98330307006836
2023-07-21,48.89088439941406
2023-07-24,48.5766487121582
2023-07-25,47.65243911743164
2023-07-26,47.78182601928711
2023-07-27,47.24578094482422
2023-07-28,46.931549072265625
2023-07-31,47.65243911743164
2023-08-01,47.26426696777344
2023-08-02,46.506412506103516
2023-08-03,45.905670166015625
2023-08-04,46.561866760253906
2023-08-07,46.67277145385742
2023-08-08,46.469444274902344
2023-08-09,46.561866760253906
2023-08-10,47.54153060913086
2023-08-11,46.164451599121094
2023-08-14,46.229148864746094
2023-08-15,45.314178466796875
2023-08-16,45.304935455322266
2023-08-17,44.584049224853516
2023-08-18,43.622867584228516
2023-08-21,43.068336486816406
2023-08-22,43.391815185546875
2023-08-23,43.89088821411133
2023-08-24,43.95558166503906
2023-08-25,43.447261810302734
2023-08-28,44.17739486694336
2023-08-29,45.08312225341797
2023-08-30,45.064640045166016
2023-08-31,45.64689636230469
2023-09-01,44.90752410888672
2023-09-05,45.267967224121094
2023-09-06,45.600685119628906
2023-09-07,44.86131286621094
2023-09-08,44.547080993652344
2023-09-11,45.129337310791016
2023-09-12,44.824344635009766
2023-09-13,44.6302604675293
2023-09-14,45.720829010009766
2023-09-15,43.622867584228516
2023-09-18,43.521202087402344
2023-09-19,43.576656341552734
2023-09-20,44.91676330566406
2023-09-21,44.343753814697266
2023-09-22,43.382568359375
2023-09-25,42.76334762573242
2023-09-26,42.079429626464844
2023-09-27,41.49717712402344
2023-09-28,41.62656784057617
2023-09-29,43.20697021484375
2023-10-02,43.345603942871094
2023-10-03,41.589599609375
2023-10-04,41.32157516479492
2023-10-05,41.349300384521484
2023-10-06,41.691261291503906
2023-10-09,41.60808181762695
2023-10-10,42.33821105957031
2023-10-11,42.8095588684082
2023-10-12,42.74486541748047
2023-10-13,41.54338836669922
2023-10-16,42.44911575317383
2023-10-17,42.15336608886719
2023-10-18,41.12749099731445
2023-10-19,40.508270263671875
2023-10-20,39.657989501953125
2023-10-23,39.676475524902344
2023-10-24,40.57296371459961
2023-10-25,39.316036224365234
2023-10-26,39.88904571533203
2023-10-27,41.25688171386719
2023-10-30,41.478694915771484
2023-10-31,43.1237907409668
2023-11-01,43.53968811035156
2023-11-02,47.1348762512207
2023-11-03,48.68755340576172
2023-11-06,46.8760986328125
2023-11-07,45.9149169921875
2023-11-08,46.506412506103516
2023-11-09,47.042457580566406
2023-11-10,46.709739685058594
2023-11-13,46.210662841796875
2023-11-14,49.556312561035156
2023-11-15,49.88903045654297
2023-11-16,49.094207763671875
2023-11-17,50.57295227050781
2023-11-20,51.2938346862793
2023-11-21,49.7596435546875
2023-11-22,50.295684814453125
2023-11-24,49.944488525390625
2023-11-27,51.16444778442383
2023-11-28,51.072021484375
2023-11-29,52.920448303222656
2023-11-30,53.95557403564453
2023-12-01,55.4343147277832
2023-12-04,56.654273986816406
2023-12-05,57.6709098815918
2023-12-06,58.74299621582031
2023-12-07,57.74484634399414
2023-12-08,58.42876434326172
2023-12-11,58.946319580078125
2023-12-12,57.89271926879883
2023-12-13,58.096046447753906
2023-12-14,61.293819427490234
2023-12-15,61.46018600463867
2023-12-18,61.73744583129883
2023-12-19,62.71710968017578
2023-12-20,63.43799591064453
2023-12-21,62.624698638916016
2023-12-22,62.070167541503906
2023-12-26,62.070167541503906
2023-12-27,62.569236755371094
2023-12-28,62.1625862121582
2023-12-29,61.848350524902344
2024-01-02,62.34742736816406
2024-01-03,61.478660583496094
2024-01-04,61.940773010253906
2024-01-05,60.79474639892578
2024-01-08,60.85020065307617
2024-01-09,60.702327728271484
