Date,POWERGRID.NS
2015-08-03,51.55447006225586
2015-08-04,51.70114517211914
2015-08-05,51.60945510864258
2015-08-06,51.71947479248047
2015-08-07,51.18778610229492
2015-08-10,50.61943817138672
2015-08-11,50.58277893066406
2015-08-12,49.86775207519531
2015-08-13,50.527774810791016
2015-08-14,50.72943878173828
2015-08-17,50.637779235839844
2015-08-18,50.381103515625
2015-08-19,50.032772064208984
2015-08-20,49.904422760009766
2015-08-21,48.914405822753906
2015-08-24,48.0710563659668
2015-08-25,47.154361724853516
2015-08-26,48.016056060791016
2015-08-27,49.44608688354492
2015-08-28,49.55607986450195
2015-08-31,47.90605545043945
2015-09-01,47.337711334228516
2015-09-02,45.90767288208008
2015-09-03,46.64102554321289
2015-09-04,45.32099914550781
2015-09-07,45.324703216552734
2015-09-08,46.71445846557617
2015-09-09,46.69593811035156
2015-09-10,45.713836669921875
2015-09-11,46.06590270996094
2015-09-14,47.27036666870117
2015-09-15,47.56685256958008
2015-09-16,48.58601760864258
2015-09-18,49.4754638671875
2015-09-21,50.60580062866211
2015-09-22,48.548946380615234
2015-09-23,47.36301040649414
2015-09-24,46.473567962646484
2015-09-28,46.99241638183594
2015-09-29,47.56685256958008
2015-09-30,49.04925537109375
2015-10-01,48.38217544555664
2015-10-05,49.10484313964844
2015-10-06,49.01219940185547
2015-10-07,49.12338638305664
2015-10-08,49.0863037109375
2015-10-09,49.12338638305664
2015-10-12,49.401336669921875
2015-10-13,49.308685302734375
2015-10-14,49.2901496887207
2015-10-15,50.04988479614258
2015-10-16,50.0313606262207
2015-10-19,49.586631774902344
2015-10-20,50.364906311035156
2015-10-21,50.364906311035156
2015-10-23,50.531673431396484
2015-10-26,50.309303283691406
2015-10-27,49.62369155883789
2015-10-28,48.567481994628906
2015-10-29,47.49273681640625
2015-10-30,47.715084075927734
2015-11-02,47.789215087890625
2015-11-03,48.789833068847656
2015-11-04,48.623069763183594
2015-11-05,48.53041076660156
2015-11-06,48.660133361816406
2015-11-09,48.19688034057617
2015-11-10,47.54832458496094
2015-11-13,48.25246047973633
2015-11-16,47.8077392578125
2015-11-17,48.45628356933594
2015-11-18,48.511871337890625
2015-11-19,48.86395263671875
2015-11-20,48.511871337890625
2015-11-23,48.69718933105469
2015-11-24,48.86395263671875
2015-11-26,49.586631774902344
2015-11-27,49.4754638671875
2015-11-30,50.476078033447266
2015-12-01,50.40194320678711
2015-12-02,50.179595947265625
2015-12-03,49.586631774902344
