Date,ALKYLAMINE.NS
2015-08-21,114.42151641845703
2015-08-24,105.43944549560547
2015-08-25,109.07591247558594
2015-08-26,105.83946990966797
2015-08-27,111.6578140258789
2015-08-28,106.98495483398438
2015-08-31,109.22136688232422
2015-09-01,109.93048095703125
2015-09-02,109.09410095214844
2015-09-03,110.05775451660156
2015-09-04,110.8941421508789
2015-09-07,107.43949890136719
2015-09-08,109.3304672241211
2015-09-09,112.71238708496094
2015-09-10,110.58505249023438
2015-09-11,111.63963317871094
2015-09-14,110.22139739990234
2015-09-15,107.63951873779297
2015-09-16,107.29403686523438
2015-09-18,108.51226043701172
2015-09-21,109.13046264648438
2015-09-22,110.42140197753906
2015-09-23,111.63963317871094
2015-09-24,112.6942138671875
2015-09-28,111.62145233154297
2015-09-29,110.494140625
2015-09-30,112.27601623535156
2015-10-01,110.9123306274414
2015-10-05,110.94869995117188
2015-10-06,111.5487060546875
2015-10-07,111.73052978515625
2015-10-08,112.3669204711914
2015-10-09,111.11234283447266
2015-10-12,111.34870910644531
2015-10-13,112.14872741699219
2015-10-14,111.11234283447266
2015-10-15,111.74872589111328
2015-10-16,112.16691589355469
2015-10-19,112.76692962646484
2015-10-20,112.7305679321289
2015-10-21,112.67601013183594
2015-10-23,114.4578857421875
2015-10-26,111.5305404663086
2015-10-27,112.3669204711914
2015-10-28,110.87596130371094
2015-10-29,112.00328063964844
2015-10-30,111.29415893554688
2015-11-02,112.11237335205078
2015-11-03,111.63963317871094
2015-11-04,113.11238861083984
2015-11-05,112.294189453125
2015-11-06,107.54859924316406
2015-11-09,106.56675720214844
2015-11-10,108.6759033203125
2015-11-13,110.9123306274414
2015-11-16,110.14867401123047
2015-11-17,111.8578109741211
2015-11-18,112.7305679321289
2015-11-19,112.43965148925781
2015-11-20,116.23975372314453
2015-11-23,116.02156829833984
2015-11-24,119.05803680419922
2015-11-26,117.8034439086914
2015-11-27,116.7670669555664
2015-11-30,117.53070068359375
2015-12-01,115.36700439453125
2015-12-02,114.42151641845703
2015-12-03,114.14878845214844
2015-12-04,114.09425354003906
2015-12-07,114.91246032714844
2015-12-08,111.5487060546875
2015-12-09,111.6578140258789
2015-12-10,113.0760269165039
2015-12-11,112.22146606445312
2015-12-14,116.87612915039062
2015-12-15,119.20348358154297
2015-12-16,115.4760971069336
2015-12-17,128.38555908203125
2015-12-18,136.05850219726562
2015-12-21,134.8948516845703
2015-12-22,132.94932556152344
2015-12-23,134.51304626464844
2015-12-24,136.18580627441406
2015-12-28,137.1130828857422
2015-12-29,137.53131103515625
2015-12-30,134.2766571044922
2015-12-31,132.84024047851562
2016-01-01,133.36753845214844
2016-01-04,126.04004669189453
2016-01-05,128.8037567138672
2016-01-06,125.5854721069336
2016-01-07,125.98548889160156
2016-01-08,126.45824432373047
2016-01-11,126.29460144042969
2016-01-12,127.4400634765625
2016-01-13,127.34917449951172
2016-01-14,123.94906616210938
2016-01-15,120.05805206298828
2016-01-18,112.94876098632812
2016-01-19,113.748779296875
2016-01-20,113.4215087890625
2016-01-21,113.58513641357422
2016-01-22,120.65807342529297
2016-01-25,122.4581298828125
2016-01-27,119.53075408935547
2016-01-28,118.83983612060547
2016-01-29,115.51245880126953
2016-02-01,115.33065032958984
2016-02-02,111.42144012451172
2016-02-03,112.20327758789062
2016-02-04,112.7305679321289
2016-02-05,115.2761001586914
2016-02-08,113.51241302490234
2016-02-09,113.6942138671875
2016-02-10,112.34873962402344
2016-02-11,109.65775299072266
2016-02-12,111.5305404663086
2016-02-15,111.1305160522461
2016-02-16,110.96686553955078
2016-02-17,109.09410095214844
2016-02-18,108.78498840332031
2016-02-19,109.0577392578125
2016-02-22,108.87591552734375
2016-02-23,109.09410095214844
2016-02-24,108.58499145507812
2016-02-25,105.93037414550781
2016-02-26,105.54853057861328
2016-02-29,104.9848861694336
2016-03-01,106.53038787841797
2016-03-02,110.1123046875
2016-03-03,111.76689910888672
2016-03-04,113.58513641357422
2016-03-08,116.6216049194336
2016-03-09,115.4760971069336
2016-03-10,118.3488998413086
2016-03-11,117.18524932861328
2016-03-14,119.09437561035156
2016-03-15,117.94890594482422
2016-03-16,116.48555755615234
2016-03-17,115.69760131835938
2016-03-18,115.7351303100586
2016-03-21,121.49468994140625
2016-03-22,122.28263854980469
2016-03-23,118.2303237915039
2016-03-28,114.92842102050781
2016-03-29,114.40311431884766
2016-03-30,115.35990905761719
2016-03-31,116.93582916259766
2016-04-01,116.46681213378906
2016-04-04,116.91706085205078
2016-04-05,118.28658294677734
2016-04-06,120.81930541992188
2016-04-07,121.5884780883789
2016-04-08,120.65045928955078
2016-04-11,120.44408416748047
2016-04-12,119.84373474121094
2016-04-13,118.51171875
2016-04-18,121.25077819824219
2016-04-20,120.59415435791016
2016-04-21,120.3127670288086
2016-04-22,118.88692474365234
2016-04-25,116.31671142578125
2016-04-26,117.38607025146484
2016-04-27,116.8795394897461
2016-04-28,118.36164855957031
2016-04-29,116.52308654785156
2016-05-02,115.9977798461914
2016-05-03,116.74821472167969
2016-05-04,116.31671142578125
2016-05-05,117.93013763427734
2016-05-06,118.86817932128906
2016-05-09,117.17970275878906
2016-05-10,119.26216125488281
2016-05-11,117.57367706298828
2016-05-12,116.33546447753906
2016-05-13,115.866455078125
2016-05-16,115.77265167236328
2016-05-17,116.67315673828125
2016-05-18,119.65613555908203
2016-05-19,118.38040161132812
2016-05-20,115.50999450683594
2016-05-23,117.38607025146484
2016-05-24,118.51171875
2016-05-25,117.81757354736328
2016-05-26,116.54183959960938
2016-05-27,116.2791976928711
2016-05-30,115.84770202636719
2016-05-31,116.33546447753906
2016-06-01,116.37299346923828
2016-06-02,115.96025848388672
2016-06-03,115.9977798461914
2016-06-06,116.710693359375
2016-06-07,117.1421890258789
2016-06-08,117.94889068603516
2016-06-09,117.16094970703125
2016-06-10,116.52308654785156
2016-06-13,119.88126373291016
2016-06-14,122.0574951171875
2016-06-15,123.52084350585938
2016-06-16,123.83979797363281
2016-06-17,127.25425720214844
2016-06-20,127.2354736328125
2016-06-21,127.7232666015625
2016-06-22,131.26905822753906
