Date,FANG
2015-08-03,52.401329040527344
2015-08-04,53.31886291503906
2015-08-05,53.61687469482422
2015-08-06,55.271583557128906
2015-08-07,53.985450744628906
2015-08-10,55.04414749145508
2015-08-11,55.57740783691406
2015-08-12,56.84000778198242
2015-08-13,56.20478820800781
2015-08-14,57.953582763671875
2015-08-17,56.62825012207031
2015-08-18,57.545799255371094
2015-08-19,56.33810043334961
2015-08-20,55.07550811767578
2015-08-21,52.18959426879883
2015-08-24,48.42536163330078
2015-08-25,47.696048736572266
2015-08-26,48.69200134277344
2015-08-27,51.52301788330078
2015-08-28,52.19743728637695
2015-08-31,53.554134368896484
2015-09-01,50.59762954711914
2015-09-02,52.8953857421875
2015-09-03,52.52681350708008
2015-09-04,51.75828552246094
2015-09-08,52.785606384277344
2015-09-09,51.013282775878906
2015-09-10,52.44838333129883
2015-09-11,52.001380920410156
2015-09-14,51.5387077331543
2015-09-15,52.30724334716797
2015-09-16,54.80887222290039
2015-09-17,54.74614334106445
2015-09-18,54.11091232299805
2015-09-21,54.44029998779297
2015-09-22,54.25210189819336
2015-09-23,52.14255142211914
2015-09-24,52.28369903564453
2015-09-25,51.76612091064453
2015-09-28,49.11547088623047
2015-09-29,49.40562438964844
2015-09-30,50.660377502441406
2015-10-01,51.41322326660156
2015-10-02,54.39324951171875
2015-10-05,56.62825012207031
2015-10-06,56.91842269897461
2015-10-07,57.75752258300781
2015-10-08,59.77294921875
2015-10-09,60.345455169677734
2015-10-12,60.314064025878906
2015-10-13,59.733760833740234
2015-10-14,59.937660217285156
2015-10-15,59.34949493408203
2015-10-16,60.52582931518555
2015-10-19,57.49088668823242
2015-10-20,57.53010940551758
2015-10-21,55.891090393066406
2015-10-22,56.7380485534668
2015-10-23,56.400840759277344
2015-10-26,57.15367889404297
2015-10-27,56.90275955200195
2015-10-28,59.208335876464844
2015-10-29,59.129920959472656
2015-10-30,57.90654373168945
2015-11-02,57.56932830810547
2015-11-03,60.58855438232422
2015-11-04,59.66318893432617
2015-11-05,60.45524978637695
2015-11-06,61.00420379638672
2015-11-09,62.43931198120117
2015-11-10,62.423622131347656
2015-11-11,62.604000091552734
2015-11-12,61.23945617675781
2015-11-13,60.16508483886719
2015-11-16,62.470680236816406
2015-11-17,62.43147659301758
2015-11-18,63.85090637207031
2015-11-19,60.43171310424805
2015-11-20,60.75324249267578
2015-11-23,62.533416748046875
2015-11-24,62.69025421142578
2015-11-25,61.717838287353516
2015-11-27,60.79246139526367
2015-11-30,61.18455505371094
2015-12-01,61.32571029663086
2015-12-02,60.219974517822266
2015-12-03,60.18859100341797
2015-12-04,59.84354782104492
2015-12-07,57.91438293457031
2015-12-08,58.7691764831543
2015-12-09,60.40034866333008
2015-12-10,62.023677825927734
2015-12-11,60.039608001708984
2015-12-14,59.29460144042969
2015-12-15,60.00039291381836
2015-12-16,56.74590301513672
2015-12-17,53.91487121582031
2015-12-18,51.88376235961914
2015-12-21,48.77825164794922
2015-12-22,49.68010711669922
2015-12-23,52.90324020385742
2015-12-24,53.263973236083984
2015-12-28,51.311275482177734
2015-12-29,52.10334396362305
2015-12-30,51.773956298828125
2015-12-31,52.464073181152344
2016-01-04,51.84454345703125
2016-01-05,51.12307357788086
2016-01-06,48.77825164794922
2016-01-07,47.366676330566406
2016-01-08,47.648990631103516
2016-01-11,45.17086410522461
2016-01-12,45.8923454284668
2016-01-13,46.66871643066406
2016-01-14,49.15467834472656
2016-01-15,49.53110885620117
2016-01-19,47.42940902709961
2016-01-20,47.76662063598633
2016-01-21,50.26826858520508
2016-01-22,51.89159393310547
2016-01-25,48.68415832519531
2016-01-26,52.173919677734375
2016-01-27,53.53844451904297
2016-01-28,57.08311462402344
2016-01-29,59.247554779052734
2016-02-01,56.93410873413086
2016-02-02,55.87542724609375
2016-02-03,58.722110748291016
2016-02-04,56.46356964111328
2016-02-05,52.785606384277344
2016-02-08,54.855926513671875
2016-02-09,52.58955001831055
2016-02-10,52.80128479003906
2016-02-11,53.248287200927734
2016-02-12,54.21287155151367
2016-02-16,53.303192138671875
2016-02-17,55.24020767211914
2016-02-18,55.09119415283203
2016-02-19,56.526329040527344
2016-02-22,57.79676055908203
2016-02-23,54.887298583984375
2016-02-24,56.24399948120117
2016-02-25,56.11850357055664
2016-02-26,56.93410873413086
2016-02-29,55.87542724609375
2016-03-01,56.84784698486328
2016-03-02,58.032012939453125
2016-03-03,56.863529205322266
2016-03-04,59.59260559082031
2016-03-07,59.788665771484375
2016-03-08,58.33785629272461
2016-03-09,58.58095932006836
2016-03-10,58.878971099853516
2016-03-11,61.506080627441406
2016-03-14,59.60829162597656
2016-03-15,60.36896896362305
2016-03-16,60.47093200683594
2016-03-17,60.76893615722656
2016-03-18,60.870880126953125
2016-03-21,61.208091735839844
2016-03-22,61.18455505371094
2016-03-23,60.149391174316406
2016-03-24,60.72187805175781
2016-03-28,59.96117401123047
2016-03-29,60.510154724121094
2016-03-30,61.97662353515625
2016-03-31,60.52582931518555
2016-04-01,60.20429229736328
2016-04-04,58.43196105957031
2016-04-05,57.87517166137695
2016-04-06,60.141544342041016
2016-04-07,62.007965087890625
2016-04-08,63.56074523925781
2016-04-11,63.192169189453125
2016-04-12,64.34494018554688
2016-04-13,63.83522033691406
2016-04-14,64.09400177001953
2016-04-15,62.82357406616211
2016-04-18,64.16458892822266
2016-04-19,64.5409927368164
2016-04-20,65.44286346435547
2016-04-21,64.73706817626953
2016-04-22,65.62323760986328
2016-04-25,66.25060272216797
2016-04-26,67.84256744384766
2016-04-27,69.34825134277344
