Date,HILS.L
2015-08-24,689.5399780273438
2015-08-25,698.52099609375
2015-08-26,704.5081787109375
2015-08-27,708.4998779296875
2015-08-28,715.48486328125
2015-09-01,715.983642578125
2015-09-02,717.480712890625
2015-09-03,711.4933471679688
2015-09-04,708.0008544921875
2015-09-07,705.5060424804688
2015-09-08,706.5038452148438
2015-09-09,704.5081787109375
2015-09-10,693.032470703125
2015-09-11,694.0302734375
2015-09-14,698.52099609375
2015-09-15,703.01123046875
2015-09-16,701.5145263671875
2015-09-17,706.5038452148438
2015-09-18,727.9584350585938
2015-09-21,719.4764404296875
2015-09-22,710.4954223632812
2015-09-23,713.9881591796875
2015-09-24,712.9901123046875
2015-09-25,713.4891357421875
2015-09-28,703.5103149414062
2015-09-29,697.52294921875
2015-09-30,701.5145263671875
2015-10-01,693.5314331054688
2015-10-02,691.5355224609375
2015-10-05,690.537841796875
2015-10-06,689.5399780273438
2015-10-07,689.041015625
2015-10-08,681.5567016601562
2015-10-09,687.5441284179688
2015-10-12,688.5421142578125
2015-10-13,683.5525512695312
2015-10-14,668.5842895507812
2015-10-15,674.5716552734375
2015-10-16,655.6116943359375
2015-10-19,658.6054077148438
2015-10-20,662.5968017578125
2015-10-21,660.10205078125
2015-10-22,671.577880859375
2015-10-23,682.0557250976562
2015-10-26,677.066162109375
2015-10-27,679.5609130859375
2015-10-28,683.053466796875
2015-10-29,686.0471801757812
2015-10-30,681.0577392578125
2015-11-02,681.5567016601562
2015-11-03,682.0557250976562
2015-11-04,681.5567016601562
2015-11-05,682.5546264648438
2015-11-06,683.5525512695312
2015-11-09,682.5546264648438
2015-11-10,682.0557250976562
2015-11-11,679.5609130859375
2015-11-12,658.6054077148438
2015-11-13,648.62646484375
2015-11-16,643.6369018554688
2015-11-17,651.1212158203125
2015-11-18,645.1338500976562
2015-11-19,642.2107543945312
2015-11-20,642.7097778320312
2015-11-23,662.6697387695312
2015-11-24,687.1206665039062
2015-11-25,688.1187133789062
2015-11-26,703.5875244140625
2015-11-27,713.5675048828125
2015-11-30,727.04052734375
2015-12-01,726.5416259765625
2015-12-02,732.5293579101562
2015-12-03,728.5374755859375
2015-12-04,746.5015258789062
2015-12-07,748.497314453125
2015-12-08,741.511474609375
2015-12-09,734.525390625
2015-12-10,748.497314453125
2015-12-11,747.9984130859375
2015-12-14,753.4873046875
2015-12-15,763.96630859375
2015-12-16,756.9803466796875
2015-12-17,749.9944458007812
2015-12-18,756.9803466796875
2015-12-21,753.4873046875
2015-12-22,752.4894409179688
2015-12-23,753.4873046875
2015-12-24,754.4853515625
2015-12-29,754.4853515625
2015-12-30,753.986328125
2015-12-31,755.4834594726562
2016-01-04,744.00634765625
2016-01-05,758.4773559570312
2016-01-06,759.9745483398438
2016-01-07,755.982421875
2016-01-08,756.9803466796875
2016-01-11,758.4773559570312
2016-01-12,740.5133666992188
2016-01-13,732.5293579101562
2016-01-14,734.0264892578125
2016-01-15,747.0003662109375
2016-01-18,741.511474609375
2016-01-19,739.5155029296875
2016-01-20,740.0144653320312
2016-01-21,738.5173950195312
2016-01-22,738.5173950195312
2016-01-25,752.4894409179688
2016-01-26,752.9884033203125
2016-01-27,750.493408203125
2016-01-28,743.0083618164062
2016-01-29,750.9923706054688
2016-02-01,769.455322265625
2016-02-02,775.9421997070312
2016-02-03,776.9403686523438
2016-02-04,766.46142578125
2016-02-05,767.4591674804688
2016-02-08,768.4573974609375
2016-02-09,748.99658203125
2016-02-10,747.0003662109375
2016-02-11,741.0125732421875
2016-02-12,743.5074462890625
2016-02-15,736.0225219726562
2016-02-16,736.5215454101562
2016-02-17,763.4674072265625
2016-02-18,775.4432373046875
2016-02-19,767.9583129882812
2016-02-22,754.4853515625
2016-02-23,749.9944458007812
2016-02-24,742.5093994140625
2016-02-25,756.4813842773438
2016-02-26,794.4052734375
2016-02-29,773.4473876953125
2016-03-01,764.46533203125
2016-03-02,763.4674072265625
2016-03-03,749.495361328125
2016-03-04,760.473388671875
2016-03-07,752.4894409179688
2016-03-08,748.497314453125
2016-03-09,840.8120727539062
2016-03-10,896.2008666992188
2016-03-11,873.2469482421875
2016-03-14,861.2710571289062
2016-03-15,863.2669677734375
2016-03-16,862.76806640625
2016-03-17,860.27294921875
2016-03-18,853.7860107421875
2016-03-21,855.7821655273438
2016-03-22,874.2449340820312
2016-03-23,863.2669677734375
2016-03-24,851.2911987304688
2016-03-29,870.2529296875
2016-03-30,892.7080078125
2016-03-31,901.19091796875
2016-04-01,899.6937866210938
2016-04-04,880.7318725585938
2016-04-05,878.237060546875
2016-04-06,928.6358032226562
2016-04-07,933.126708984375
2016-04-08,934.623779296875
2016-04-11,935.621826171875
2016-04-12,938.1167602539062
2016-04-13,938.1167602539062
