Date,RMV.L
2015-08-24,342.68499755859375
2015-08-25,361.16259765625
2015-08-26,365.1578369140625
2015-08-27,370.55133056640625
2015-08-28,371.64990234375
2015-09-01,368.9531555175781
2015-09-02,364.75836181640625
2015-09-03,374.6463928222656
2015-09-04,369.65234375
2015-09-07,374.047119140625
2015-09-08,375.145751953125
2015-09-09,381.03863525390625
2015-09-10,373.8472900390625
2015-09-11,370.85089111328125
2015-09-14,371.9496154785156
2015-09-15,371.550048828125
2015-09-16,373.24810791015625
2015-09-17,374.246826171875
2015-09-18,371.550048828125
2015-09-21,376.444091796875
2015-09-22,368.3538818359375
2015-09-23,371.550048828125
2015-09-24,369.552490234375
2015-09-25,382.1373291015625
2015-09-28,375.9447937011719
2015-09-29,363.1601867675781
2015-09-30,364.35882568359375
2015-10-01,363.4598693847656
2015-10-02,366.15655517578125
2015-10-05,375.54522705078125
2015-10-06,375.0457763671875
2015-10-07,358.06640625
2015-10-08,352.0893249511719
2015-10-09,350.1915588378906
2015-10-12,350.5911560058594
2015-10-13,350.2914733886719
2015-10-14,349.99188232421875
2015-10-15,359.18109130859375
2015-10-16,364.57476806640625
2015-10-19,370.16827392578125
2015-10-20,372.9650573730469
2015-10-21,372.7652893066406
2015-10-22,372.56549072265625
2015-10-23,379.5572814941406
2015-10-26,380.55621337890625
2015-10-27,377.75946044921875
2015-10-28,380.55621337890625
2015-10-29,384.8511657714844
2015-10-30,383.4528503417969
2015-11-02,385.94989013671875
2015-11-03,384.65142822265625
2015-11-04,384.9510192871094
2015-11-05,388.9463806152344
2015-11-06,389.6455993652344
2015-11-09,383.1531677246094
2015-11-10,387.04864501953125
2015-11-11,389.44580078125
2015-11-12,389.5456848144531
2015-11-13,386.8487854003906
2015-11-16,389.5456848144531
2015-11-17,392.5422668457031
2015-11-18,388.0474548339844
2015-11-19,388.2471618652344
2015-11-20,388.6467590332031
2015-11-23,386.6490783691406
2015-11-24,379.45751953125
2015-11-25,384.551513671875
2015-11-26,387.4481506347656
2015-11-27,393.441162109375
2015-11-30,399.63397216796875
2015-12-01,404.827880859375
2015-12-02,409.2227478027344
2015-12-03,411.1205139160156
2015-12-04,403.92889404296875
2015-12-07,408.1240539550781
2015-12-08,399.1345520019531
2015-12-09,395.03924560546875
2015-12-10,395.93817138671875
2015-12-11,388.6467590332031
2015-12-14,390.9440612792969
2015-12-15,395.2391052246094
2015-12-16,400.2332763671875
2015-12-17,402.5306091308594
2015-12-18,395.5386657714844
2015-12-21,393.6409606933594
2015-12-22,396.9371337890625
2015-12-23,404.0287780761719
2015-12-24,401.83135986328125
2015-12-29,413.2181396484375
2015-12-30,413.3180236816406
2015-12-31,412.0195617675781
2016-01-04,408.82318115234375
2016-01-05,409.822021484375
2016-01-06,409.1228942871094
2016-01-07,403.7292175292969
2016-01-08,409.32269287109375
2016-01-11,408.723388671875
2016-01-12,410.9207458496094
2016-01-13,416.81390380859375
2016-01-14,393.441162109375
2016-01-15,383.7524719238281
2016-01-18,382.054443359375
2016-01-19,388.546875
2016-01-20,380.2565612792969
2016-01-21,372.9650573730469
2016-01-22,381.0556335449219
2016-01-25,388.4469299316406
2016-01-26,382.65374755859375
2016-01-27,383.0532531738281
2016-01-28,375.6618347167969
2016-01-29,397.83599853515625
2016-02-01,398.6351013183594
2016-02-02,403.0299377441406
2016-02-03,393.441162109375
2016-02-04,382.7535400390625
2016-02-05,366.47259521484375
2016-02-08,337.2067565917969
2016-02-09,345.2973327636719
2016-02-10,343.3995056152344
2016-02-11,337.4065246582031
2016-02-12,337.6063232421875
2016-02-15,347.8942565917969
2016-02-16,351.7897644042969
2016-02-17,365.6734924316406
2016-02-18,360.7792663574219
2016-02-19,373.5643005371094
2016-02-22,371.3669128417969
2016-02-23,376.4609069824219
2016-02-24,377.16015625
2016-02-25,391.0439758300781
2016-02-26,376.6607666015625
2016-02-29,392.9418029785156
2016-03-01,406.4259338378906
2016-03-02,399.23443603515625
2016-03-03,392.741943359375
2016-03-04,391.3435974121094
2016-03-07,390.9440612792969
2016-03-08,382.55389404296875
2016-03-09,387.5480651855469
2016-03-10,377.6596374511719
2016-03-11,384.551513671875
2016-03-14,392.0428161621094
2016-03-15,396.1380615234375
2016-03-16,399.5340576171875
2016-03-17,398.7349853515625
2016-03-18,400.3330993652344
2016-03-21,401.83135986328125
2016-03-22,408.0240783691406
2016-03-23,414.1170349121094
2016-03-24,414.61639404296875
2016-03-29,419.0113830566406
2016-03-30,424.5049743652344
2016-03-31,420.6094970703125
2016-04-01,415.01593017578125
2016-04-04,413.71759033203125
2016-04-05,413.2181396484375
2016-04-06,418.4120178222656
2016-04-07,415.9149169921875
2016-04-08,414.71636962890625
2016-04-11,399.23443603515625
2016-04-12,396.7373352050781
2016-04-13,398.5352478027344
2016-04-14,393.5409851074219
2016-04-15,386.8487854003906
2016-04-18,388.3470458984375
2016-04-19,398.7349853515625
2016-04-20,386.54913330078125
2016-04-21,386.1496276855469
2016-04-22,385.7501525878906
2016-04-25,390.3447570800781
2016-04-26,388.2471618652344
2016-04-27,397.5364074707031
2016-04-28,392.0428161621094
2016-04-29,385.3505859375
2016-05-03,399.63397216796875
2016-05-04,398.8348083496094
2016-05-05,397.66314697265625
2016-05-06,396.96392822265625
2016-05-09,398.761962890625
2016-05-10,397.7630310058594
2016-05-11,399.26141357421875
2016-05-12,396.864013671875
2016-05-13,390.87060546875
2016-05-16,393.26800537109375
2016-05-17,399.1615295410156
2016-05-18,405.2547912597656
2016-05-19,401.75860595703125
2016-05-20,405.6543884277344
2016-05-23,410.1494140625
2016-05-24,415.24383544921875
2016-05-25,421.5368957519531
2016-05-26,421.73675537109375
2016-05-27,422.036376953125
2016-05-31,421.9364929199219
2016-06-01,421.0375061035156
2016-06-02,422.2361145019531
2016-06-03,421.4370422363281
2016-06-06,422.53582763671875
2016-06-07,422.2361145019531
2016-06-08,423.5346984863281
2016-06-09,421.8365783691406
2016-06-10,417.64117431640625
2016-06-13,410.64886474609375
2016-06-14,389.27239990234375
2016-06-15,392.0693054199219
2016-06-16,379.6828918457031
2016-06-17,391.86944580078125
2016-06-20,412.74652099609375
2016-06-21,417.5412902832031
2016-06-22,416.5423889160156
2016-06-23,422.036376953125
2016-06-24,362.6016540527344
2016-06-27,336.0308532714844
2016-06-28,364.3996887207031
2016-06-29,371.0922546386719
2016-06-30,364.3996887207031
2016-07-01,373.3898010253906
2016-07-04,349.61590576171875
2016-07-05,335.63128662109375
2016-07-06,316.9517822265625
2016-07-07,337.4293212890625
2016-07-08,348.6170654296875
2016-07-11,368.3952331542969
2016-07-12,371.0922546386719
2016-07-13,367.4962463378906
2016-07-14,369.2943420410156
2016-07-15,362.0022888183594
2016-07-18,367.59619140625
2016-07-19,370.6927185058594
2016-07-20,375.9870300292969
2016-07-21,374.388671875
2016-07-22,371.5917663574219
2016-07-25,377.3854064941406
2016-07-26,378.5841064453125
