Date,BAG.L
2015-08-24,539.4390258789062
2015-08-25,558.4015502929688
2015-08-26,555.4077758789062
2015-08-27,566.385986328125
2015-08-28,559.8987426757812
2015-09-01,563.8909912109375
2015-09-02,550.4174194335938
2015-09-03,567.3840942382812
2015-09-04,568.8811645507812
2015-09-07,578.3624267578125
2015-09-08,572.8731689453125
2015-09-09,584.3505859375
2015-09-10,580.8575439453125
2015-09-11,578.8615112304688
2015-09-14,576.366455078125
2015-09-15,571.8751831054688
2015-09-16,561.8948974609375
2015-09-17,560.8969116210938
2015-09-18,571.8751831054688
2015-09-21,560.8969116210938
2015-09-22,528.9595336914062
2015-09-23,527.46240234375
2015-09-24,529.458740234375
2015-09-25,529.9576416015625
2015-09-28,524.4684448242188
2015-09-29,525.4664306640625
2015-09-30,523.4703979492188
2015-10-01,521.0087280273438
2015-10-02,523.5039672851562
2015-10-05,524.0029907226562
2015-10-06,527.4962158203125
2015-10-07,520.5097045898438
2015-10-08,520.0107421875
2015-10-09,521.5077514648438
2015-10-12,512.02587890625
2015-10-13,524.0029907226562
2015-10-14,527.4962158203125
2015-10-15,527.9954833984375
2015-10-16,522.0068359375
2015-10-19,521.0087280273438
2015-10-20,523.0048217773438
2015-10-21,525.5001220703125
2015-10-22,528.4945678710938
2015-10-23,534.4830932617188
2015-10-26,534.4830932617188
2015-10-27,528.9934692382812
2015-10-28,525.001220703125
2015-10-29,525.001220703125
2015-10-30,528.4945678710938
2015-11-02,525.999267578125
2015-11-03,527.4962158203125
2015-11-04,529.9916381835938
2015-11-05,528.9934692382812
2015-11-06,530.9896850585938
2015-11-09,528.4945678710938
2015-11-10,528.9934692382812
2015-11-11,525.999267578125
2015-11-12,525.5001220703125
2015-11-13,525.001220703125
2015-11-16,527.9954833984375
2015-11-17,528.9934692382812
2015-11-18,526.4982299804688
2015-11-19,524.0029907226562
2015-11-20,528.9934692382812
2015-11-23,525.001220703125
2015-11-24,521.0087280273438
2015-11-25,524.0029907226562
2015-11-26,522.0068359375
2015-11-27,522.0068359375
2015-11-30,524.0029907226562
2015-12-01,525.001220703125
2015-12-02,524.0029907226562
2015-12-03,526.4982299804688
2015-12-04,528.9934692382812
2015-12-07,528.9934692382812
2015-12-08,524.0029907226562
2015-12-09,525.5001220703125
2015-12-10,524.0029907226562
2015-12-11,523.0048217773438
2015-12-14,523.5039672851562
2015-12-15,521.0087280273438
2015-12-16,524.5020751953125
2015-12-17,512.02587890625
2015-12-18,515.02001953125
2015-12-21,514.0218505859375
2015-12-22,517.5152587890625
2015-12-23,517.5152587890625
2015-12-24,519.012451171875
2015-12-29,527.4962158203125
2015-12-30,527.9954833984375
2015-12-31,531.98779296875
2016-01-04,517.016357421875
2016-01-05,526.997314453125
2016-01-06,525.5001220703125
2016-01-07,524.5020751953125
2016-01-08,523.5039672851562
2016-01-11,518.5134887695312
2016-01-12,525.5001220703125
2016-01-13,526.4982299804688
2016-01-14,525.5001220703125
2016-01-15,520.5097045898438
2016-01-18,516.0181884765625
2016-01-19,511.0277404785156
2016-01-20,512.02587890625
2016-01-21,516.517333984375
2016-01-22,513.0239868164062
2016-01-25,511.0277404785156
2016-01-26,522.505859375
2016-01-27,517.5152587890625
2016-01-28,514.5211181640625
2016-01-29,526.4982299804688
2016-02-01,534.4830932617188
2016-02-02,552.947998046875
2016-02-03,535.481201171875
2016-02-04,515.02001953125
2016-02-05,514.5211181640625
2016-02-08,512.52490234375
2016-02-09,494.958251953125
2016-02-10,499.54949951171875
2016-02-11,496.5552062988281
2016-02-12,492.0638122558594
2016-02-15,486.4744567871094
2016-02-16,488.67022705078125
2016-02-17,506.5362243652344
2016-02-18,504.5400085449219
2016-02-19,494.6588134765625
2016-02-22,503.0428771972656
2016-02-23,497.0542907714844
2016-02-24,491.5648193359375
2016-02-25,504.0409851074219
2016-02-26,513.5230102539062
2016-02-29,517.016357421875
2016-03-01,539.4736328125
2016-03-02,544.963134765625
2016-03-03,540.970703125
2016-03-04,556.9402465820312
2016-03-07,548.45654296875
2016-03-08,533.48486328125
2016-03-09,536.9783325195312
2016-03-10,545.961181640625
2016-03-11,540.970703125
2016-03-14,549.45458984375
2016-03-15,552.947998046875
2016-03-16,539.4736328125
2016-03-17,510.0295715332031
2016-03-18,507.03533935546875
2016-03-21,517.016357421875
2016-03-22,514.5211181640625
2016-03-23,514.5211181640625
2016-03-24,518.0144653320312
2016-03-29,519.511474609375
2016-03-30,535.481201171875
2016-03-31,528.9934692382812
2016-04-01,525.5001220703125
2016-04-04,525.001220703125
2016-04-05,522.0068359375
2016-04-06,525.999267578125
2016-04-07,525.999267578125
2016-04-08,533.9840698242188
2016-04-11,527.9954833984375
2016-04-12,531.98779296875
2016-04-13,534.9820556640625
2016-04-14,538.9744873046875
2016-04-15,539.4736328125
2016-04-18,538.9744873046875
2016-04-19,548.9555053710938
2016-04-20,552.947998046875
2016-04-21,553.946044921875
2016-04-22,558.9365844726562
2016-04-25,588.8795166015625
2016-04-26,590.8756713867188
2016-04-27,607.8435668945312
2016-04-28,613.333251953125
2016-04-29,558.4373168945312
2016-05-03,561.4317016601562
2016-05-04,561.4317016601562
2016-05-05,534.9820556640625
2016-05-06,533.9840698242188
2016-05-09,541.9688720703125
2016-05-10,531.48876953125
2016-05-11,551.4508056640625
2016-05-12,532.5829467773438
2016-05-13,535.5778198242188
2016-05-16,534.5794677734375
2016-05-17,541.0682983398438
2016-05-18,545.0614624023438
2016-05-19,544.5623779296875
2016-05-20,546.0597534179688
2016-05-23,540.0701293945312
