Date,APLLTD.NS
2015-08-21,637.30712890625
2015-08-24,600.8292236328125
2015-08-25,634.2560424804688
2015-08-26,621.0648803710938
2015-08-27,629.0961303710938
2015-08-28,632.775390625
2015-08-31,641.5696411132812
2015-09-01,627.4810791015625
2015-09-02,636.5892944335938
2015-09-03,624.9683837890625
2015-09-04,609.982421875
2015-09-07,588.5354614257812
2015-09-08,605.0916748046875
2015-09-09,610.3862915039062
2015-09-10,602.7586059570312
2015-09-11,599.8871459960938
2015-09-14,595.3553466796875
2015-09-15,590.01611328125
2015-09-16,586.6061401367188
2015-09-18,604.2392578125
2015-09-21,621.9173583984375
2015-09-22,611.9566040039062
2015-09-23,609.9375610351562
2015-09-24,606.437744140625
2015-09-28,616.0397338867188
2015-09-29,611.10400390625
2015-09-30,613.482177734375
2015-10-01,629.3654174804688
2015-10-05,636.9929809570312
2015-10-06,663.1510620117188
2015-10-07,655.6580810546875
2015-10-08,645.7872314453125
2015-10-09,650.0496826171875
2015-10-12,647.7612915039062
2015-10-13,643.4540405273438
2015-10-14,645.4730834960938
2015-10-15,649.0177001953125
2015-10-16,645.248779296875
2015-10-19,645.2935791015625
2015-10-20,648.6138916015625
2015-10-21,644.4860229492188
2015-10-23,623.1287841796875
2015-10-26,607.6043701171875
2015-10-27,594.5926513671875
2015-10-28,607.3351440429688
2015-10-29,610.1170654296875
2015-10-30,609.2196044921875
2015-11-02,609.9375610351562
2015-11-03,606.6621704101562
2015-11-04,609.57861328125
2015-11-05,606.751953125
2015-11-06,600.0664672851562
2015-11-09,604.014892578125
2015-11-10,597.4193115234375
2015-11-13,594.2786254882812
2015-11-16,591.6312866210938
2015-11-17,595.1310424804688
2015-11-18,591.0032348632812
2015-11-19,584.8114013671875
2015-11-20,591.990234375
2015-11-23,609.8477783203125
2015-11-24,608.3222045898438
2015-11-26,602.040771484375
2015-11-27,614.4691162109375
2015-11-30,621.6480102539062
2015-12-01,632.6856079101562
2015-12-02,624.8786010742188
2015-12-03,615.546142578125
2015-12-04,611.4181518554688
2015-12-07,618.4176025390625
2015-12-08,622.6351318359375
2015-12-09,602.0855712890625
2015-12-10,603.1624145507812
2015-12-11,594.4580688476562
2015-12-14,599.707763671875
2015-12-15,605.719970703125
2015-12-16,599.9319458007812
2015-12-17,603.5213623046875
2015-12-18,605.6301879882812
2015-12-21,600.0216064453125
2015-12-22,603.342041015625
2015-12-23,619.35986328125
2015-12-24,624.9683837890625
2015-12-28,632.1024169921875
2015-12-29,633.8074340820312
2015-12-30,639.1915283203125
2015-12-31,624.609375
2016-01-01,617.2509765625
2016-01-04,613.9757080078125
2016-01-05,608.2774047851562
2016-01-06,607.4698486328125
2016-01-07,594.4132080078125
2016-01-08,600.3357543945312
2016-01-11,594.2786254882812
2016-01-12,611.0592041015625
2016-01-13,591.1376953125
2016-01-14,592.7530517578125
2016-01-15,556.364990234375
2016-01-18,534.0205078125
2016-01-19,539.35986328125
2016-01-20,529.4440307617188
2016-01-21,560.9415283203125
2016-01-22,567.7615356445312
2016-01-25,565.6976318359375
2016-01-27,538.4625854492188
2016-01-28,531.5977783203125
2016-01-29,554.0767822265625
2016-02-01,563.0054321289062
2016-02-02,577.1837158203125
2016-02-03,565.2488403320312
2016-02-04,568.2998657226562
2016-02-05,532.3156127929688
2016-02-08,546.4939575195312
2016-02-09,530.1170654296875
2016-02-10,534.8282470703125
2016-02-11,530.4312133789062
2016-02-12,528.9505615234375
2016-02-15,559.9544677734375
2016-02-16,537.565185546875
2016-02-17,546.4042358398438
2016-02-18,555.73681640625
2016-02-19,554.6151123046875
2016-02-22,553.1343994140625
2016-02-23,554.0317993164062
2016-02-24,554.435546875
2016-02-25,550.9359741210938
2016-02-26,545.91064453125
2016-02-29,554.6151123046875
2016-03-01,557.9802856445312
2016-03-02,558.8776245117188
2016-03-03,575.523681640625
2016-03-04,573.0558471679688
2016-03-08,570.767578125
2016-03-09,564.6654663085938
2016-03-10,558.92236328125
2016-03-11,553.35888671875
2016-03-14,557.935302734375
2016-03-15,551.2052612304688
2016-03-16,557.80078125
2016-03-17,548.9168701171875
2016-03-18,547.795166015625
2016-03-21,548.8719482421875
2016-03-22,549.8143310546875
2016-03-23,546.1799926757812
2016-03-28,556.768798828125
2016-03-29,532.7643432617188
2016-03-30,542.8147583007812
2016-03-31,536.9819946289062
2016-04-01,531.8222045898438
2016-04-04,534.9629516601562
2016-04-05,527.5595703125
2016-04-06,529.2645874023438
2016-04-07,508.17657470703125
2016-04-08,496.5556335449219
2016-04-11,495.6583557128906
2016-04-12,489.9600830078125
2016-04-13,504.27313232421875
2016-04-18,512.3942260742188
2016-04-20,513.246826171875
2016-04-21,547.7055053710938
2016-04-22,554.3907470703125
2016-04-25,552.7306518554688
2016-04-26,550.6668701171875
2016-04-27,555.8265380859375
2016-04-28,548.3336181640625
2016-04-29,540.6611328125
2016-05-02,534.5140991210938
2016-05-03,536.4434814453125
2016-05-04,538.2382202148438
2016-05-05,538.1484985351562
2016-05-06,532.2258911132812
2016-05-09,528.8607177734375
2016-05-10,531.7322998046875
2016-05-11,522.489501953125
2016-05-12,520.4703979492188
2016-05-13,522.5791625976562
2016-05-16,509.3880310058594
2016-05-17,514.9517211914062
2016-05-18,511.8558654785156
2016-05-19,498.88885498046875
2016-05-20,506.651123046875
2016-05-23,493.4149475097656
2016-05-24,487.17828369140625
2016-05-25,493.953369140625
2016-05-26,490.0497741699219
2016-05-27,485.3386535644531
2016-05-30,477.9353942871094
2016-05-31,477.8905944824219
2016-06-01,487.8962097167969
