Date,BAVA.CO
2015-08-24,208.8414306640625
2015-08-25,237.71533203125
2015-08-26,225.4538116455078
2015-08-27,232.5734100341797
2015-08-28,231.38681030273438
2015-08-31,238.11087036132812
2015-09-01,231.38681030273438
2015-09-02,226.64041137695312
2015-09-03,232.9689483642578
2015-09-04,231.38681030273438
2015-09-07,229.01361083984375
2015-09-08,230.20021057128906
2015-09-09,230.20021057128906
2015-09-10,233.760009765625
2015-09-11,229.40914916992188
2015-09-14,232.5734100341797
2015-09-15,240.08853149414062
2015-09-16,232.9689483642578
2015-09-17,230.99127197265625
2015-09-18,232.5734100341797
2015-09-21,236.13320922851562
2015-09-22,226.64041137695312
2015-09-23,227.03594970703125
2015-09-24,224.2672119140625
2015-09-25,229.01361083984375
2015-09-28,218.72975158691406
2015-09-29,212.40122985839844
2015-09-30,208.8414306640625
2015-10-01,207.6548309326172
2015-10-02,204.09503173828125
2015-10-05,207.6548309326172
2015-10-06,210.0280303955078
2015-10-07,204.09503173828125
2015-10-08,204.88609313964844
2015-10-09,205.28163146972656
2015-10-12,198.95310974121094
2015-10-13,202.90843200683594
2015-10-14,197.3709716796875
2015-10-15,200.13970947265625
2015-10-16,204.49057006835938
2015-10-19,213.9833526611328
2015-10-20,221.4984893798828
2015-10-21,219.1252899169922
2015-10-22,219.91635131835938
2015-10-23,219.91635131835938
2015-10-26,220.3118896484375
2015-10-27,215.56549072265625
2015-10-28,215.56549072265625
2015-10-29,217.54315185546875
2015-10-30,215.16995239257812
2015-11-02,214.77442932128906
2015-11-03,214.77442932128906
2015-11-04,221.4984893798828
2015-11-05,226.244873046875
2015-11-06,231.38681030273438
2015-11-09,227.82701110839844
2015-11-10,227.82701110839844
2015-11-11,230.99127197265625
2015-11-12,227.82701110839844
2015-11-13,232.9689483642578
2015-11-16,245.62599182128906
2015-11-17,249.185791015625
2015-11-18,250.76792907714844
2015-11-19,253.14112854003906
2015-11-20,251.95452880859375
2015-11-23,252.74559020996094
2015-11-24,246.81259155273438
2015-11-25,249.97686767578125
2015-11-26,246.0215301513672
2015-11-27,245.23046875
2015-11-30,254.32772827148438
2015-12-01,250.3723907470703
2015-12-02,258.6785888671875
2015-12-03,253.53665161132812
2015-12-04,258.2830505371094
2015-12-07,264.2160339355469
2015-12-08,264.2160339355469
2015-12-09,263.42498779296875
2015-12-10,254.72325134277344
2015-12-11,249.58132934570312
2015-12-14,236.5287322998047
2015-12-15,245.62599182128906
2015-12-16,245.23046875
2015-12-17,255.11878967285156
2015-12-18,268.9624328613281
2015-12-21,274.89544677734375
2015-12-22,268.9624328613281
2015-12-23,271.33563232421875
2015-12-28,273.31329345703125
2015-12-29,280.82843017578125
2015-12-30,282.80609130859375
2016-01-04,276.87310791015625
2016-01-05,283.9927062988281
2016-01-06,278.85076904296875
2016-01-07,272.91778564453125
2016-01-08,268.17138671875
2016-01-11,250.3723907470703
2016-01-12,256.3053894042969
2016-01-13,256.700927734375
2016-01-14,245.62599182128906
2016-01-15,227.03594970703125
2016-01-18,223.87168884277344
2016-01-19,229.40914916992188
2016-01-20,215.16995239257812
2016-01-21,219.52081298828125
2016-01-22,224.66275024414062
2016-01-25,236.5287322998047
2016-01-26,233.36447143554688
2016-01-27,238.11087036132812
2016-01-28,225.4538116455078
2016-01-29,226.64041137695312
2016-02-01,229.40914916992188
2016-02-02,223.0806121826172
2016-02-03,215.96102905273438
2016-02-04,219.1252899169922
2016-02-05,205.6771697998047
2016-02-08,182.34071350097656
2016-02-09,180.36305236816406
2016-02-10,194.99777221679688
2016-02-11,184.31837463378906
2016-02-12,187.0871124267578
2016-02-15,198.1620330810547
2016-02-16,193.02011108398438
2016-02-17,205.28163146972656
2016-02-18,208.8414306640625
2016-02-19,203.30397033691406
2016-02-22,212.40122985839844
2016-02-23,209.6324920654297
2016-02-24,202.5128936767578
2016-02-25,213.19229125976562
2016-02-26,219.1252899169922
2016-02-29,223.87168884277344
2016-03-01,229.80467224121094
2016-03-02,229.80467224121094
2016-03-03,228.22254943847656
2016-03-04,229.01361083984375
2016-03-07,225.4538116455078
2016-03-08,217.14761352539062
2016-03-09,216.35655212402344
2016-03-10,211.21463012695312
2016-03-11,211.21463012695312
2016-03-14,209.23695373535156
2016-03-15,208.44589233398438
2016-03-16,205.6771697998047
2016-03-17,195.393310546875
2016-03-18,192.22903442382812
2016-03-21,191.83351135253906
2016-03-22,198.5575714111328
2016-03-23,195.78883361816406
2016-03-29,194.2067108154297
2016-03-30,193.81117248535156
2016-03-31,193.81117248535156
2016-04-01,193.81117248535156
2016-04-04,192.22903442382812
2016-04-05,195.393310546875
2016-04-06,199.3486328125
2016-04-07,200.13970947265625
2016-04-08,200.93077087402344
2016-04-11,198.95310974121094
2016-04-12,196.1843719482422
2016-04-13,197.76651000976562
2016-04-14,200.13970947265625
2016-04-15,205.6771697998047
2016-04-18,213.58782958984375
2016-04-19,213.58782958984375
2016-04-20,206.07269287109375
2016-04-21,210.819091796875
2016-04-25,209.6324920654297
2016-04-26,201.72183227539062
2016-04-27,202.90843200683594
2016-04-28,201.72183227539062
2016-04-29,196.1843719482422
2016-05-02,194.99777221679688
2016-05-03,190.64691162109375
2016-05-04,192.62457275390625
2016-05-09,191.43797302246094
2016-05-10,196.5799102783203
2016-05-11,199.3486328125
2016-05-12,205.6771697998047
2016-05-13,198.5575714111328
2016-05-17,193.41563415527344
2016-05-18,193.81117248535156
2016-05-19,197.76651000976562
2016-05-20,196.1843719482422
2016-05-23,207.6548309326172
2016-05-24,204.49057006835938
