Date,IPF.L
2015-08-24,376.8508605957031
2015-08-25,387.8849792480469
2015-08-26,389.773681640625
2015-08-27,396.6327819824219
2015-08-28,395.24102783203125
2015-09-01,391.8612365722656
2015-09-02,387.5867614746094
2015-09-03,389.9190673828125
2015-09-04,376.79583740234375
2015-09-07,380.17608642578125
2015-09-08,386.04180908203125
2015-09-09,397.0772399902344
2015-09-10,387.8313293457031
2015-09-11,387.73187255859375
2015-09-14,385.6440734863281
2015-09-15,392.4045715332031
2015-09-16,401.84930419921875
2015-09-17,397.6737976074219
2015-09-18,400.8550720214844
2015-09-21,399.1650390625
2015-09-22,392.1062927246094
2015-09-23,396.7789611816406
2015-09-24,388.72607421875
2015-09-25,391.7086181640625
2015-09-28,380.17608642578125
2015-09-29,377.29290771484375
2015-09-30,385.7434997558594
2015-10-01,386.7376708984375
2015-10-02,392.30517578125
2015-10-05,399.0655822753906
2015-10-06,421.5341491699219
2015-10-07,422.92596435546875
2015-10-08,422.2300720214844
2015-10-09,423.5224609375
2015-10-12,418.4522399902344
2015-10-13,406.42254638671875
2015-10-14,404.6330871582031
2015-10-15,405.9254455566406
2015-10-16,402.54522705078125
2015-10-19,403.6388854980469
2015-10-20,410.3992919921875
2015-10-21,418.65106201171875
2015-10-22,417.557373046875
2015-10-23,422.5282897949219
2015-10-26,408.9080505371094
2015-10-27,396.58013916015625
2015-10-28,389.6208801269531
2015-10-29,372.42144775390625
2015-10-30,367.9476318359375
2015-11-02,379.1818542480469
2015-11-03,379.8778076171875
2015-11-04,364.6667785644531
2015-11-05,369.33953857421875
2015-11-06,374.31036376953125
2015-11-09,376.79583740234375
2015-11-10,367.6493225097656
2015-11-11,371.12896728515625
2015-11-12,359.099365234375
2015-11-13,359.79534912109375
2015-11-16,362.9766845703125
2015-11-17,368.74298095703125
2015-11-18,368.3453369140625
2015-11-19,368.245849609375
2015-11-20,368.14642333984375
2015-11-23,367.1522521972656
2015-11-24,362.0818786621094
2015-11-25,362.0818786621094
2015-11-26,361.385986328125
2015-11-27,365.95928955078125
2015-11-30,368.44476318359375
2015-12-01,367.251708984375
2015-12-02,360.6900634765625
2015-12-03,357.0115661621094
2015-12-04,357.9063415527344
2015-12-07,354.92376708984375
2015-12-08,344.2860412597656
2015-12-09,336.3325500488281
2015-12-10,320.6244201660156
2015-12-11,294.278564453125
2015-12-14,295.27276611328125
2015-12-15,288.810546875
2015-12-16,291.59423828125
2015-12-17,297.1616516113281
2015-12-18,303.72332763671875
2015-12-21,291.2959289550781
2015-12-22,290.3017883300781
2015-12-23,291.7930908203125
2015-12-24,289.5064392089844
2015-12-29,290.6000061035156
2015-12-30,290.6000061035156
2015-12-31,287.3192443847656
2016-01-04,279.26641845703125
2016-01-05,279.26641845703125
2016-01-06,278.57037353515625
2016-01-07,269.9210205078125
2016-01-08,262.66351318359375
2016-01-11,261.3710632324219
2016-01-12,258.4878845214844
2016-01-13,263.06121826171875
2016-01-14,258.4878845214844
2016-01-15,253.0198974609375
2016-01-18,242.4815673828125
2016-01-19,242.58099365234375
2016-01-20,230.65077209472656
2016-01-21,238.90248107910156
2016-01-22,241.5867919921875
2016-01-25,243.87342834472656
2016-01-26,245.56350708007812
2016-01-27,244.6687469482422
2016-01-28,240.4931640625
2016-01-29,239.3995819091797
2016-02-01,236.41702270507812
2016-02-02,229.75601196289062
2016-02-03,223.98971557617188
2016-02-04,224.88449096679688
2016-02-05,226.77346801757812
2016-02-08,222.4984588623047
2016-02-09,217.7263641357422
2016-02-10,226.27635192871094
2016-02-11,220.7089385986328
2016-02-12,221.90194702148438
2016-02-15,227.4693603515625
2016-02-16,241.5867919921875
2016-02-17,259.7803649902344
2016-02-18,261.8681335449219
2016-02-19,264.4530029296875
2016-02-22,270.41815185546875
2016-02-23,263.65771484375
2016-02-24,229.06002807617188
2016-02-25,232.04261779785156
2016-02-26,250.33563232421875
2016-02-29,266.3420104980469
2016-03-01,254.5111846923828
2016-03-02,263.4588317871094
2016-03-03,271.909423828125
2016-03-04,275.7867431640625
2016-03-07,279.7633972167969
2016-03-08,274.7925109863281
2016-03-09,275.0908203125
2016-03-10,278.07342529296875
2016-03-11,283.3424987792969
2016-03-14,288.3134460449219
2016-03-15,278.57037353515625
2016-03-16,281.2547302246094
2016-03-17,284.73431396484375
2016-03-18,299.34881591796875
2016-03-21,292.6878662109375
2016-03-22,291.6937255859375
2016-03-23,280.3599548339844
2016-03-24,275.8861389160156
2016-03-29,273.897705078125
2016-03-30,286.2256164550781
2016-03-31,290.4012451171875
2016-04-01,286.126220703125
2016-04-04,284.73431396484375
2016-04-05,272.5058898925781
2016-04-06,278.9681396484375
2016-04-07,254.58197021484375
2016-04-08,253.18972778320312
2016-04-11,257.5653991699219
2016-04-12,261.34423828125
2016-04-13,277.55401611328125
2016-04-14,273.1783752441406
2016-04-15,275.2667541503906
2016-04-18,276.65899658203125
2016-04-19,273.67559814453125
2016-04-20,274.1728210449219
