Date,GMAB.CO
2015-08-24,548.0
2015-08-25,569.0
2015-08-26,560.5
2015-08-27,610.0
2015-08-28,591.5
2015-08-31,597.5
2015-09-01,577.0
2015-09-02,603.0
2015-09-03,628.0
2015-09-04,612.5
2015-09-07,637.0
2015-09-08,642.0
2015-09-09,644.0
2015-09-10,647.5
2015-09-11,649.0
2015-09-14,645.0
2015-09-15,645.0
2015-09-16,637.5
2015-09-17,638.0
2015-09-18,646.5
2015-09-21,662.0
2015-09-22,650.0
2015-09-23,650.5
2015-09-24,640.0
2015-09-25,654.0
2015-09-28,627.0
2015-09-29,601.5
2015-09-30,611.5
2015-10-01,619.0
2015-10-02,623.0
2015-10-05,635.0
2015-10-06,632.5
2015-10-07,636.5
2015-10-08,625.0
2015-10-09,622.0
2015-10-12,611.5
2015-10-13,613.0
2015-10-14,593.5
2015-10-15,613.0
2015-10-16,628.0
2015-10-19,634.5
2015-10-20,636.5
2015-10-21,634.0
2015-10-22,636.5
2015-10-23,646.0
2015-10-26,668.5
2015-10-27,663.0
2015-10-28,667.0
2015-10-29,670.0
2015-10-30,669.0
2015-11-02,680.0
2015-11-03,672.5
2015-11-04,707.5
2015-11-05,697.5
2015-11-06,705.0
2015-11-09,711.5
2015-11-10,720.0
2015-11-11,738.5
2015-11-12,728.0
2015-11-13,734.5
2015-11-16,744.0
2015-11-17,744.0
2015-11-18,827.0
2015-11-19,840.0
2015-11-20,840.0
2015-11-23,840.5
2015-11-24,836.5
2015-11-25,860.0
2015-11-26,875.5
2015-11-27,892.5
2015-11-30,892.5
2015-12-01,891.5
2015-12-02,909.5
2015-12-03,917.5
2015-12-04,926.0
2015-12-07,926.0
2015-12-08,938.0
2015-12-09,954.0
2015-12-10,939.5
2015-12-11,939.5
2015-12-14,911.0
2015-12-15,919.5
2015-12-16,919.5
2015-12-17,925.5
2015-12-18,915.5
2015-12-21,915.5
2015-12-22,910.0
2015-12-23,919.5
2015-12-28,919.5
2015-12-29,924.0
2015-12-30,917.5
2016-01-04,925.0
2016-01-05,925.0
2016-01-06,913.0
2016-01-07,913.0
2016-01-08,878.5
2016-01-11,844.5
2016-01-12,874.0
2016-01-13,877.0
2016-01-14,863.0
2016-01-15,819.0
2016-01-18,801.5
2016-01-19,839.0
2016-01-20,802.5
2016-01-21,816.5
2016-01-22,841.5
2016-01-25,866.5
2016-01-26,871.5
2016-01-27,866.0
2016-01-28,841.0
2016-01-29,859.0
2016-02-01,851.5
2016-02-02,849.0
2016-02-03,826.5
2016-02-04,801.0
2016-02-05,750.0
2016-02-08,663.5
2016-02-09,638.0
2016-02-10,674.0
2016-02-11,653.5
2016-02-12,649.0
2016-02-15,691.0
2016-02-16,695.0
2016-02-17,717.0
2016-02-18,746.5
2016-02-19,763.5
2016-02-22,785.5
2016-02-23,794.5
2016-02-24,779.0
2016-02-25,822.5
2016-02-26,845.0
2016-02-29,843.5
2016-03-01,858.0
2016-03-02,856.0
2016-03-03,832.0
2016-03-04,820.0
2016-03-07,821.0
2016-03-08,808.5
2016-03-09,805.5
2016-03-10,801.0
2016-03-11,808.5
2016-03-14,834.0
2016-03-15,826.0
2016-03-16,830.0
2016-03-17,815.5
2016-03-18,819.0
2016-03-21,816.5
2016-03-22,842.5
2016-03-23,856.0
2016-03-29,850.0
2016-03-30,858.5
2016-03-31,907.5
2016-04-01,923.5
2016-04-04,925.0
2016-04-05,913.0
