Date,VTL.NS
2015-08-21,172.14346313476562
2015-08-24,162.90773010253906
2015-08-25,162.1455535888672
2015-08-26,157.21383666992188
2015-08-27,156.22750854492188
2015-08-28,159.94869995117188
2015-08-31,163.1677703857422
2015-09-01,157.3483428955078
2015-09-02,157.3931884765625
2015-09-03,162.86288452148438
2015-09-04,158.98924255371094
2015-09-07,157.2317657470703
2015-09-08,156.01229858398438
2015-09-09,163.81336975097656
2015-09-10,162.69252014160156
2015-09-11,165.3376922607422
2015-09-14,168.05462646484375
2015-09-15,164.09132385253906
2015-09-16,158.80990600585938
2015-09-18,168.6643524169922
2015-09-21,169.14857482910156
2015-09-22,164.63827514648438
2015-09-23,168.14427185058594
2015-09-24,169.02304077148438
2015-09-28,170.02731323242188
2015-09-29,165.84881591796875
2015-09-30,167.6600799560547
2015-10-01,165.96536254882812
2015-10-05,164.3513641357422
2015-10-06,161.0157470703125
2015-10-07,154.4700164794922
2015-10-08,150.820556640625
2015-10-09,144.79490661621094
2015-10-12,139.7376708984375
2015-10-13,146.31924438476562
2015-10-14,147.08143615722656
2015-10-15,143.2705535888672
2015-10-16,140.77780151367188
2015-10-19,141.3068389892578
2015-10-20,134.680419921875
2015-10-21,132.97674560546875
2015-10-23,135.44261169433594
2015-10-26,133.40713500976562
2015-10-27,136.6531219482422
2015-10-28,133.56854248046875
2015-10-29,134.41139221191406
2015-10-30,130.13430786132812
2015-11-02,134.03480529785156
2015-11-03,129.50662231445312
2015-11-04,128.03607177734375
2015-11-05,131.21923828125
2015-11-06,130.5109100341797
2015-11-09,132.39390563964844
2015-11-10,129.71282958984375
2015-11-13,132.07110595703125
2015-11-16,131.81106567382812
2015-11-17,131.02200317382812
2015-11-18,131.13858032226562
2015-11-19,136.15097045898438
2015-11-20,141.89865112304688
2015-11-23,143.52162170410156
2015-11-24,141.80897521972656
2015-11-26,140.6343231201172
2015-11-27,140.69712829589844
2015-11-30,139.88116455078125
2015-12-01,139.4507293701172
2015-12-02,138.84996032714844
2015-12-03,140.90333557128906
2015-12-04,140.49085998535156
2015-12-07,138.06983947753906
2015-12-08,137.0117645263672
2015-12-09,134.53695678710938
2015-12-10,135.3798065185547
2015-12-11,134.6894073486328
2015-12-14,134.29486083984375
2015-12-15,137.5228729248047
2015-12-16,143.21676635742188
2015-12-17,146.6689453125
2015-12-18,147.35044860839844
2015-12-21,147.0096893310547
2015-12-22,144.6424560546875
2015-12-23,145.49429321289062
2015-12-24,145.20738220214844
2015-12-28,148.22019958496094
2015-12-29,148.59678649902344
2015-12-30,148.184326171875
2015-12-31,148.78509521484375
2016-01-01,148.13050842285156
2016-01-04,145.40463256835938
2016-01-05,143.3333282470703
2016-01-06,147.09039306640625
2016-01-07,147.3773193359375
2016-01-08,144.5169219970703
2016-01-11,141.728271484375
2016-01-12,141.88070678710938
2016-01-13,140.3743133544922
2016-01-14,138.9755096435547
2016-01-15,135.34396362304688
2016-01-18,126.9062728881836
2016-01-19,129.34519958496094
2016-01-20,126.68208312988281
2016-01-21,127.04975128173828
2016-01-22,127.14837646484375
2016-01-25,128.35887145996094
2016-01-27,129.56044006347656
2016-01-28,136.0792236328125
2016-01-29,141.19923400878906
2016-02-01,142.44561767578125
2016-02-02,141.65655517578125
2016-02-03,139.27137756347656
2016-02-04,141.6116943359375
2016-02-05,146.64205932617188
2016-02-08,144.3555450439453
2016-02-09,144.38241577148438
2016-02-10,144.15826416015625
2016-02-11,135.1377410888672
2016-02-12,134.7969970703125
2016-02-15,138.98446655273438
2016-02-16,134.62664794921875
2016-02-17,136.5992889404297
2016-02-18,136.1151123046875
2016-02-19,135.89987182617188
2016-02-22,135.89987182617188
2016-02-23,134.7700958251953
2016-02-24,131.55999755859375
2016-02-25,134.1244659423828
2016-02-26,134.54592895507812
2016-02-29,133.792724609375
2016-03-01,137.09249877929688
2016-03-02,137.020751953125
2016-03-03,137.0028076171875
2016-03-04,137.6932373046875
2016-03-08,137.85467529296875
2016-03-09,138.04296875
2016-03-10,139.12791442871094
2016-03-11,137.71116638183594
