Date,HSBA.L
2015-08-24,485.1712341308594
2015-08-25,504.41900634765625
2015-08-26,493.5765686035156
2015-08-27,516.9522094726562
2015-08-28,515.9576416015625
2015-09-01,496.3617858886719
2015-09-02,496.1628112792969
2015-09-03,504.02105712890625
2015-09-04,490.890869140625
2015-09-07,491.3882141113281
2015-09-08,501.5342102050781
2015-09-09,516.1565551757812
2015-09-10,502.52899169921875
2015-09-11,501.63372802734375
2015-09-14,498.15228271484375
2015-09-15,506.1099548339844
2015-09-16,510.38714599609375
2015-09-17,499.8432312011719
2015-09-18,488.0558776855469
2015-09-21,492.48236083984375
2015-09-22,484.82318115234375
2015-09-23,496.11309814453125
2015-09-24,485.51934814453125
2015-09-25,500.9374694824219
2015-09-28,486.3648986816406
2015-09-29,482.98291015625
2015-09-30,496.0633239746094
2015-10-01,500.34063720703125
2015-10-02,505.0157470703125
2015-10-05,518.5439453125
2015-10-06,518.6431884765625
2015-10-07,525.90478515625
2015-10-08,526.7005004882812
2015-10-09,529.38623046875
2015-10-12,528.7892456054688
2015-10-13,517.7479248046875
2015-10-14,512.8740234375
2015-10-15,516.2560424804688
2015-10-16,518.24560546875
2015-10-19,514.5650634765625
2015-10-20,512.8740234375
2015-10-21,510.0888977050781
2015-10-22,502.99169921875
2015-10-23,515.3277587890625
2015-10-26,510.4527587890625
2015-10-27,508.8612060546875
2015-10-28,512.6416625976562
2015-10-29,510.1545715332031
2015-10-30,504.9813537597656
2015-11-02,500.90234375
2015-11-03,502.2952575683594
2015-11-04,516.4220581054688
2015-11-05,514.2333374023438
2015-11-06,525.0772094726562
2015-11-09,524.8782958984375
2015-11-10,520.6998901367188
2015-11-11,520.9984741210938
2015-11-12,518.312255859375
2015-11-13,510.55255126953125
2015-11-16,508.66217041015625
2015-11-17,516.521484375
2015-11-18,518.1131591796875
2015-11-19,522.3909912109375
2015-11-20,528.360107421875
2015-11-23,532.1405029296875
2015-11-24,527.365234375
2015-11-25,531.1455688476562
2015-11-26,537.2140502929688
2015-11-27,532.1405029296875
2015-11-30,526.768310546875
2015-12-01,536.2194213867188
2015-12-02,537.7114868164062
2015-12-03,524.4802856445312
2015-12-04,520.6002197265625
2015-12-07,518.9092407226562
2015-12-08,508.9606628417969
2015-12-09,508.9606628417969
2015-12-10,508.1646728515625
2015-12-11,495.43084716796875
2015-12-14,491.60064697265625
2015-12-15,508.9606628417969
2015-12-16,518.1131591796875
2015-12-17,528.9570922851562
2015-12-18,526.4698486328125
2015-12-21,524.3807373046875
2015-12-22,526.8677978515625
2015-12-23,538.1093139648438
2015-12-24,538.5072631835938
2015-12-29,541.7904052734375
2015-12-30,535.0255126953125
2015-12-31,533.4337158203125
2016-01-04,517.7152709960938
2016-01-05,519.9041748046875
2016-01-06,505.677734375
2016-01-07,499.41015625
2016-01-08,496.5252380371094
2016-01-11,495.2319030761719
2016-01-12,502.4941711425781
2016-01-13,502.1957092285156
2016-01-14,499.41015625
2016-01-15,483.1943054199219
2016-01-18,477.2252502441406
2016-01-19,486.1290588378906
2016-01-20,463.39691162109375
2016-01-21,468.7691955566406
2016-01-22,477.0760498046875
2016-01-25,471.0074157714844
2016-01-26,472.05206298828125
2016-01-27,477.6231689453125
2016-01-28,475.185791015625
2016-01-29,489.76019287109375
2016-02-01,481.9010009765625
2016-02-02,465.1877136230469
2016-02-03,447.13134765625
2016-02-04,457.1294860839844
2016-02-05,455.4879150390625
2016-02-08,436.1880798339844
2016-02-09,430.2687683105469
2016-02-10,439.122802734375
2016-02-11,417.982421875
2016-02-12,438.1280212402344
2016-02-15,444.09710693359375
2016-02-16,445.8877868652344
2016-02-17,454.5926208496094
2016-02-18,446.5343933105469
2016-02-19,447.529296875
