Date,ADYEN.AS
2018-06-13,455.0
2018-06-14,438.0
2018-06-15,420.0
2018-06-18,411.0
2018-06-19,412.5
2018-06-20,415.8500061035156
2018-06-21,440.0
2018-06-22,487.79998779296875
2018-06-25,486.0
2018-06-26,479.6499938964844
2018-06-27,479.5
2018-06-28,471.0
2018-06-29,471.75
2018-07-02,458.0
2018-07-03,471.8500061035156
2018-07-04,492.70001220703125
2018-07-05,496.0
2018-07-06,503.3999938964844
2018-07-09,521.0
2018-07-10,529.5
2018-07-11,542.9000244140625
2018-07-12,579.0
2018-07-13,590.2000122070312
2018-07-16,570.0
2018-07-17,558.0
2018-07-18,557.0999755859375
2018-07-19,572.9000244140625
2018-07-20,574.5999755859375
2018-07-23,592.0
2018-07-24,600.0
2018-07-25,590.0
2018-07-26,586.5999755859375
2018-07-27,586.0
2018-07-30,577.0
2018-07-31,546.4000244140625
2018-08-01,527.0
2018-08-02,524.9000244140625
2018-08-03,544.2000122070312
2018-08-06,540.0
2018-08-07,547.0
2018-08-08,546.2000122070312
2018-08-09,549.0
2018-08-10,546.5999755859375
2018-08-13,548.2999877929688
2018-08-14,551.0
2018-08-15,534.5
2018-08-16,530.4000244140625
2018-08-17,527.7999877929688
2018-08-20,540.0
2018-08-21,548.0999755859375
2018-08-22,568.0
2018-08-23,607.2000122070312
2018-08-24,600.9000244140625
2018-08-27,616.5999755859375
2018-08-28,617.0
2018-08-29,614.0
2018-08-30,602.9000244140625
2018-08-31,604.0
2018-09-03,609.0
2018-09-04,615.0
2018-09-05,615.7000122070312
2018-09-06,629.0
2018-09-07,644.7999877929688
2018-09-10,691.9000244140625
2018-09-11,682.0
2018-09-12,738.2000122070312
2018-09-13,650.0
2018-09-14,615.0
2018-09-17,589.0
2018-09-18,629.9000244140625
2018-09-19,649.0
2018-09-20,633.9000244140625
2018-09-21,626.2000122070312
2018-09-24,642.5
2018-09-25,658.7999877929688
2018-09-26,662.0
2018-09-27,684.7000122070312
2018-09-28,703.0
2018-10-01,720.0
2018-10-02,720.4000244140625
2018-10-03,702.2000122070312
2018-10-04,682.0
2018-10-05,656.7999877929688
2018-10-08,627.5
2018-10-09,615.2999877929688
2018-10-10,580.2000122070312
2018-10-11,547.5
2018-10-12,573.2999877929688
2018-10-15,556.2000122070312
2018-10-16,584.4000244140625
2018-10-17,602.4000244140625
2018-10-18,599.0
2018-10-19,609.7999877929688
2018-10-22,622.2999877929688
2018-10-23,560.0
2018-10-24,545.9000244140625
2018-10-25,554.0999755859375
2018-10-26,519.2999877929688
2018-10-29,540.0
2018-10-30,545.0
2018-10-31,571.0999755859375
2018-11-01,574.5999755859375
2018-11-02,581.0
2018-11-05,565.5
2018-11-06,580.9000244140625
2018-11-07,609.0999755859375
2018-11-08,599.7000122070312
2018-11-09,583.5
2018-11-12,573.2999877929688
2018-11-13,592.2999877929688
2018-11-14,536.2999877929688
2018-11-15,513.0
2018-11-16,507.5
2018-11-19,470.0
2018-11-20,436.04998779296875
2018-11-21,439.45001220703125
2018-11-22,426.95001220703125
2018-11-23,437.0
2018-11-26,455.20001220703125
