Date,RELIANCE.NS
2015-08-03,218.0823211669922
2015-08-04,214.93873596191406
2015-08-05,214.8843536376953
2015-08-06,212.9699249267578
2015-08-07,214.1446990966797
2015-08-10,210.78355407714844
2015-08-11,210.15264892578125
2015-08-12,205.12728881835938
2015-08-13,203.04965209960938
2015-08-14,210.35931396484375
2015-08-17,206.8241424560547
2015-08-18,205.38832092285156
2015-08-19,207.672607421875
2015-08-20,199.34043884277344
2015-08-21,197.52392578125
2015-08-24,180.46804809570312
2015-08-25,184.51449584960938
2015-08-26,185.65660095214844
2015-08-27,189.0830078125
2015-08-28,189.7900390625
2015-08-31,186.20046997070312
2015-09-01,182.7088165283203
2015-09-02,184.8190155029297
2015-09-03,185.75448608398438
2015-09-04,181.84947204589844
2015-09-07,181.2620849609375
2015-09-08,184.61236572265625
2015-09-09,190.14898681640625
2015-09-10,188.61526489257812
2015-09-11,187.29910278320312
2015-09-14,187.9299774169922
2015-09-15,188.61526489257812
2015-09-16,189.82269287109375
2015-09-18,194.79368591308594
2015-09-21,191.03004455566406
2015-09-22,184.46009826660156
2015-09-23,184.99307250976562
2015-09-24,182.16493225097656
2015-09-28,181.4905242919922
2015-09-29,182.9045867919922
2015-09-30,187.59278869628906
2015-10-01,188.1149139404297
2015-10-05,193.1837921142578
2015-10-06,195.3701629638672
2015-10-07,198.79656982421875
2015-10-08,193.42312622070312
2015-10-09,193.0424041748047
2015-10-12,193.99961853027344
2015-10-13,194.40206909179688
2015-10-14,196.43617248535156
2015-10-15,196.59934997558594
2015-10-16,199.0141143798828
2015-10-19,209.60879516601562
2015-10-20,208.1294403076172
2015-10-21,207.7596435546875
2015-10-23,207.9010009765625
2015-10-26,205.11636352539062
2015-10-27,204.39846801757812
2015-10-28,203.83285522460938
2015-10-29,204.71392822265625
2015-10-30,206.1715087890625
2015-11-02,208.8038330078125
2015-11-03,210.41372680664062
2015-11-04,206.95468139648438
2015-11-05,203.75669860839844
2015-11-06,207.19398498535156
2015-11-09,209.11929321289062
2015-11-10,200.74365234375
2015-11-13,202.9844207763672
2015-11-16,203.25634765625
2015-11-17,201.83140563964844
2015-11-18,198.40496826171875
2015-11-19,203.35423278808594
2015-11-20,205.98658752441406
2015-11-23,207.48764038085938
2015-11-24,210.5224609375
2015-11-26,215.08016967773438
2015-11-27,212.99168395996094
2015-11-30,210.39195251464844
2015-12-01,210.13092041015625
2015-12-02,212.7523651123047
2015-12-03,212.58920288085938
2015-12-04,210.0330047607422
2015-12-07,207.11785888671875
2015-12-08,204.69216918945312
2015-12-09,199.25341796875
2015-12-10,206.74801635742188
2015-12-11,207.31362915039062
2015-12-14,207.7813720703125
2015-12-15,212.306396484375
2015-12-16,212.90464782714844
2015-12-17,219.65957641601562
2015-12-18,215.78720092773438
2015-12-21,215.83071899414062
2015-12-22,214.78646850585938
2015-12-23,218.37599182128906
2015-12-24,217.66897583007812
2015-12-28,219.81185913085938
2015-12-29,220.8996124267578
2015-12-30,218.52830505371094
2015-12-31,220.72555541992188
2016-01-01,220.8887481689453
2016-01-04,216.52684020996094
