Date,FDS
2015-08-03,150.08563232421875
2015-08-04,152.06271362304688
2015-08-05,154.24742126464844
2015-08-06,152.58631896972656
2015-08-07,153.30850219726562
2015-08-10,154.7529296875
2015-08-11,152.6675567626953
2015-08-12,151.58419799804688
2015-08-13,153.34466552734375
2015-08-14,154.50018310546875
2015-08-17,156.35987854003906
2015-08-18,156.08908081054688
2015-08-19,154.55433654785156
2015-08-20,150.4105987548828
2015-08-21,146.22177124023438
2015-08-24,138.43988037109375
2015-08-25,138.94544982910156
2015-08-26,142.29470825195312
2015-08-27,144.26824951171875
2015-08-28,145.073974609375
2015-08-31,142.96463012695312
2015-09-01,138.84548950195312
2015-09-02,141.23558044433594
2015-09-03,143.3991241455078
2015-09-04,140.9820098876953
2015-09-08,146.48623657226562
2015-09-09,145.74395751953125
2015-09-10,146.76686096191406
2015-09-11,148.9577178955078
2015-09-14,149.52804565429688
2015-09-15,150.6053466796875
2015-09-16,150.59632873535156
2015-09-17,150.0259552001953
2015-09-18,148.75857543945312
2015-09-21,150.21603393554688
2015-09-22,147.26478576660156
2015-09-23,147.65408325195312
2015-09-24,144.3315887451172
2015-09-25,144.7118377685547
2015-09-28,141.5705108642578
2015-09-29,141.28079223632812
2015-09-30,144.6756591796875
2015-10-01,144.8023681640625
2015-10-02,146.09695434570312
2015-10-05,145.7620086669922
2015-10-06,145.4180145263672
2015-10-07,146.38668823242188
2015-10-08,147.2376708984375
2015-10-09,148.09767150878906
2015-10-12,148.70420837402344
2015-10-13,148.0342559814453
2015-10-14,146.62205505371094
2015-10-15,149.00296020507812
2015-10-16,149.70909118652344
2015-10-19,151.70077514648438
2015-10-20,152.0900115966797
2015-10-21,152.28013610839844
2015-10-22,156.94236755371094
2015-10-23,159.3413848876953
2015-10-26,159.30523681640625
2015-10-27,157.4221954345703
2015-10-28,158.91598510742188
2015-10-29,158.68069458007812
2015-10-30,158.5357208251953
2015-11-02,158.6082305908203
2015-11-03,156.4264373779297
2015-11-04,157.3769073486328
2015-11-05,157.96539306640625
2015-11-06,156.97862243652344
2015-11-09,157.52183532714844
2015-11-10,158.59912109375
2015-11-11,158.2822723388672
2015-11-12,157.4584197998047
2015-11-13,151.13946533203125
2015-11-16,153.08584594726562
2015-11-17,153.51138305664062
2015-11-18,155.1861572265625
2015-11-19,153.14019775390625
2015-11-20,154.0364532470703
2015-11-23,154.01834106445312
2015-11-24,154.46192932128906
2015-11-25,153.80844116210938
2015-11-27,155.07911682128906
2015-11-30,153.8719482421875
2015-12-01,155.50570678710938
2015-12-02,155.26971435546875
2015-12-03,153.62689208984375
2015-12-04,157.05775451660156
2015-12-07,155.88693237304688
2015-12-08,156.45880126953125
2015-12-09,153.05514526367188
2015-12-10,154.73419189453125
2015-12-11,152.61032104492188
2015-12-14,153.6722869873047
2015-12-15,147.57289123535156
2015-12-16,146.85585021972656
2015-12-17,146.6743927001953
2015-12-18,141.8275909423828
2015-12-21,142.10897827148438
2015-12-22,143.69732666015625
2015-12-23,144.56869506835938
2015-12-24,145.41281127929688
2015-12-28,146.44749450683594
2015-12-29,148.45333862304688
2015-12-30,147.48214721679688
2015-12-31,147.55482482910156
2016-01-04,142.15435791015625
2016-01-05,144.06944274902344
2016-01-06,142.16339111328125
2016-01-07,138.42398071289062
2016-01-08,136.43624877929688
2016-01-11,136.88095092773438
2016-01-12,136.56332397460938
2016-01-13,132.83291625976562
2016-01-14,134.49383544921875
2016-01-15,133.25950622558594
2016-01-19,132.2429656982422
2016-01-20,129.5563507080078
2016-01-21,129.32032775878906
2016-01-22,132.397216796875
2016-01-25,131.3443603515625
2016-01-26,133.2776641845703
2016-01-27,133.65879821777344
2016-01-28,134.2124786376953
2016-01-29,136.7810821533203
2016-02-01,135.99143981933594
2016-02-02,131.80726623535156
2016-02-03,131.1356201171875
2016-02-04,132.1158905029297
2016-02-05,129.32937622070312
2016-02-08,127.06031799316406
2016-02-09,124.88194274902344
2016-02-10,126.1889419555664
2016-02-11,123.80191802978516
2016-02-12,127.45967102050781
2016-02-16,131.25360107421875
2016-02-17,134.18533325195312
2016-02-18,133.34121704101562
2016-02-19,134.6935577392578
2016-02-22,136.59951782226562
2016-02-23,135.56488037109375
2016-02-24,135.81906127929688
2016-02-25,138.1221160888672
2016-02-26,137.29368591308594
2016-02-29,136.99334716796875
2016-03-01,140.90769958496094
2016-03-02,140.44342041015625
