Date,OR.PA
2015-08-24,125.0071792602539
2015-08-25,130.51654052734375
2015-08-26,126.8009262084961
2015-08-27,130.51654052734375
2015-08-28,130.51654052734375
2015-08-31,130.43112182617188
2015-09-01,127.91134643554688
2015-09-02,128.68006896972656
2015-09-03,128.8936309814453
2015-09-04,124.49466705322266
2015-09-07,125.73321533203125
2015-09-08,125.4769515991211
2015-09-09,126.9290542602539
2015-09-10,124.58010864257812
2015-09-11,124.11031341552734
2015-09-14,122.95718383789062
2015-09-15,125.34881591796875
2015-09-16,128.63739013671875
2015-09-17,128.5519561767578
2015-09-18,125.34881591796875
2015-09-21,128.2957000732422
2015-09-22,124.32384490966797
2015-09-23,124.2384262084961
2015-09-24,122.91446685791016
2015-09-25,129.74778747558594
2015-09-28,127.91134643554688
2015-09-29,127.09988403320312
2015-09-30,132.43844604492188
2015-10-01,130.47381591796875
2015-10-02,132.86549377441406
2015-10-05,136.9227752685547
2015-10-06,137.2644500732422
2015-10-07,137.4779815673828
2015-10-08,138.41758728027344
2015-10-09,140.08323669433594
2015-10-12,141.06549072265625
2015-10-13,140.16864013671875
2015-10-14,140.21131896972656
2015-10-15,142.5602569580078
2015-10-16,141.83424377441406
2015-10-19,143.8415069580078
2015-10-20,143.115478515625
2015-10-21,141.4925537109375
2015-10-22,146.06236267089844
2015-10-23,148.283203125
2015-10-26,146.06236267089844
2015-10-27,146.1477813720703
2015-10-28,146.66026306152344
2015-10-29,148.6248779296875
2015-10-30,141.83424377441406
2015-11-02,141.06549072265625
2015-11-03,141.4498748779297
2015-11-04,141.876953125
2015-11-05,144.26861572265625
2015-11-06,142.6457061767578
2015-11-09,140.68112182617188
2015-11-10,141.06549072265625
2015-11-11,145.08009338378906
2015-11-12,143.3290252685547
2015-11-13,141.70608520507812
2015-11-16,141.91964721679688
2015-11-17,145.89151000976562
2015-11-18,143.4571533203125
2015-11-19,143.07278442382812
2015-11-20,144.1405029296875
2015-11-23,143.8842315673828
2015-11-24,140.85195922851562
2015-11-25,143.96963500976562
2015-11-26,144.39671325683594
2015-11-27,144.1405029296875
2015-11-30,143.158203125
2015-12-01,142.6884307861328
2015-12-02,143.96963500976562
2015-12-03,137.77696228027344
2015-12-04,136.02590942382812
2015-12-07,139.39987182617188
2015-12-08,136.53842163085938
2015-12-09,134.48841857910156
2015-12-10,133.59153747558594
2015-12-11,131.9259033203125
2015-12-14,129.83322143554688
2015-12-15,135.29986572265625
2015-12-16,134.91549682617188
2015-12-17,137.392578125
2015-12-18,134.74465942382812
2015-12-21,132.4811248779297
2015-12-22,131.49884033203125
2015-12-23,134.18946838378906
2015-12-24,133.84779357910156
2015-12-28,132.22488403320312
2015-12-29,135.08631896972656
2015-12-30,134.40301513671875
2016-01-04,128.8936309814453
2016-01-05,129.40609741210938
2016-01-06,129.23529052734375
2016-01-07,128.85092163085938
2016-01-08,127.78321075439453
2016-01-11,126.84362030029297
2016-01-12,128.2957000732422
2016-01-13,128.97903442382812
2016-01-14,126.2884292602539
2016-01-15,124.53738403320312
2016-01-18,124.9644546508789
