Date,WHIRLPOOL.NS
2015-08-21,727.0355224609375
2015-08-24,689.9010620117188
2015-08-25,673.559814453125
2015-08-26,671.847412109375
2015-08-27,676.2017822265625
2015-08-28,667.2484130859375
2015-08-31,667.5420532226562
2015-09-01,652.3261108398438
2015-09-02,647.1889038085938
2015-09-03,628.4503784179688
2015-09-04,619.203369140625
2015-09-07,618.32275390625
2015-09-08,628.5482177734375
2015-09-09,622.2858276367188
2015-09-10,600.66064453125
2015-09-11,602.5197143554688
2015-09-14,600.5628051757812
2015-09-15,600.7095336914062
2015-09-16,611.5221557617188
2015-09-18,626.052978515625
2015-09-21,640.0947265625
2015-09-22,622.872802734375
2015-09-23,624.7808837890625
2015-09-24,625.8572998046875
2015-09-28,632.6090087890625
2015-09-29,635.93603515625
2015-09-30,641.2688598632812
2015-10-01,666.5145874023438
2015-10-05,687.8462524414062
2015-10-06,672.1900024414062
2015-10-07,681.1432495117188
2015-10-08,679.675537109375
2015-10-09,660.9860229492188
2015-10-12,657.7568359375
2015-10-13,678.4034423828125
2015-10-14,674.1469116210938
2015-10-15,680.6051635742188
2015-10-16,670.5264282226562
2015-10-19,677.5227661132812
2015-10-20,678.0121459960938
2015-10-21,671.113525390625
2015-10-23,664.36181640625
2015-10-26,653.1577758789062
2015-10-27,634.0767822265625
2015-10-28,633.1471557617188
2015-10-29,634.6638793945312
2015-10-30,624.585205078125
2015-11-02,622.334716796875
2015-11-03,639.1651000976562
2015-11-04,623.1173706054688
2015-11-05,620.6712036132812
2015-11-06,615.2893676757812
2015-11-09,616.3167724609375
2015-11-10,614.8490600585938
2015-11-13,613.4302368164062
2015-11-16,610.837158203125
2015-11-17,639.1651000976562
2015-11-18,624.2427368164062
2015-11-19,652.9131469726562
2015-11-20,679.186279296875
2015-11-23,682.8067626953125
2015-11-24,676.7890014648438
2015-11-26,681.7793579101562
2015-11-27,681.7304077148438
2015-11-30,674.9786987304688
2015-12-01,659.371337890625
2015-12-02,643.4215698242188
2015-12-03,652.6686401367188
2015-12-04,647.4824829101562
2015-12-07,666.9548950195312
2015-12-08,648.852294921875
2015-12-09,640.8285522460938
2015-12-10,645.1339721679688
2015-12-11,635.789306640625
2015-12-14,638.529052734375
2015-12-15,647.6781005859375
2015-12-16,645.9658203125
2015-12-17,642.9324340820312
2015-12-18,635.4957885742188
2015-12-21,641.3667602539062
