Date,PPG
2015-08-03,90.54138946533203
2015-08-04,89.4250259399414
2015-08-05,89.46699523925781
2015-08-06,88.60796356201172
2015-08-07,87.52152252197266
2015-08-10,89.78704071044922
2015-08-11,87.93419647216797
2015-08-12,87.61414337158203
2015-08-13,87.18463134765625
2015-08-14,88.17842102050781
2015-08-17,87.807861328125
2015-08-18,88.06893920898438
2015-08-19,86.32559204101562
2015-08-20,84.11060333251953
2015-08-21,81.87032318115234
2015-08-24,77.7014389038086
2015-08-25,76.68236541748047
2015-08-26,78.40888977050781
2015-08-27,80.1690902709961
2015-08-28,80.94393920898438
2015-08-31,80.25332641601562
2015-09-01,76.9350357055664
2015-09-02,78.77105712890625
2015-09-03,79.15003204345703
2015-09-04,78.58573913574219
2015-09-08,81.18817901611328
2015-09-09,80.93549346923828
2015-09-10,81.39030456542969
2015-09-11,81.45767974853516
2015-09-14,79.3016357421875
2015-09-15,79.40269470214844
2015-09-16,80.06805419921875
2015-09-17,79.55429077148438
2015-09-18,78.4847183227539
2015-09-21,78.70365905761719
2015-09-22,77.16246032714844
2015-09-23,75.74755859375
2015-09-24,74.20633697509766
2015-09-25,74.40003967285156
2015-09-28,71.17439270019531
2015-09-29,72.38716888427734
2015-09-30,73.85258483886719
2015-10-01,75.90755462646484
2015-10-02,78.03833770751953
2015-10-05,79.66376495361328
2015-10-06,78.66154479980469
2015-10-07,79.42797088623047
2015-10-08,80.65756225585938
2015-10-09,80.82601928710938
2015-10-12,81.97981262207031
2015-10-13,81.84507751464844
2015-10-14,81.96298217773438
2015-10-15,83.59683990478516
2015-10-16,84.84330749511719
2015-10-19,85.21388244628906
2015-10-20,85.38233184814453
2015-10-21,84.75908660888672
2015-10-22,87.26885986328125
2015-10-23,87.58045959472656
2015-10-26,87.52992248535156
2015-10-27,86.687744140625
2015-10-28,87.86682891845703
2015-10-29,87.82471466064453
2015-10-30,87.807861328125
2015-11-02,87.58889770507812
2015-11-03,87.7489242553711
2015-11-04,87.4709701538086
2015-11-05,86.92354583740234
2015-11-06,87.05033111572266
2015-11-09,85.97698211669922
2015-11-10,85.46144104003906
2015-11-11,85.87557983398438
2015-11-12,83.84721374511719
2015-11-13,85.21634674072266
2015-11-16,86.16291809082031
2015-11-17,85.9601058959961
2015-11-18,88.08987426757812
