Date,HITES.SN
2015-08-24,141.74185180664062
2015-08-25,147.647705078125
2015-08-26,147.647705078125
2015-08-27,159.84469604492188
2015-08-28,165.474609375
2015-08-31,165.23707580566406
2015-09-01,160.4866485595703
2015-09-02,159.97308349609375
2015-09-03,154.06719970703125
2015-09-04,154.06719970703125
2015-09-07,161.090087890625
2015-09-08,157.2769012451172
2015-09-09,157.27052307128906
2015-09-10,157.21273803710938
2015-09-11,157.21273803710938
2015-09-14,148.28965759277344
2015-09-15,155.35107421875
2015-09-16,155.35107421875
2015-09-17,155.35107421875
2015-09-21,154.06719970703125
2015-09-22,150.85743713378906
2015-09-23,154.0030059814453
2015-09-24,150.85743713378906
2015-09-25,151.7735595703125
2015-09-28,151.7735595703125
2015-09-29,150.79226684570312
2015-09-30,158.1781463623047
2015-10-01,150.4651641845703
2015-10-02,151.7735595703125
2015-10-05,152.42774963378906
2015-10-06,152.42774963378906
2015-10-07,152.41468811035156
2015-10-08,152.41468811035156
2015-10-09,156.9417266845703
2015-10-13,156.90248107910156
2015-10-14,157.00059509277344
2015-10-15,157.00059509277344
2015-10-16,157.00059509277344
2015-10-19,155.69873046875
2015-10-20,155.69873046875
2015-10-21,155.69873046875
2015-10-22,155.69873046875
2015-10-23,155.69873046875
2015-10-26,156.35292053222656
2015-10-27,156.35292053222656
2015-10-28,156.35292053222656
2015-10-29,151.7735595703125
2015-10-30,149.8109588623047
2015-11-02,147.2203826904297
2015-11-03,151.7735595703125
2015-11-04,151.7801055908203
2015-11-05,151.76699829101562
2015-11-06,151.76699829101562
2015-11-09,151.76699829101562
2015-11-10,151.76699829101562
2015-11-11,151.76699829101562
2015-11-12,151.76699829101562
2015-11-13,151.76699829101562
2015-11-16,147.19419860839844
2015-11-17,147.19419860839844
2015-11-18,157.8445281982422
2015-11-19,162.82948303222656
2015-11-20,156.35292053222656
2015-11-23,155.04452514648438
2015-11-24,157.00714111328125
2015-11-25,157.00714111328125
2015-11-26,157.00714111328125
2015-11-27,157.00714111328125
2015-11-30,157.00714111328125
2015-12-01,157.00714111328125
2015-12-02,157.00714111328125
2015-12-03,157.00714111328125
2015-12-04,157.00714111328125
2015-12-07,155.04452514648438
2015-12-09,155.0380096435547
2015-12-10,155.0380096435547
2015-12-11,155.0380096435547
2015-12-14,155.0380096435547
2015-12-15,153.73614501953125
2015-12-16,153.73614501953125
2015-12-17,153.0819549560547
2015-12-18,150.4651641845703
2015-12-21,154.15484619140625
2015-12-22,158.31552124023438
2015-12-23,158.25009155273438
2015-12-24,158.25009155273438
2015-12-28,157.66134643554688
2015-12-29,160.96502685546875
2015-12-30,166.16587829589844
2015-12-31,166.16587829589844
2016-01-04,162.80331420898438
2016-01-05,162.80331420898438
2016-01-06,162.80331420898438
2016-01-07,162.80331420898438
2016-01-08,159.62391662597656
2016-01-11,159.62391662597656
2016-01-12,153.73614501953125
2016-01-13,149.52967834472656
2016-01-14,147.84837341308594
2016-01-15,145.88580322265625
2016-01-18,141.89515686035156
2016-01-19,140.71763610839844
2016-01-20,138.66348266601562
2016-01-21,140.0634765625
2016-01-22,140.78306579589844
2016-01-25,140.9138641357422
2016-01-26,142.6148223876953
2016-01-27,142.6148223876953
2016-01-28,146.80166625976562
2016-01-29,146.80166625976562
2016-02-01,146.80166625976562
2016-02-02,146.80166625976562
2016-02-03,141.96060180664062
2016-02-04,141.96060180664062
2016-02-05,141.96060180664062
2016-02-08,141.30641174316406
2016-02-09,140.6522216796875
2016-02-10,139.998046875
