Date,FALABELLA.SN
2015-08-24,3652.737548828125
2015-08-25,3663.765869140625
2015-08-26,3639.930419921875
2015-08-27,3759.73095703125
2015-08-28,3739.9873046875
2015-08-31,3804.11181640625
2015-09-01,3769.426025390625
2015-09-02,3830.4384765625
2015-09-03,3908.88232421875
2015-09-04,3777.60791015625
2015-09-07,3775.56298828125
2015-09-08,3786.6796875
2015-09-09,3762.04345703125
2015-09-10,3813.18408203125
2015-09-11,3760.086669921875
2015-09-14,3814.429443359375
2015-09-15,3831.505859375
2015-09-16,3827.324951171875
2015-09-17,3799.04248046875
2015-09-21,3890.38330078125
2015-09-22,3853.117431640625
2015-09-23,3844.312744140625
2015-09-24,3776.541259765625
2015-09-25,3769.0703125
2015-09-28,3730.20361328125
2015-09-29,3763.02197265625
2015-09-30,3835.951904296875
2015-10-01,3850.449462890625
2015-10-02,3842.178466796875
2015-10-05,3904.080322265625
2015-10-06,3954.153564453125
2015-10-07,3993.820068359375
2015-10-08,3984.5703125
2015-10-09,3996.1328125
2015-10-13,4006.626220703125
2015-10-14,3993.820068359375
2015-10-15,4069.240478515625
2015-10-16,4025.679931640625
2015-10-19,4028.2734375
2015-10-20,4050.278564453125
2015-10-21,4141.69384765625
2015-10-22,4245.2734375
2015-10-23,4286.15087890625
2015-10-26,4284.98876953125
2015-10-27,4249.56591796875
2015-10-28,4228.72509765625
2015-10-29,4136.5048828125
2015-10-30,4147.41796875
2015-11-02,4182.75
2015-11-03,4200.19140625
2015-11-04,4204.4853515625
2015-11-05,4204.5751953125
2015-11-06,4188.384765625
2015-11-09,4154.57470703125
2015-11-10,4157.2568359375
2015-11-11,4202.7861328125
2015-11-12,4142.14013671875
2015-11-13,4117.9892578125
2015-11-16,4066.8251953125
2015-11-17,4002.87060546875
2015-11-18,4018.5234375
2015-11-19,3997.771728515625
2015-11-20,4006.895751953125
2015-11-23,4035.96533203125
2015-11-24,4050.366943359375
2015-11-25,3946.249267578125
2015-11-26,3967.180419921875
2015-11-27,3944.460693359375
2015-11-30,3834.171630859375
2015-12-01,3768.60693359375
2015-12-02,3781.130126953125
2015-12-03,3880.148193359375
2015-12-04,3878.5380859375
2015-12-07,3845.5322265625
2015-12-09,3821.1123046875
2015-12-10,3866.283203125
2015-12-11,3870.577392578125
2015-12-14,3904.83642578125
2015-12-15,3970.042236328125
2015-12-16,4014.587646484375
2015-12-17,4033.373046875
2015-12-18,3992.852783203125
2015-12-21,3984.53271484375
2015-12-22,3985.9638671875
2015-12-23,4025.321533203125
2015-12-24,4047.504150390625
2015-12-28,4008.327392578125
2015-12-29,4033.373046875
2015-12-30,4039.454345703125
2015-12-31,4039.454345703125
2016-01-04,4001.617919921875
2016-01-05,4024.874755859375
2016-01-06,4014.3193359375
2016-01-07,3971.831787109375
2016-01-08,4000.2763671875
2016-01-11,3976.39404296875
2016-01-12,4011.546142578125
2016-01-13,3999.2919921875
2016-01-14,4056.986328125
2016-01-15,4020.044189453125
2016-01-18,4029.078369140625
2016-01-19,4057.343017578125
2016-01-20,4006.716796875
2016-01-21,4005.55322265625
2016-01-22,4087.576904296875
2016-01-25,4086.2353515625
2016-01-26,4039.544189453125
2016-01-27,4008.1474609375
2016-01-28,4068.613525390625
2016-01-29,4203.23291015625
2016-02-01,4219.4228515625
2016-02-02,4098.75732421875
2016-02-03,4028.542724609375
2016-02-04,4131.1376953125
2016-02-05,4084.445556640625
2016-02-08,4068.970947265625
2016-02-09,4069.866943359375
2016-02-10,4054.212890625
2016-02-11,4097.9541015625
2016-02-12,4069.95654296875
2016-02-15,4051.708740234375
