Date,PM
2015-08-03,51.808319091796875
2015-08-04,51.911136627197266
2015-08-05,51.947410583496094
2015-08-06,51.86880111694336
2015-08-07,51.46357345581055
2015-08-10,51.93531799316406
2015-08-11,51.69340133666992
2015-08-12,51.79621124267578
2015-08-13,51.2035026550293
2015-08-14,50.961570739746094
2015-08-17,50.985755920410156
2015-08-18,50.81642532348633
2015-08-19,50.64706039428711
2015-08-20,50.24789810180664
2015-08-21,48.9777946472168
2015-08-24,47.38108825683594
2015-08-25,46.806495666503906
2015-08-26,48.23387145996094
2015-08-27,48.85682678222656
2015-08-28,48.59675979614258
2015-08-31,48.26411056518555
2015-09-01,47.04237365722656
2015-09-02,47.59879684448242
2015-09-03,48.05242156982422
2015-09-04,46.74602127075195
2015-09-08,48.23991775512695
2015-09-09,47.338741302490234
2015-09-10,47.701629638671875
2015-09-11,48.064510345458984
2015-09-14,47.991947174072266
2015-09-15,48.87495803833008
2015-09-16,49.655189514160156
2015-09-17,49.64308166503906
2015-09-18,49.12294006347656
2015-09-21,49.667266845703125
2015-09-22,48.85078048706055
2015-09-23,48.645137786865234
2015-09-24,48.6330451965332
2015-09-25,48.74795913696289
2015-09-28,48.3375358581543
2015-09-29,48.172157287597656
2015-09-30,48.594825744628906
2015-10-01,48.67444610595703
2015-10-02,48.974609375
2015-10-05,50.052734375
2015-10-06,49.91795349121094
2015-10-07,50.64076232910156
2015-10-08,51.54737854003906
2015-10-09,51.498374938964844
2015-10-12,51.85978698730469
2015-10-13,51.70664978027344
2015-10-14,51.7495231628418
2015-10-15,52.7235107421875
2015-10-16,53.770999908447266
2015-10-19,54.16301727294922
2015-10-20,54.34680938720703
2015-10-21,54.506080627441406
2015-10-22,54.85523223876953
2015-10-23,54.904232025146484
2015-10-26,54.94712448120117
2015-10-27,54.408050537109375
2015-10-28,54.763362884521484
2015-10-29,54.6776008605957
2015-10-30,54.15079879760742
2015-11-02,54.40195083618164
2015-11-03,54.114036560058594
2015-11-04,53.94863510131836
2015-11-05,54.0037727355957
2015-11-06,52.90727233886719
2015-11-09,52.22119903564453
2015-11-10,52.04356002807617
2015-11-11,52.09868621826172
2015-11-12,51.46775817871094
2015-11-13,51.08796310424805
2015-11-16,51.669891357421875
2015-11-17,51.35747146606445
2015-11-18,52.33146286010742
2015-11-19,52.83376693725586
2015-11-20,52.674522399902344
2015-11-23,53.04205322265625
2015-11-24,53.231937408447266
2015-11-25,53.397315979003906
2015-11-27,53.55046844482422
2015-11-30,53.532100677490234
2015-12-01,53.770999908447266
2015-12-02,53.476951599121094
2015-12-03,53.5014762878418
2015-12-04,54.94712448120117
2015-12-07,54.389678955078125
2015-12-08,54.37742233276367
2015-12-09,53.91801452636719
2015-12-10,53.740360260009766
2015-12-11,52.87666320800781
2015-12-14,53.39119338989258
2015-12-15,53.807735443115234
2015-12-16,55.222774505615234
2015-12-17,54.56732940673828
