Date,PATANJALI.NS
2015-08-21,3366.79052734375
2015-08-24,3092.749755859375
2015-08-25,3019.345703125
2015-08-26,3073.175048828125
2015-08-27,3180.83447265625
2015-08-28,3171.046875
2015-08-31,3303.173828125
2015-09-01,3195.514892578125
2015-09-02,3200.408447265625
2015-09-03,3288.493408203125
2015-09-04,3175.9404296875
2015-09-07,3146.578857421875
2015-09-08,3082.96240234375
2015-09-09,3229.77001953125
2015-09-10,3087.85595703125
2015-09-11,3156.3662109375
2015-09-14,3122.111083984375
2015-09-15,3396.152587890625
2015-09-16,3367.637939453125
2015-09-18,3397.1357421875
2015-09-21,3343.056640625
2015-09-22,3195.56884765625
2015-09-23,3166.0712890625
2015-09-24,3141.489990234375
2015-09-28,3092.327392578125
2015-09-29,3102.15966796875
2015-09-30,3126.7412109375
2015-10-01,3087.4111328125
2015-10-05,3126.7412109375
2015-10-06,3136.573486328125
2015-10-07,3333.22412109375
2015-10-08,3274.22900390625
2015-10-09,3249.6474609375
2015-10-12,3185.736328125
2015-10-13,3190.65234375
2015-10-14,3190.65234375
2015-10-15,3175.90380859375
2015-10-16,3161.155029296875
2015-10-19,3220.150146484375
2015-10-20,3205.4013671875
2015-10-21,3205.4013671875
2015-10-23,3180.820068359375
2015-10-26,3136.573486328125
2015-10-27,3126.7412109375
2015-10-28,3067.74609375
2015-10-29,3038.24853515625
2015-10-30,3116.90869140625
2015-11-02,3077.578369140625
2015-11-03,3170.9873046875
2015-11-04,3067.74609375
2015-11-05,3092.327392578125
2015-11-06,3018.583251953125
2015-11-09,3003.83447265625
2015-11-10,2974.337158203125
2015-11-13,2959.58837890625
2015-11-16,2959.58837890625
2015-11-17,2959.58837890625
2015-11-18,2939.923583984375
2015-11-19,2935.007080078125
2015-11-20,2944.83935546875
2015-11-23,3013.6669921875
2015-11-24,3077.578369140625
2015-11-26,2989.0859375
2015-11-27,2949.755859375
2015-11-30,2930.0908203125
2015-12-01,2969.4208984375
2015-12-02,2969.4208984375
2015-12-03,3028.416015625
2015-12-04,2939.923583984375
2015-12-07,2935.007080078125
2015-12-08,2895.677001953125
2015-12-09,2841.598388671875
2015-12-10,2797.351806640625
2015-12-11,2767.854248046875
2015-12-14,2738.356689453125
2015-12-15,2738.356689453125
2015-12-16,2743.27294921875
2015-12-17,2753.10546875
2015-12-18,2743.27294921875
2015-12-21,2743.27294921875
2015-12-22,2733.440185546875
2015-12-23,2748.189453125
2015-12-24,2748.189453125
2015-12-28,2954.672119140625
2015-12-29,2935.007080078125
2015-12-30,2890.760498046875
2015-12-31,2890.760498046875
2016-01-01,2949.755859375
2016-01-04,2944.83935546875
2016-01-05,2998.91845703125
2016-01-06,3116.90869140625
2016-01-07,2935.007080078125
2016-01-08,2944.83935546875
2016-01-11,2925.17431640625
2016-01-12,2900.59326171875
2016-01-13,2772.770263671875
2016-01-14,2718.691650390625
2016-01-15,2644.947509765625
2016-01-18,2541.7060546875
2016-01-19,2581.036376953125
2016-01-20,2354.888427734375
2016-01-21,2413.883544921875
2016-01-22,2354.888427734375
2016-01-25,2354.888427734375
2016-01-27,2354.888427734375
2016-01-28,2359.8046875
2016-01-29,2359.8046875
2016-02-01,2364.720947265625
2016-02-02,2330.306884765625
2016-02-03,2236.898193359375
2016-02-04,2281.14453125
2016-02-05,2408.96728515625
2016-02-08,2359.8046875
2016-02-09,2369.636962890625
2016-02-10,2345.05615234375
2016-02-11,2163.154296875
2016-02-12,2256.563232421875
2016-02-15,2359.8046875
2016-02-16,2202.484375
2016-02-17,2325.39111328125
2016-02-18,2354.888427734375
2016-02-19,2359.8046875
2016-02-22,2354.888427734375
2016-02-23,2349.97216796875
2016-02-24,2349.97216796875
2016-02-25,2369.636962890625
2016-02-26,2359.8046875
2016-02-29,2340.1396484375
2016-03-01,2443.380859375
2016-03-02,2438.465087890625
2016-03-03,2443.380859375
2016-03-04,2448.29736328125
2016-03-08,2561.371337890625
2016-03-09,2674.445068359375
2016-03-10,2708.859130859375
2016-03-11,2772.770263671875
2016-03-14,2743.27294921875
2016-03-15,2733.440185546875
2016-03-16,2758.021484375
2016-03-17,2802.267822265625
2016-03-18,2807.184326171875
2016-03-21,2935.007080078125
2016-03-22,2969.4208984375
2016-03-23,3170.9873046875
2016-03-28,3136.573486328125
2016-03-29,2949.755859375
2016-03-30,3161.155029296875
2016-03-31,3229.982421875
2016-04-01,3185.736328125
2016-04-04,3077.578369140625
2016-04-05,2939.923583984375
2016-04-06,3023.499755859375
2016-04-07,2949.755859375
2016-04-08,2979.25341796875
2016-04-11,2939.923583984375
2016-04-12,2910.42578125
2016-04-13,2930.0908203125
2016-04-18,2925.17431640625
2016-04-20,2861.26318359375
2016-04-21,2876.011962890625
2016-04-22,2998.91845703125
2016-04-25,2915.342041015625
2016-04-26,2866.179443359375
2016-04-27,2954.672119140625
2016-04-28,2812.1005859375
2016-04-29,2807.184326171875
2016-05-02,2664.61279296875
2016-05-03,2585.952392578125
2016-05-04,2443.380859375
2016-05-05,2359.8046875
2016-05-06,2354.888427734375
2016-05-09,2354.888427734375
2016-05-10,2256.563232421875
2016-05-11,2349.97216796875
2016-05-12,2345.05615234375
2016-05-13,2300.8095703125
2016-05-16,2286.060791015625
2016-05-17,2286.060791015625
2016-05-18,2286.060791015625
2016-05-19,2266.39599609375
2016-05-20,2207.400634765625
2016-05-23,2153.32177734375
2016-05-24,2172.98681640625
2016-05-25,2227.065673828125
2016-05-26,2290.97705078125
2016-05-27,2182.8193359375
2016-05-30,2163.154296875
2016-05-31,2168.07080078125
2016-06-01,2118.90771484375
2016-06-02,2163.154296875
2016-06-03,2084.493896484375
2016-06-06,2069.745361328125
2016-06-07,2040.2479248046875
2016-06-08,1986.1690673828125
2016-06-09,2000.917724609375
2016-06-10,2010.7501220703125
2016-06-13,2020.5828857421875
2016-06-14,2054.99658203125
2016-06-15,2109.075439453125
2016-06-16,2084.493896484375
2016-06-17,2084.493896484375
2016-06-20,2168.07080078125
2016-06-21,2148.405517578125
2016-06-22,2118.90771484375
2016-06-23,2143.4892578125
2016-06-24,2040.2479248046875
2016-06-27,2059.91259765625
2016-06-28,2113.99169921875
2016-06-29,2256.563232421875
2016-06-30,2212.31689453125
2016-07-01,2187.735595703125
2016-07-04,2177.903076171875
2016-07-05,2197.56787109375
2016-07-07,2241.814208984375
2016-07-08,2192.652099609375
2016-07-11,2295.893310546875
2016-07-12,2261.4794921875
2016-07-13,2276.22802734375
2016-07-14,2295.893310546875
2016-07-15,2251.646728515625
2016-07-18,2222.149658203125
2016-07-19,2182.8193359375
2016-07-20,2207.400634765625
2016-07-21,2177.903076171875
2016-07-22,2256.563232421875
2016-07-25,2389.30224609375
2016-07-26,2364.720947265625
2016-07-27,2374.55322265625
2016-07-28,2320.474609375
2016-07-29,2315.558349609375
2016-08-01,2335.223388671875
2016-08-02,2241.814208984375
2016-08-03,2256.563232421875
2016-08-04,2246.730712890625
2016-08-05,2320.474609375
2016-08-08,2340.1396484375
2016-08-09,2340.1396484375
2016-08-10,2281.14453125
2016-08-11,2281.14453125
2016-08-12,2261.4794921875
2016-08-16,2187.735595703125
