Date,KER.PA
2015-08-24,107.9410629272461
2015-08-25,113.10749816894531
2015-08-26,111.63135528564453
2015-08-27,115.24784851074219
2015-08-28,115.1740493774414
2015-08-31,112.73845672607422
2015-09-01,106.4649429321289
2015-09-02,109.19576263427734
2015-09-03,111.44683837890625
2015-09-04,104.58290100097656
2015-09-07,105.09953308105469
2015-09-08,107.3506088256836
2015-09-09,109.0850601196289
2015-09-10,106.1328125
2015-09-11,105.2471694946289
2015-09-14,104.98880767822266
2015-09-15,105.9852294921875
2015-09-16,111.92657470703125
2015-09-17,114.39909362792969
2015-09-18,112.51702880859375
2015-09-21,112.99678039550781
2015-09-22,108.19940185546875
2015-09-23,107.6827621459961
2015-09-24,102.62706756591797
2015-09-25,108.97435760498047
2015-09-28,103.10680389404297
2015-09-29,103.51271057128906
2015-09-30,107.75655364990234
2015-10-01,105.09953308105469
2015-10-02,106.79708862304688
2015-10-05,112.33253479003906
2015-10-06,113.6241226196289
2015-10-07,115.98588562011719
2015-10-08,117.53580474853516
2015-10-09,119.71312713623047
2015-10-12,120.15596008300781
2015-10-13,116.50255584716797
2015-10-14,114.98954772949219
2015-10-15,113.8824234008789
2015-10-16,110.70879364013672
2015-10-19,111.3361587524414
2015-10-20,110.70879364013672
2015-10-21,111.85277557373047
2015-10-22,115.28474426269531
2015-10-23,127.49962615966797
2015-10-26,125.469970703125
2015-10-27,124.39976501464844
2015-10-28,123.84623718261719
2015-10-29,124.17835998535156
2015-10-30,124.39976501464844
2015-11-02,123.32962799072266
2015-11-03,122.37012481689453
2015-11-04,124.06763458251953
2015-11-05,127.05677795410156
2015-11-06,126.83536529541016
2015-11-09,124.87953186035156
2015-11-10,126.17112731933594
2015-11-11,128.0162353515625
2015-11-12,125.13784790039062
2015-11-13,122.00106048583984
2015-11-16,121.15231323242188
2015-11-17,123.4034194946289
2015-11-18,123.80934143066406
2015-11-19,123.21888732910156
2015-11-20,123.5510025024414
2015-11-23,122.48082733154297
2015-11-24,118.79055786132812
2015-11-25,120.0821304321289
2015-11-26,121.29995727539062
2015-11-27,119.4548110961914
2015-11-30,120.70948791503906
2015-12-01,119.67619323730469
2015-12-02,118.56909942626953
2015-12-03,118.27388763427734
2015-12-04,118.45840454101562
2015-12-07,118.53218841552734
2015-12-08,117.12989807128906
2015-12-09,116.4287338256836
2015-12-10,116.50255584716797
2015-12-11,114.73118591308594
2015-12-14,113.10749816894531
2015-12-15,115.13712310791016
2015-12-16,114.98954772949219
2015-12-17,116.87154388427734
2015-12-18,115.13712310791016
2015-12-21,114.43596649169922
2015-12-22,116.09661865234375
2015-12-23,118.79055786132812
2015-12-24,118.7166976928711
2015-12-28,116.61326599121094
2015-12-29,118.86433410644531
2015-12-30,118.42151641845703
2016-01-04,112.03728485107422
2016-01-05,111.37306213378906
2016-01-06,110.89331817626953
2016-01-07,106.98160552978516
2016-01-08,105.50547790527344
2016-01-11,105.06266784667969
2016-01-12,106.87088775634766
2016-01-13,105.87450408935547
2016-01-14,104.43529510498047
2016-01-15,104.17695617675781
2016-01-18,105.13644409179688
2016-01-19,111.07781982421875
2016-01-20,107.75655364990234
2016-01-21,109.70732116699219
2016-01-22,114.33441925048828
2016-01-25,113.1030044555664
2016-01-26,114.11053466796875
2016-01-27,114.8568115234375
2016-01-28,112.9537582397461
2016-01-29,115.71509552001953
2016-02-01,117.133056640625
2016-02-02,114.33441925048828
2016-02-03,114.18517303466797
2016-02-04,113.81201934814453
2016-02-05,115.60313415527344
2016-02-08,112.84178924560547
2016-02-09,110.9760513305664
2016-02-10,111.7969741821289
2016-02-11,107.20716857910156
2016-02-12,108.73712158203125
