Date,CB
2015-08-03,91.7083740234375
2015-08-04,91.40193939208984
2015-08-05,92.03134155273438
2015-08-06,91.21149444580078
2015-08-07,90.97962951660156
2015-08-10,91.1866455078125
2015-08-11,91.07898712158203
2015-08-12,90.37506866455078
2015-08-13,90.25084686279297
2015-08-14,90.82225036621094
2015-08-17,91.08729553222656
2015-08-18,91.49305725097656
2015-08-19,90.87195587158203
2015-08-20,89.02519989013672
2015-08-21,87.0128173828125
2015-08-24,83.90728759765625
2015-08-25,82.58223724365234
2015-08-26,84.34618377685547
2015-08-27,85.82856750488281
2015-08-28,85.05839538574219
2015-08-31,84.60291290283203
2015-09-01,82.58223724365234
2015-09-02,83.33586120605469
2015-09-03,84.19710540771484
2015-09-04,82.94664001464844
2015-09-08,84.4455795288086
2015-09-09,83.41870880126953
2015-09-10,83.42695617675781
2015-09-11,83.52632141113281
2015-09-14,82.988037109375
2015-09-15,83.89070892333984
2015-09-16,84.31307220458984
2015-09-17,84.09777069091797
2015-09-18,82.74787139892578
2015-09-21,84.20540618896484
2015-09-22,83.625732421875
2015-09-23,83.92385864257812
2015-09-24,84.09777069091797
2015-09-25,85.6463851928711
2015-09-28,84.10432434082031
2015-09-29,84.6794662475586
2015-09-30,86.18817901611328
2015-10-01,85.262939453125
2015-10-02,85.62137603759766
2015-10-05,86.96337127685547
2015-10-06,86.09649658203125
2015-10-07,87.50518035888672
2015-10-08,88.83883666992188
2015-10-09,88.74714660644531
2015-10-12,89.20559692382812
2015-10-13,88.73047637939453
2015-10-14,87.98028564453125
2015-10-15,89.64736938476562
2015-10-16,90.8143310546875
2015-10-19,91.28112030029297
2015-10-20,92.56477355957031
2015-10-21,94.67361450195312
2015-10-22,95.94896697998047
2015-10-23,95.71554565429688
2015-10-26,96.08231353759766
2015-10-27,95.50717163085938
2015-10-28,96.09896087646484
2015-10-29,96.09066009521484
2015-10-30,94.64029693603516
2015-11-02,95.08206939697266
2015-11-03,94.7236557006836
2015-11-04,94.15684509277344
2015-11-05,94.63195037841797
2015-11-06,94.2152099609375
2015-11-09,93.79005432128906
2015-11-10,94.64862823486328
2015-11-11,94.49861145019531
2015-11-12,92.88150787353516
2015-11-13,93.23161315917969
2015-11-16,94.82368469238281
2015-11-17,94.59029388427734
2015-11-18,96.14065551757812
2015-11-19,96.33240509033203
2015-11-20,97.09091186523438
2015-11-23,96.7241439819336
2015-11-24,96.32405090332031
2015-11-25,95.89895629882812
2015-11-27,95.9072494506836
2015-11-30,95.73223114013672
2015-12-01,96.7991714477539
2015-12-02,96.17400360107422
2015-12-03,94.8320083618164
2015-12-04,98.07447814941406
2015-12-07,97.63270568847656
2015-12-08,96.64911651611328
2015-12-09,95.76557159423828
2015-12-10,95.6322021484375
2015-12-11,94.2568588256836
2015-12-14,95.10707092285156
2015-12-15,96.52409362792969
2015-12-16,97.44098663330078
2015-12-17,96.3573989868164
2015-12-18,94.76535034179688
2015-12-21,96.05730438232422
2015-12-22,97.716064453125
2015-12-23,98.3412094116211
2015-12-24,98.51624298095703
2015-12-28,98.5746078491211
2015-12-29,100.15059661865234
2015-12-30,99.08598327636719
2015-12-31,97.95427703857422
2016-01-04,95.33879852294922
2016-01-05,96.30282592773438
2016-01-06,94.50888061523438
2016-01-07,93.5364761352539
2016-01-08,92.17845153808594
2016-01-11,92.45508575439453
2016-01-12,93.97239685058594
2016-01-13,92.26228332519531
2016-01-14,93.06704711914062
2016-01-15,93.06704711914062
2016-01-19,92.94129943847656
2016-01-20,92.79039764404297
2016-01-21,91.7341537475586
2016-01-22,92.24549865722656
2016-01-25,90.53538513183594
2016-01-26,91.0215835571289
2016-01-27,90.61922454833984
2016-01-28,91.80958557128906
2016-01-29,94.7855453491211
2016-02-01,94.9615707397461
2016-02-02,94.2825698852539
2016-02-03,94.5843505859375
2016-02-04,94.9112777709961
2016-02-05,94.09813690185547
2016-02-08,91.2814712524414
2016-02-09,92.69820404052734
2016-02-10,93.6286849975586
2016-02-11,92.91615295410156
2016-02-12,95.82501983642578
2016-02-16,96.96508026123047
2016-02-17,98.00459289550781
2016-02-18,97.54351043701172
2016-02-19,96.96508026123047
2016-02-22,98.15543365478516
2016-02-23,96.99024200439453
2016-02-24,97.39261627197266
2016-02-25,99.24523162841797
2016-02-26,98.5075454711914
2016-02-29,96.8477554321289
2016-03-01,98.67520141601562
2016-03-02,99.22010040283203
2016-03-03,98.78417205810547
2016-03-04,98.23091888427734
2016-03-07,98.3734130859375
2016-03-08,97.4764404296875
2016-03-09,98.73387145996094
2016-03-10,98.58297729492188
2016-03-11,100.55296325683594
2016-03-14,100.37692260742188
2016-03-15,100.17573547363281
2016-03-16,100.1338119506836
2016-03-17,101.4248046875
2016-03-18,102.66545867919922
2016-03-21,101.76010131835938
2016-03-22,100.69549560546875
2016-03-23,100.2428207397461
2016-03-24,100.2679672241211
2016-03-28,99.94103240966797
2016-03-29,100.67445373535156
2016-03-30,100.94422912597656
2016-03-31,100.44684600830078
2016-04-01,101.87997436523438
2016-04-04,101.66080474853516
2016-04-05,99.4352035522461
2016-04-06,100.4805679321289
2016-04-07,99.1654281616211
2016-04-08,100.16020965576172
2016-04-11,99.95789337158203
2016-04-12,100.68289184570312
2016-04-13,101.59337615966797
2016-04-14,101.45004272460938
2016-04-15,101.635498046875
2016-04-18,102.8663330078125
2016-04-19,102.8663330078125
2016-04-20,103.34684753417969
2016-04-21,99.53636169433594
2016-04-22,100.57330322265625
2016-04-25,100.36253356933594
2016-04-26,100.11804962158203
2016-04-27,99.8145751953125
