Date,HARG.BA
2015-08-24,5.1968584060668945
2015-08-25,5.468786716461182
2015-08-26,5.378144264221191
2015-08-27,5.438573360443115
2015-08-28,5.438573360443115
2015-08-31,5.438573360443115
2015-09-01,5.438573360443115
2015-09-02,5.408359050750732
2015-09-03,5.499001979827881
2015-09-04,5.529214859008789
2015-09-07,5.499001979827881
2015-09-08,5.499001979827881
2015-09-09,5.529214859008789
2015-09-10,5.529214859008789
2015-09-11,5.589644908905029
2015-09-14,5.589644908905029
2015-09-15,5.589644908905029
2015-09-16,5.589644908905029
2015-09-17,5.589644908905029
2015-09-18,5.559431076049805
2015-09-21,5.559431076049805
2015-09-22,5.559431076049805
2015-09-23,5.287501811981201
2015-09-24,5.045787334442139
2015-09-25,5.499001979827881
2015-09-28,5.499001979827881
2015-09-29,5.589644908905029
2015-09-30,5.438573360443115
2015-10-01,5.347929954528809
2015-10-02,5.740715980529785
2015-10-05,5.468786716461182
2015-10-06,5.650073051452637
2015-10-07,5.650073051452637
2015-10-08,5.499001979827881
2015-10-09,5.492959022521973
2015-10-13,5.559431076049805
2015-10-14,5.438573360443115
2015-10-15,5.438573360443115
2015-10-16,5.468786716461182
2015-10-19,5.499001979827881
2015-10-20,5.529214859008789
2015-10-21,5.499001979827881
2015-10-22,5.529214859008789
2015-10-23,5.529214859008789
2015-10-26,6.0428595542907715
2015-10-27,5.801144599914551
2015-10-28,6.133501052856445
2015-10-29,6.0428595542907715
2015-10-30,6.103287696838379
2015-11-02,6.405430793762207
2015-11-03,6.6471452713012695
2015-11-04,6.465858459472656
2015-11-05,6.405430793762207
2015-11-09,6.798215866088867
2015-11-10,7.009716510772705
2015-11-11,7.1305742263793945
2015-11-12,7.734860420227051
2015-11-13,7.946359157562256
2015-11-16,8.490217208862305
2015-11-17,8.006789207458496
2015-11-18,7.855716705322266
2015-11-19,7.795289039611816
2015-11-20,8.278717041015625
2015-11-24,7.825501441955566
2015-11-25,7.432716369628906
2015-11-26,7.825501441955566
2015-11-27,7.825501441955566
2015-11-30,7.976574420928955
2015-12-01,7.916145324707031
2015-12-02,7.251430511474609
2015-12-03,7.795289039611816
