Date,LAVV3.SA
2020-09-03,5.853374481201172
2020-09-04,5.701425075531006
2020-09-08,5.463592052459717
2020-09-09,5.463592052459717
2020-09-10,5.417344570159912
2020-09-11,5.238968372344971
2020-09-14,5.364493370056152
2020-09-15,5.318248271942139
2020-09-16,5.417344570159912
2020-09-17,5.3446736335754395
2020-09-18,5.318248271942139
2020-09-21,5.285214900970459
2020-09-22,5.153084754943848
2020-09-23,5.113444805145264
2020-09-24,5.232362747192383
2020-09-25,5.219151020050049
2020-09-28,5.238968372344971
2020-09-29,4.981314659118652
2020-09-30,5.285214900970459
2020-10-01,5.35128116607666
2020-10-02,5.35128116607666
2020-10-05,5.245575904846191
2020-10-06,5.232362747192383
2020-10-07,4.9350690841674805
2020-10-08,5.245575904846191
2020-10-09,5.133265018463135
2020-10-13,5.186117172241211
2020-10-14,5.212543487548828
2020-10-15,5.153084754943848
2020-10-16,5.219151020050049
2020-10-19,4.915250301361084
2020-10-20,4.948282718658447
2020-10-21,4.882217884063721
2020-10-22,4.915250301361084
2020-10-23,4.862398147583008
2020-10-26,4.862398147583008
2020-10-27,4.941675662994385
2020-10-28,4.723660945892334
2020-10-29,4.756693363189697
2020-10-30,4.842577934265137
2020-11-03,4.631170272827148
2020-11-04,4.750087261199951
2020-11-05,5.040773868560791
2020-11-06,5.133265018463135
2020-11-09,5.053986549377441
2020-11-10,5.278608322143555
2020-11-11,5.186117172241211
2020-11-12,5.093625545501709
2020-11-13,5.120052337646484
2020-11-16,5.040773868560791
2020-11-17,5.047380447387695
2020-11-18,4.954890251159668
2020-11-19,4.954890251159668
2020-11-23,4.816152572631836
2020-11-24,4.82275915145874
2020-11-25,4.82275915145874
2020-11-26,4.763299465179443
2020-11-27,4.9350690841674805
2020-11-30,5.106839656829834
2020-12-01,5.219151020050049
2020-12-02,5.232362747192383
2020-12-03,5.265395164489746
2020-12-04,5.192723751068115
2020-12-07,5.35128116607666
2020-12-08,5.674998760223389
2020-12-09,5.873194694519043
2020-12-10,5.978899002075195
2020-12-11,6.077996730804443
2020-12-14,6.144062519073486
2020-12-15,6.1837005615234375
2020-12-16,6.144062519073486
2020-12-17,6.1044230461120605
2020-12-18,6.13745641708374
2020-12-21,6.1837005615234375
2020-12-22,6.077996730804443
2020-12-23,6.044963836669922
2020-12-28,6.077996730804443
2020-12-29,6.077996730804443
2020-12-30,6.071389675140381
2021-01-04,6.03835916519165
2021-01-05,5.939260482788086
2021-01-06,5.674998760223389
2021-01-07,5.628753662109375
2021-01-08,5.774096488952637
2021-01-11,5.549476146697998
2021-01-12,5.747673034667969
2021-01-13,5.866588592529297
2021-01-14,5.992112159729004
2021-01-15,5.787310600280762
2021-01-18,5.648573398590088
2021-01-19,5.602327823638916
2021-01-20,5.668392658233643
2021-01-21,5.509837627410889
2021-01-22,5.490018367767334
2021-01-26,5.37109899520874
2021-01-27,5.397525787353516
2021-01-28,5.4701972007751465
2021-01-29,5.45037841796875
2021-02-01,5.536263465881348
2021-02-02,5.622148036956787
2021-02-03,5.5692949295043945
2021-02-04,5.582508087158203
2021-02-05,5.490018367767334
2021-02-08,5.417344570159912
2021-02-09,5.476804733276367
2021-02-10,5.476804733276367
2021-02-11,5.417344570159912
2021-02-12,5.430558204650879
2021-02-17,5.2257561683654785
2021-02-18,5.093625545501709
2021-02-19,5.027560234069824
2021-02-22,4.882217884063721
2021-02-23,4.888824462890625
2021-02-24,4.769906520843506
2021-02-25,4.954890251159668
