Date,IDEA.NS
2015-08-21,90.9247817993164
2015-08-24,87.64552307128906
2015-08-25,90.03044128417969
2015-08-26,90.35836029052734
2015-08-27,90.5372314453125
2015-08-28,91.78931427001953
2015-08-31,92.9221420288086
2015-09-01,89.07646942138672
2015-09-02,92.11724090576172
2015-09-03,89.07646942138672
2015-09-04,88.8976058959961
2015-09-07,86.39344024658203
2015-09-08,86.9598617553711
2015-09-09,88.8976058959961
2015-09-10,88.77835845947266
2015-09-11,88.77835845947266
2015-09-14,87.8840103149414
2015-09-15,86.1251449584961
2015-09-16,87.16854095458984
2015-09-18,88.1563720703125
2015-09-21,87.3182144165039
2015-09-22,85.9711685180664
2015-09-23,84.8037338256836
2015-09-24,83.36688995361328
2015-09-28,85.49221801757812
2015-09-29,83.63629913330078
2015-09-30,89.50341033935547
2015-10-01,89.80274963378906
2015-10-05,92.0777587890625
2015-10-06,94.98137664794922
2015-10-07,95.19091796875
2015-10-08,93.93368530273438
2015-10-09,94.56229400634766
2015-10-12,94.50243377685547
2015-10-13,91.38926696777344
2015-10-14,90.31163787841797
2015-10-15,91.2396011352539
2015-10-16,90.04222869873047
2015-10-19,90.76065063476562
2015-10-20,90.730712890625
2015-10-21,90.94026184082031
2015-10-23,84.08531188964844
2015-10-26,84.74386596679688
2015-10-27,84.41458892822266
2015-10-28,84.71392822265625
2015-10-29,84.71392822265625
2015-10-30,83.81591033935547
2015-11-02,84.17511749267578
2015-11-03,83.3968276977539
2015-11-04,84.47445678710938
2015-11-05,83.27709197998047
2015-11-06,83.3968276977539
2015-11-09,80.67281341552734
2015-11-10,77.85899353027344
2015-11-13,77.85899353027344
2015-11-16,78.06852722167969
2015-11-17,78.3978042602539
2015-11-18,80.79254150390625
2015-11-19,79.86458587646484
2015-11-20,81.5109634399414
2015-11-23,83.3968276977539
2015-11-24,83.965576171875
2015-11-26,87.9168930053711
2015-11-27,86.21064758300781
2015-11-30,84.65406036376953
2015-12-01,85.01327514648438
2015-12-02,83.87577056884766
2015-12-03,83.93563842773438
2015-12-04,83.0376205444336
2015-12-07,82.10965728759766
2015-12-08,81.06195831298828
2015-12-09,80.10405731201172
2015-12-10,80.55307006835938
2015-12-11,78.90668487548828
2015-12-14,80.76261138916016
2015-12-15,78.96656036376953
2015-12-16,80.79254150390625
2015-12-17,80.0741195678711
2015-12-18,80.82247924804688
2015-12-21,82.73826599121094
2015-12-22,83.42676544189453
2015-12-23,83.63629913330078
2015-12-24,84.5343246459961
2015-12-28,83.6961669921875
2015-12-29,84.2050552368164
2015-12-30,84.44452667236328
2015-12-31,86.00110626220703
2016-01-01,85.73169708251953
