Date,COST.L
2015-08-24,350.3661193847656
2015-08-25,350.3661193847656
2015-08-26,350.13134765625
2015-08-27,355.2976989746094
2015-08-28,364.4559020996094
2015-09-01,363.9862976074219
2015-09-02,359.75933837890625
2015-09-03,368.682861328125
2015-09-04,367.27398681640625
2015-09-07,367.27398681640625
2015-09-08,371.0312194824219
2015-09-09,373.6143493652344
2015-09-10,366.8042907714844
2015-09-11,364.6907958984375
2015-09-14,351.54022216796875
2015-09-15,342.61676025390625
2015-09-16,344.7302551269531
2015-09-17,347.81854248046875
2015-09-18,347.81854248046875
2015-09-21,346.8791809082031
2015-09-22,345.9397277832031
2015-09-23,346.6443176269531
2015-09-24,343.5911865234375
2015-09-25,346.8791809082031
2015-09-28,342.88665771484375
2015-09-29,339.5986328125
2015-09-30,341.0078430175781
2015-10-01,339.83349609375
2015-10-02,344.530517578125
2015-10-05,352.5156555175781
2015-10-06,353.455078125
2015-10-07,351.3414001464844
2015-10-08,353.2201843261719
2015-10-09,356.7430114746094
2015-10-12,353.2201843261719
2015-10-13,359.5612487792969
2015-10-14,360.03094482421875
2015-10-15,361.90985107421875
2015-10-16,359.7960510253906
2015-10-19,358.85675048828125
2015-10-20,358.85675048828125
2015-10-21,356.0384521484375
2015-10-22,344.2957458496094
2015-10-23,348.0534362792969
2015-10-26,355.0990905761719
2015-10-27,356.0384521484375
2015-10-28,347.81854248046875
2015-10-29,352.28070068359375
2015-10-30,353.2201843261719
2015-11-02,349.46258544921875
2015-11-03,350.6368408203125
2015-11-04,347.3489074707031
2015-11-05,347.5836486816406
2015-11-06,345.7048645019531
2015-11-09,341.9472351074219
2015-11-10,343.1214904785156
2015-11-11,341.2426452636719
2015-11-12,342.88665771484375
2015-11-13,342.18206787109375
2015-11-16,341.9472351074219
2015-11-17,342.65179443359375
2015-11-18,342.88665771484375
2015-11-19,340.068359375
2015-11-20,337.9547119140625
2015-11-23,338.1895751953125
2015-11-24,337.2501220703125
2015-11-25,330.43939208984375
2015-11-26,337.48504638671875
2015-11-27,336.0758056640625
2015-11-30,335.37139892578125
2015-12-01,342.65179443359375
2015-12-02,347.3489074707031
2015-12-03,347.5836486816406
2015-12-04,356.9778137207031
2015-12-07,359.7960510253906
2015-12-08,361.2052001953125
2015-12-09,354.6293640136719
2015-12-10,351.1065673828125
2015-12-11,342.18206787109375
2015-12-14,347.5836486816406
2015-12-15,349.9322204589844
2015-12-16,353.9248046875
2015-12-17,353.455078125
2015-12-18,349.9322204589844
2015-12-21,347.114013671875
2015-12-22,352.0458984375
2015-12-23,353.9248046875
2015-12-24,347.5836486816406
2015-12-29,356.2733154296875
2015-12-30,349.9322204589844
2015-12-31,350.8717041015625
2016-01-04,347.3489074707031
2016-01-05,344.7654724121094
2016-01-06,353.9248046875
2016-01-07,351.3414001464844
2016-01-08,352.28070068359375
2016-01-11,359.5612487792969
2016-01-12,362.6143798828125
2016-01-13,361.44012451171875
2016-01-14,351.1065673828125
2016-01-15,334.43194580078125
2016-01-18,338.1895751953125
2016-01-19,339.36383056640625
2016-01-20,330.20452880859375
2016-01-21,329.9696960449219
2016-01-22,335.37139892578125
2016-01-25,340.3031921386719
2016-01-26,337.2501220703125
2016-01-27,332.3181457519531
2016-01-28,332.3181457519531
2016-01-29,330.6741943359375
2016-02-01,335.136474609375
2016-02-02,337.48504638671875
2016-02-03,340.3031921386719
2016-02-04,342.4169921875
2016-02-05,336.31072998046875
2016-02-08,313.7647705078125
2016-02-09,310.0070495605469
2016-02-10,312.5904235839844
2016-02-11,301.3174743652344
2016-02-12,306.71917724609375
2016-02-15,317.0527038574219
2016-02-16,318.9315185546875
2016-02-17,334.1970520019531
2016-02-18,328.0907897949219
2016-02-19,325.2725524902344
2016-02-22,324.3331298828125
2016-02-23,317.9920959472656
2016-02-24,318.4618225097656
2016-02-25,318.4618225097656
2016-02-26,318.9315185546875
2016-02-29,327.3863830566406
2016-03-01,336.31072998046875
2016-03-02,344.2957458496094
2016-03-03,335.84100341796875
2016-03-04,341.0078430175781
2016-03-07,333.96221923828125
2016-03-08,333.96221923828125
2016-03-09,331.14398193359375
2016-03-10,329.9696960449219
2016-03-11,332.5531005859375
2016-03-14,332.0833435058594
2016-03-15,330.6741943359375
2016-03-16,328.7954406738281
2016-03-17,329.73486328125
2016-03-18,342.65179443359375
2016-03-21,339.5986328125
2016-03-22,336.31072998046875
2016-03-23,336.31072998046875
2016-03-24,334.6667785644531
2016-03-29,333.02276611328125
2016-03-30,331.14398193359375
2016-03-31,333.96221923828125
2016-04-01,322.45440673828125
2016-04-04,326.4468994140625
2016-04-05,325.2725524902344
2016-04-06,324.0982666015625
2016-04-07,316.8178405761719
2016-04-08,316.58294677734375
2016-04-11,314.70416259765625
2016-04-12,309.3025817871094
2016-04-13,309.5373840332031
2016-04-14,308.9007568359375
2016-04-15,308.9007568359375
2016-04-18,304.43756103515625
2016-04-19,305.3772277832031
2016-04-20,305.61212158203125
2016-04-21,301.6187438964844
2016-04-22,296.6856384277344
2016-04-25,297.1554870605469
2016-04-26,295.9809265136719
2016-04-27,297.8602294921875
2016-04-28,297.6252746582031
2016-04-29,295.2763366699219
2016-05-03,299.26971435546875
2016-05-04,302.32342529296875
2016-05-05,306.31683349609375
2016-05-06,303.49798583984375
2016-05-09,306.31683349609375
2016-05-10,306.31683349609375
2016-05-11,307.49139404296875
2016-05-12,308.43096923828125
2016-05-13,308.196044921875
2016-05-16,311.4848327636719
2016-05-17,316.652587890625
2016-05-18,319.47161865234375
2016-05-19,321.8205261230469
