Date,RR.L
2015-08-24,246.7233428955078
2015-08-25,248.266357421875
2015-08-26,245.00875854492188
2015-08-27,250.49530029296875
2015-08-28,254.95314025878906
2015-09-01,249.29510498046875
2015-09-02,251.00970458984375
2015-09-03,252.72422790527344
2015-09-04,247.23765563964844
2015-09-07,246.55189514160156
2015-09-08,248.78079223632812
2015-09-09,250.6667938232422
2015-09-10,248.60931396484375
2015-09-11,247.23765563964844
2015-09-14,245.86599731445312
2015-09-15,247.92356872558594
2015-09-16,246.8946990966797
2015-09-17,243.63706970214844
2015-09-18,237.2932586669922
2015-09-21,238.83641052246094
2015-09-22,235.06436157226562
2015-09-23,233.00689697265625
2015-09-24,223.06259155273438
2015-09-25,227.52035522460938
2015-09-28,226.32025146484375
2015-09-29,223.2340087890625
2015-09-30,232.1496124267578
2015-10-01,235.4073028564453
2015-10-02,241.57962036132812
2015-10-05,249.8095245361328
2015-10-06,253.0671844482422
2015-10-07,251.69549560546875
2015-10-08,255.63894653320312
2015-10-09,259.06805419921875
2015-10-12,248.95228576660156
2015-10-13,243.8085479736328
2015-10-14,239.5221710205078
2015-10-15,239.00787353515625
2015-10-16,235.06436157226562
2015-10-19,229.57786560058594
2015-10-20,231.12094116210938
2015-10-21,233.69276428222656
2015-10-22,229.780517578125
2015-10-23,235.9538116455078
2015-10-26,234.2389678955078
2015-10-27,231.32386779785156
2015-10-28,230.9808807373047
2015-10-29,232.86721801757812
2015-10-30,235.78228759765625
2015-11-02,237.1541290283203
2015-11-03,238.35440063476562
2015-11-04,243.32733154296875
2015-11-05,240.06924438476562
2015-11-06,239.72625732421875
2015-11-09,239.5547637939453
2015-11-10,230.46649169921875
2015-11-11,228.7516632080078
2015-11-12,183.99591064453125
2015-11-13,176.10789489746094
2015-11-16,181.08082580566406
2015-11-17,190.340576171875
2015-11-18,186.22515869140625
2015-11-19,185.53915405273438
2015-11-20,189.3117218017578
2015-11-23,195.1420135498047
2015-11-24,201.65811157226562
2015-11-25,208.1742706298828
2015-11-26,206.2880401611328
2015-11-27,208.00289916992188
2015-11-30,208.00289916992188
2015-12-01,207.14540100097656
2015-12-02,206.11654663085938
2015-12-03,205.2591552734375
2015-12-04,203.8873291015625
2015-12-07,209.37461853027344
2015-12-08,202.3440399169922
2015-12-09,198.40005493164062
2015-12-10,194.4560546875
2015-12-11,189.3117218017578
2015-12-14,184.3389129638672
2015-12-15,185.1962890625
2015-12-16,194.28456115722656
2015-12-17,196.68527221679688
2015-12-18,197.71412658691406
2015-12-21,195.3134307861328
2015-12-22,193.94168090820312
2015-12-23,202.5155487060547
2015-12-24,204.05882263183594
2015-12-29,201.14373779296875
2015-12-30,198.7429962158203
2015-12-31,197.19976806640625
2016-01-04,192.05532836914062
2016-01-05,193.59869384765625
2016-01-06,192.05532836914062
2016-01-07,187.25401306152344
2016-01-08,191.8839569091797
2016-01-11,189.3117218017578
2016-01-12,190.68359375
2016-01-13,192.22683715820312
2016-01-14,190.85499572753906
2016-01-15,186.56802368164062
2016-01-18,184.6818084716797
2016-01-19,188.6258544921875
2016-01-20,182.10968017578125
2016-01-21,183.3099365234375
2016-01-22,186.22515869140625
2016-01-25,186.56802368164062
2016-01-26,186.3966522216797
2016-01-27,185.02479553222656
2016-01-28,186.05364990234375
2016-01-29,190.340576171875
2016-02-01,190.340576171875
2016-02-02,182.2810516357422
2016-02-03,175.93641662597656
2016-02-04,179.36599731445312
2016-02-05,181.42372131347656
2016-02-08,176.62237548828125
2016-02-09,175.76490783691406
2016-02-10,181.08082580566406
2016-02-11,181.76670837402344
2016-02-12,207.8313446044922
2016-02-15,210.91799926757812
2016-02-16,216.57676696777344
2016-02-17,232.52420043945312
2016-02-18,226.6939239501953
2016-02-19,220.17774963378906
2016-02-22,225.83657836914062
