Date,ALFA.ST
2015-08-24,114.3100814819336
2015-08-25,116.12451934814453
2015-08-26,114.47502136230469
2015-08-27,118.18638610839844
2015-08-28,118.51626586914062
2015-08-31,117.77400970458984
2015-09-01,117.27916717529297
2015-09-02,116.53689575195312
2015-09-03,118.18638610839844
2015-09-04,114.39253997802734
2015-09-07,115.71214294433594
2015-09-08,116.86678314208984
2015-09-09,118.68122863769531
2015-09-10,116.28946685791016
2015-09-11,116.45440673828125
2015-09-14,115.29975891113281
2015-09-15,114.9698486328125
2015-09-16,117.60903930664062
2015-09-17,114.55748748779297
2015-09-18,110.59869384765625
2015-09-21,111.176025390625
2015-09-22,108.20693969726562
2015-09-23,107.71208953857422
2015-09-24,104.6605224609375
2015-09-25,106.72238159179688
2015-09-28,106.80487060546875
2015-09-29,111.42345428466797
2015-09-30,112.90799713134766
2015-10-01,112.5781021118164
2015-10-02,113.23788452148438
2015-10-05,117.19669342041016
2015-10-06,117.60903930664062
2015-10-07,119.25857543945312
2015-10-08,119.83587646484375
2015-10-09,121.5678482055664
2015-10-12,120.24828338623047
2015-10-13,117.44410705566406
2015-10-14,116.45440673828125
2015-10-15,116.53689575195312
2015-10-16,114.14510345458984
2015-10-19,114.9698486328125
2015-10-20,115.13482666015625
2015-10-21,115.79461669921875
2015-10-22,118.1039047241211
2015-10-23,123.21734619140625
2015-10-26,122.80496978759766
2015-10-27,123.46476745605469
2015-10-28,123.21734619140625
2015-10-29,123.87714385986328
2015-10-30,123.95963287353516
2015-11-02,124.61943054199219
2015-11-03,127.42354583740234
2015-11-04,130.80503845214844
2015-11-05,129.7328643798828
2015-11-06,130.22772216796875
2015-11-09,128.33079528808594
2015-11-10,125.93899536132812
2015-11-11,128.24830627441406
2015-11-12,124.53695678710938
2015-11-13,124.37198638916016
2015-11-16,125.6091079711914
2015-11-17,128.4957275390625
2015-11-18,128.0833740234375
2015-11-19,127.75344848632812
2015-11-20,130.55758666992188
2015-11-23,130.14523315429688
2015-11-24,126.84623718261719
2015-11-25,130.47511291503906
2015-11-26,132.28956604003906
2015-11-27,131.7947235107422
2015-11-30,133.03187561035156
2015-12-01,130.3101806640625
2015-12-02,130.8874969482422
2015-12-03,128.24830627441406
2015-12-04,126.02149963378906
2015-12-07,127.42354583740234
2015-12-08,126.02149963378906
2015-12-09,126.84623718261719
2015-12-10,126.84623718261719
2015-12-11,124.53695678710938
2015-12-14,124.12455749511719
2015-12-15,125.11427307128906
2015-12-16,125.36170196533203
2015-12-17,127.09368133544922
2015-12-18,124.28950500488281
2015-12-21,123.21734619140625
2015-12-22,123.21734619140625
2015-12-23,127.8359375
2015-12-28,126.84623718261719
2015-12-29,128.00088500976562
2015-12-30,127.8359375
2016-01-04,122.39259338378906
2016-01-05,120.74310302734375
2016-01-07,117.03173065185547
2016-01-08,117.5265884399414
2016-01-11,117.36164855957031
2016-01-12,118.68122863769531
2016-01-13,120.9080581665039
2016-01-14,117.93894958496094
2016-01-15,113.81523132324219
2016-01-18,113.98017120361328
2016-01-19,115.29975891113281
2016-01-20,111.50592041015625
2016-01-21,113.89769744873047
2016-01-22,119.3410415649414
2016-01-25,117.11421203613281
2016-01-26,119.42349243164062
2016-01-27,120.5781478881836
2016-01-28,119.50596618652344
2016-01-29,121.2379379272461
2016-02-01,122.55756378173828
2016-02-02,108.86672973632812
2016-02-03,106.06259155273438
2016-02-04,109.3615951538086
2016-02-05,109.44405364990234
2016-02-08,105.73268127441406
2016-02-09,105.65022277832031
2016-02-10,107.71208953857422
2016-02-11,102.43368530273438
2016-02-12,110.10386657714844
2016-02-15,111.91828918457031
2016-02-16,109.44405364990234
2016-02-17,113.23788452148438
2016-02-18,110.6811752319336
2016-02-19,110.59869384765625
2016-02-22,113.65027618408203
2016-02-23,111.09354400634766
2016-02-24,107.54712677001953
2016-02-25,109.44405364990234
2016-02-26,110.26878356933594
2016-02-29,111.34097290039062
2016-03-01,111.58840942382812
2016-03-02,109.93891906738281
2016-03-03,111.176025390625
2016-03-04,113.23788452148438
2016-03-07,114.47502136230469
2016-03-08,113.15542602539062
2016-03-09,112.41313934326172
2016-03-10,109.85643768310547
2016-03-11,112.5781021118164
2016-03-14,113.32036590576172
2016-03-15,110.35128021240234
2016-03-16,110.35128021240234
2016-03-17,111.25849914550781
2016-03-18,111.83583068847656
2016-03-21,111.75334167480469
2016-03-22,111.83583068847656
2016-03-23,111.42345428466797
2016-03-24,109.27911376953125
2016-03-29,109.93891906738281
2016-03-30,112.90799713134766
2016-03-31,109.60899353027344
2016-04-01,107.05229187011719
2016-04-04,107.6296157836914
2016-04-05,104.41309356689453
2016-04-06,104.1656723022461
2016-04-07,102.3512191772461
2016-04-08,105.15535736083984
2016-04-11,105.8151626586914
2016-04-12,105.98011016845703
2016-04-13,107.87702941894531
2016-04-14,108.2894058227539
2016-04-15,107.87702941894531
2016-04-18,108.12447357177734
2016-04-19,112.4956283569336
2016-04-20,114.80491638183594
2016-04-21,112.90799713134766
2016-04-22,112.08323669433594
2016-04-25,109.11415100097656
2016-04-26,108.47505950927734
2016-04-27,107.6229476928711
2016-04-28,109.24197387695312
2016-04-29,107.87857818603516
2016-05-02,106.25955200195312
2016-05-03,104.6405258178711
2016-05-04,104.72572326660156
2016-05-06,105.32221984863281
2016-05-09,106.17433166503906
2016-05-10,106.94125366210938
2016-05-11,106.68561553955078
2016-05-12,105.66305541992188
2016-05-13,106.68561553955078
2016-05-16,107.28209686279297
2016-05-17,107.6229476928711
2016-05-18,107.7081527709961
2016-05-19,105.918701171875
