Date,SBIN.NS
2015-08-21,241.44325256347656
2015-08-24,221.49598693847656
2015-08-25,228.67156982421875
2015-08-26,221.76673889160156
2015-08-27,225.15145874023438
2015-08-28,224.7001495361328
2015-08-31,223.25604248046875
2015-09-01,215.8096466064453
2015-09-02,208.09251403808594
2015-09-03,209.62689208984375
2015-09-04,203.21849060058594
2015-09-07,199.56300354003906
2015-09-08,206.10679626464844
2015-09-09,209.0853271484375
2015-09-10,205.29444885253906
2015-09-11,207.68634033203125
2015-09-14,212.3346710205078
2015-09-15,210.2135772705078
2015-09-16,213.73370361328125
2015-09-18,218.4271697998047
2015-09-21,221.36056518554688
2015-09-22,214.77166748046875
2015-09-23,216.48658752441406
2015-09-24,215.7645263671875
2015-09-28,216.1255645751953
2015-09-29,218.33688354492188
2015-09-30,214.04959106445312
2015-10-01,212.24440002441406
2015-10-05,216.62197875976562
2015-10-06,216.7122344970703
2015-10-07,219.826171875
2015-10-08,219.60055541992188
2015-10-09,219.7359161376953
2015-10-12,220.72877502441406
2015-10-13,220.0518341064453
2015-10-14,220.45799255371094
2015-10-15,224.7001495361328
2015-10-16,231.78550720214844
2015-10-19,229.7095489501953
2015-10-20,230.0254669189453
2015-10-21,225.4673614501953
2015-10-23,228.71669006347656
2015-10-26,226.776123046875
2015-10-27,224.56480407714844
2015-10-28,218.47230529785156
2015-10-29,213.8690643310547
2015-10-30,213.95933532714844
2015-11-02,213.82394409179688
2015-11-03,212.96649169921875
2015-11-04,215.71937561035156
2015-11-05,211.11619567871094
2015-11-06,219.3297576904297
2015-11-09,222.12779235839844
2015-11-10,217.70509338378906
2015-11-13,216.84764099121094
2015-11-16,224.1134796142578
2015-11-17,223.70730590820312
2015-11-18,217.5245819091797
2015-11-19,220.14207458496094
2015-11-20,219.2846221923828
2015-11-23,219.05897521972656
2015-11-24,217.88560485839844
2015-11-26,218.8784637451172
2015-11-27,225.37710571289062
2015-11-30,224.4293975830078
2015-12-01,225.8284149169922
2015-12-02,220.77391052246094
2015-12-03,217.61483764648438
2015-12-04,217.61483764648438
2015-12-07,215.40347290039062
2015-12-08,212.96649169921875
2015-12-09,211.56744384765625
2015-12-10,209.35610961914062
2015-12-11,205.15907287597656
2015-12-14,203.9405517578125
2015-12-15,204.3467254638672
2015-12-16,205.15907287597656
2015-12-17,208.4084014892578
2015-12-18,204.43698120117188
2015-12-21,208.00222778320312
2015-12-22,206.10679626464844
2015-12-23,207.2801513671875
2015-12-24,206.06166076660156
2015-12-28,206.6031951904297
2015-12-29,205.9713897705078
2015-12-30,203.80517578125
2015-12-31,202.586669921875
2016-01-01,205.61036682128906
2016-01-04,199.20196533203125
2016-01-05,196.53932189941406
2016-01-06,195.72698974609375
2016-01-07,189.13807678222656
2016-01-08,188.5965118408203
2016-01-11,184.3994598388672
2016-01-12,179.9767608642578
2016-01-13,181.3306427001953
2016-01-14,176.9530792236328
2016-01-15,166.34764099121094
2016-01-18,163.36907958984375
2016-01-19,165.12913513183594
2016-01-20,156.73501586914062
2016-01-21,158.4950714111328
2016-01-22,166.618408203125
2016-01-25,165.12913513183594
2016-01-27,166.43789672851562
2016-01-28,167.205078125
2016-01-29,162.37620544433594
2016-02-01,155.9226837158203
2016-02-02,152.8990020751953
2016-02-03,149.8753204345703
2016-02-04,146.98704528808594
2016-02-05,151.81590270996094
2016-02-08,155.3811492919922
2016-02-09,150.77792358398438
2016-02-10,143.5120391845703
2016-02-11,139.22474670410156
2016-02-12,139.72117614746094
2016-02-15,151.5
2016-02-16,141.16529846191406
2016-02-17,143.46693420410156
2016-02-18,144.23414611816406
2016-02-19,148.65682983398438
2016-02-22,148.8824920654297
2016-02-23,143.06076049804688
2016-02-24,141.07508850097656
2016-02-25,137.01339721679688
2016-02-26,140.71401977539062
2016-02-29,143.2864227294922
2016-03-01,146.26495361328125
