Date,TATAELXSI.NS
2015-08-21,932.5743408203125
2015-08-24,766.2042846679688
2015-08-25,799.5824584960938
2015-08-26,810.9725952148438
2015-08-27,839.2557983398438
2015-08-28,844.6226196289062
2015-08-31,832.6209716796875
2015-09-01,818.55859375
2015-09-02,837.1724853515625
2015-09-03,845.4605102539062
2015-09-04,801.2128295898438
2015-09-07,780.7421264648438
2015-09-08,851.7783813476562
2015-09-09,882.2805786132812
2015-09-10,873.0870361328125
2015-09-11,893.2632446289062
2015-09-14,905.4234619140625
2015-09-15,868.1956176757812
2015-09-16,843.1052856445312
2015-09-18,850.0798950195312
2015-09-21,868.3994140625
2015-09-22,851.2574462890625
2015-09-23,857.8696899414062
2015-09-24,854.4050903320312
2015-09-28,852.2764282226562
2015-09-29,847.0455322265625
2015-09-30,851.416015625
2015-10-01,851.7103881835938
2015-10-05,879.9935302734375
2015-10-06,884.2733154296875
2015-10-07,868.0372314453125
2015-10-08,839.5050048828125
2015-10-09,826.5748291015625
2015-10-12,807.6665649414062
2015-10-13,834.4325561523438
2015-10-14,836.90087890625
2015-10-15,825.1708374023438
2015-10-16,835.5874633789062
2015-10-19,834.2739868164062
2015-10-20,845.551025390625
2015-10-21,843.2638549804688
2015-10-23,837.5348510742188
2015-10-26,832.4398803710938
2015-10-27,838.3273315429688
2015-10-28,842.1769409179688
2015-10-29,839.9124755859375
2015-10-30,827.2088623046875
2015-11-02,823.9027709960938
2015-11-03,822.09130859375
2015-11-04,822.9969482421875
2015-11-05,797.54443359375
2015-11-06,795.076171875
2015-11-09,830.379150390625
2015-11-10,802.5942993164062
2015-11-13,799.5824584960938
2015-11-16,815.22998046875
2015-11-17,808.0061645507812
2015-11-18,787.467529296875
2015-11-19,802.8432006835938
2015-11-20,798.02001953125
2015-11-23,836.7196044921875
2015-11-24,845.120849609375
2015-11-26,850.3516845703125
2015-11-27,888.1456909179688
2015-11-30,916.519287109375
2015-12-01,908.0274658203125
2015-12-02,892.266845703125
2015-12-03,904.3365478515625
2015-12-04,894.9842529296875
2015-12-07,896.6373291015625
2015-12-08,885.9036865234375
2015-12-09,836.946044921875
2015-12-10,878.1593627929688
2015-12-11,901.0303955078125
2015-12-14,962.4879150390625
2015-12-15,990.4541015625
2015-12-16,985.744140625
2015-12-17,1019.642822265625
2015-12-18,994.8018798828125
2015-12-21,1000.7346801757812
2015-12-22,1024.1494140625
2015-12-23,1034.113037109375
2015-12-24,1027.09326171875
2015-12-28,1017.4464721679688
2015-12-29,1022.2698364257812
2015-12-30,1015.8387451171875
2015-12-31,1016.314453125
2016-01-01,1019.3487548828125
2016-01-04,1001.7764892578125
2016-01-05,987.3291625976562
2016-01-06,981.9849853515625
2016-01-07,943.6022338867188
2016-01-08,929.4495239257812
2016-01-11,916.9722290039062
2016-01-12,914.07373046875
2016-01-13,875.2608032226562
2016-01-14,856.1259765625
2016-01-15,807.4627075195312
2016-01-18,753.9080810546875
2016-01-19,782.825439453125
2016-01-20,770.4160766601562
2016-01-21,775.9866943359375
2016-01-22,796.3216552734375
2016-01-25,827.322021484375
2016-01-27,885.0433959960938
