Date,VOE.VI
2015-08-24,22.366241455078125
2015-08-25,23.70446014404297
2015-08-26,23.18001937866211
2015-08-27,24.23250389099121
2015-08-28,24.3265438079834
2015-08-31,23.581485748291016
2015-09-01,23.14385414123535
2015-09-02,22.984712600708008
2015-09-03,24.23250389099121
2015-09-04,23.75147247314453
2015-09-07,24.06613540649414
2015-09-08,24.095069885253906
2015-09-09,24.416961669921875
2015-09-10,24.05889892578125
2015-09-11,23.96486473083496
2015-09-14,23.802108764648438
2015-09-15,23.950397491455078
2015-09-16,24.265060424804688
2015-09-17,23.932310104370117
2015-09-18,23.245121002197266
2015-09-21,22.908761978149414
2015-09-22,21.81287384033203
2015-09-23,22.08413314819336
2015-09-24,21.7550048828125
2015-09-25,21.990097045898438
2015-09-28,21.100364685058594
2015-09-29,21.660968780517578
2015-09-30,22.207103729248047
2015-10-01,22.369857788085938
2015-10-02,22.64473533630371
2015-10-05,23.29937171936035
2015-10-06,23.66828727722168
2015-10-07,23.950397491455078
2015-10-08,23.61041831970215
2015-10-09,23.802108764648438
2015-10-12,23.812959671020508
2015-10-13,23.241506576538086
2015-10-14,23.809343338012695
2015-10-15,23.96486473083496
2015-10-16,24.05528450012207
2015-10-19,23.83104133605957
2015-10-20,23.784029006958008
2015-10-21,24.080602645874023
2015-10-22,24.811195373535156
2015-10-23,24.901613235473633
2015-10-27,23.22342300415039
2015-10-28,23.5091495513916
2015-10-29,23.425960540771484
2015-10-30,23.823806762695312
2015-11-02,24.304840087890625
2015-11-03,24.879913330078125
2015-11-04,24.116769790649414
2015-11-05,23.773176193237305
2015-11-06,23.639354705810547
2015-11-09,24.19272232055664
2015-11-10,23.87082862854004
2015-11-11,22.619417190551758
2015-11-12,21.198017120361328
2015-11-13,20.89059066772461
2015-11-16,20.977394104003906
2015-11-17,21.122068405151367
2015-11-18,21.447574615478516
2015-11-19,21.834571838378906
2015-11-20,22.424110412597656
2015-11-23,22.254119873046875
2015-11-24,21.70798683166504
2015-11-25,21.404176712036133
2015-11-26,22.39517593383789
2015-11-27,22.44942855834961
2015-11-30,22.279438018798828
2015-12-01,22.019031524658203
2015-12-02,21.556079864501953
2015-12-03,21.534379959106445
2015-12-04,21.339073181152344
2015-12-07,21.002710342407227
2015-12-09,20.112979888916016
2015-12-10,20.666349411010742
2015-12-11,19.91044044494629
2015-12-14,19.3968563079834
2015-12-15,19.838106155395508
2015-12-16,20.065961837768555
2015-12-17,19.530675888061523
2015-12-18,19.407705307006836
2015-12-21,19.461957931518555
2015-12-22,19.67534828186035
2015-12-23,20.337221145629883
2015-12-28,20.36615753173828
2015-12-29,20.304672241210938
2015-12-30,20.50359344482422
2016-01-04,19.758533477783203
2016-01-05,20.00086212158203
2016-01-07,19.273883819580078
2016-01-08,18.34075355529785
2016-01-11,18.29734992980957
2016-01-12,18.405853271484375
2016-01-13,18.210546493530273
2016-01-14,18.083959579467773
2016-01-15,17.60654640197754
2016-01-18,17.37145233154297
2016-01-19,17.73313331604004
2016-01-20,16.843399047851562
2016-01-21,17.537824630737305
2016-01-22,17.88503646850586
2016-01-25,17.700580596923828
2016-01-26,18.290117263793945
2016-01-27,17.671648025512695
2016-01-28,17.97545623779297
2016-01-29,17.534208297729492
2016-02-01,17.3316650390625
2016-02-02,17.089340209960938
2016-02-03,16.926586151123047
2016-02-04,17.469104766845703
2016-02-05,17.59930992126465
2016-02-08,17.1472110748291
2016-02-09,16.492570877075195
2016-02-10,16.28641700744629
2016-02-11,16.44917106628418
2016-02-12,18.409473419189453
2016-02-15,19.187082290649414
2016-02-16,18.88327407836914
2016-02-17,19.393238067626953
2016-02-18,19.103893280029297
2016-02-19,19.165380477905273
2016-02-22,19.747684478759766
2016-02-23,19.04241371154785
2016-02-24,18.49989128112793
2016-02-25,18.405853271484375
2016-02-26,18.80370330810547
2016-02-29,19.313671112060547
2016-03-01,19.946609497070312
2016-03-02,20.427642822265625
2016-03-03,20.633800506591797
2016-03-04,21.346303939819336
2016-03-07,21.212486267089844
2016-03-08,20.82187271118164
2016-03-09,20.85442352294922
2016-03-10,20.561464309692383
2016-03-11,21.114835739135742
2016-03-14,21.585018157958984
2016-03-15,21.122068405151367
2016-03-16,20.908676147460938
2016-03-17,21.353538513183594
2016-03-18,21.841806411743164
2016-03-21,21.263120651245117
2016-03-22,20.90144157409668
2016-03-23,20.673583984375
2016-03-24,20.055112838745117
2016-03-29,20.098512649536133
2016-03-30,21.035263061523438
2016-03-31,21.270355224609375
2016-04-01,21.54161262512207
2016-04-04,20.76761817932129
2016-04-05,20.50359344482422
2016-04-06,20.586780548095703
2016-04-07,19.859806060791016
2016-04-08,20.275737762451172
2016-04-11,20.25403594970703
2016-04-12,20.554229736328125
2016-04-13,21.581398010253906
2016-04-14,21.68628692626953
2016-04-15,21.65373420715332
2016-04-18,21.512680053710938
2016-04-19,22.604948043823242
2016-04-20,22.832807540893555
2016-04-21,22.456663131713867
2016-04-22,23.082366943359375
2016-04-25,22.604948043823242
2016-04-26,22.185400009155273
2016-04-27,22.608566284179688
2016-04-28,23.002798080444336
2016-04-29,22.771326065063477
2016-05-02,22.568782806396484
2016-05-03,21.82010841369629
2016-05-04,22.387941360473633
2016-05-06,22.572399139404297
2016-05-09,20.79655647277832
2016-05-10,20.398706436157227
2016-05-11,20.937606811523438
2016-05-12,20.521678924560547
2016-05-13,20.789321899414062
2016-05-17,21.172700881958008
2016-05-18,21.310136795043945
2016-05-19,20.80378532409668
2016-05-20,20.666349411010742
2016-05-23,20.626567840576172
2016-05-24,21.16546630859375
