Date,ITSA4.SA
2015-08-24,2.3867337703704834
2015-08-25,2.3900909423828125
2015-08-26,2.5310795307159424
2015-08-27,2.6082863807678223
2015-08-28,2.524364471435547
2015-08-31,2.443801164627075
2015-09-01,2.425278425216675
2015-09-02,2.4420969486236572
2015-09-03,2.5160984992980957
2015-09-04,2.455552339553833
2015-09-08,2.4690067768096924
2015-09-09,2.4959170818328857
2015-09-10,2.4219141006469727
2015-09-11,2.489189386367798
2015-09-14,2.6102852821350098
2015-09-15,2.5934665203094482
2015-09-16,2.647286891937256
2015-09-17,2.6540122032165527
2015-09-18,2.5396461486816406
2015-09-21,2.4757344722747803
2015-09-22,2.5060086250305176
2015-09-23,2.4219141006469727
2015-09-24,2.4050943851470947
2015-09-25,2.3546390533447266
2015-09-28,2.361366033554077
2015-09-29,2.361366033554077
2015-09-30,2.401730537414551
2015-10-01,2.4286420345306396
2015-10-02,2.4959170818328857
2015-10-05,2.5531013011932373
2015-10-06,2.5901026725769043
2015-10-07,2.670832872390747
2015-10-08,2.6809239387512207
2015-10-09,2.7011067867279053
2015-10-13,2.596830368041992
2015-10-14,2.536282777786255
2015-10-15,2.526190996170044
2015-10-16,2.482461929321289
2015-10-19,2.529555082321167
2015-10-20,2.4959170818328857
2015-10-21,2.492554187774658
2015-10-22,2.529555082321167
2015-10-23,2.5127360820770264
2015-10-26,2.4757344722747803
2015-10-27,2.455552339553833
2015-10-28,2.438732624053955
2015-10-29,2.401730537414551
2015-10-30,2.4219141006469727
2015-11-03,2.526190996170044
2015-11-04,2.543010711669922
2015-11-05,2.5833754539489746
2015-11-06,2.5228264331817627
2015-11-09,2.4723703861236572
2015-11-10,2.4723703861236572
2015-11-11,2.526190996170044
2015-11-12,2.5396461486816406
2015-11-13,2.489189386367798
2015-11-16,2.5060086250305176
2015-11-17,2.543010711669922
2015-11-18,2.5665552616119385
2015-11-19,2.6069211959838867
2015-11-23,2.600193977355957
2015-11-24,2.6102852821350098
2015-11-25,2.485825538635254
2015-11-26,2.5329182147979736
2015-11-27,2.4723703861236572
2015-11-30,2.438732624053955
2015-12-01,2.504439115524292
2015-12-02,2.460620880126953
2015-12-03,2.561741352081299
2015-12-04,2.534775972366333
2015-12-07,2.50780987739563
2015-12-08,2.490957021713257
2015-12-09,2.615673542022705
2015-12-10,2.608952760696411
2015-12-11,2.5918326377868652
2015-12-14,2.513084888458252
2015-12-15,2.526780843734741
2015-12-16,2.509662389755249
2015-12-17,2.5712900161743164
2015-12-18,2.4480321407318115
2015-12-21,2.4035227298736572
2015-12-22,2.41379451751709
2015-12-23,2.3966758251190186
2015-12-28,2.389828681945801
2015-12-29,2.389828681945801
2015-12-30,2.3555898666381836
2016-01-04,2.2597224712371826
2016-01-05,2.297384023666382
2016-01-06,2.317927837371826
2016-01-07,2.2836902141571045
2016-01-08,2.2836902141571045
2016-01-11,2.256298303604126
2016-01-12,2.2289085388183594
2016-01-13,2.235755443572998
2016-01-14,2.2460269927978516
2016-01-15,2.2083654403686523
2016-01-18,2.1980948448181152
2016-01-19,2.1741275787353516
2016-01-20,2.150160551071167
2016-01-21,2.157007932662964
2016-01-22,2.1912457942962646
2016-01-26,2.2254838943481445
2016-01-27,2.2289085388183594
2016-01-28,2.276841402053833
2016-01-29,2.3555898666381836
2016-02-01,2.3692843914031982
2016-02-02,2.1741275787353516
2016-02-03,2.2871134281158447
