Date,ES
2015-08-03,35.56138610839844
2015-08-04,35.0263671875
2015-08-05,35.126224517822266
2015-08-06,35.33311080932617
2015-08-07,35.52571105957031
2015-08-10,35.68265914916992
2015-08-11,35.96088409423828
2015-08-12,36.31755065917969
2015-08-13,36.23195266723633
2015-08-14,36.51015853881836
2015-08-17,36.8169059753418
2015-08-18,36.717044830322266
2015-08-19,36.866851806640625
2015-08-20,36.82404708862305
2015-08-21,36.4102897644043
2015-08-24,34.89795684814453
2015-08-25,33.706642150878906
2015-08-26,34.29872512817383
2015-08-27,34.66255187988281
2015-08-28,34.44852828979492
2015-08-31,33.69949722290039
2015-09-01,32.86485290527344
2015-09-02,32.92192840576172
2015-09-03,33.143070220947266
2015-09-04,32.62944793701172
2015-09-08,33.157325744628906
2015-09-09,32.72218704223633
2015-09-10,32.75673294067383
2015-09-11,33.18149185180664
2015-09-14,33.29669952392578
2015-09-15,33.62065887451172
2015-09-16,33.62784957885742
2015-09-17,34.31177520751953
2015-09-18,33.995018005371094
2015-09-21,34.203792572021484
2015-09-22,34.174991607666016
2015-09-23,34.3549690246582
2015-09-24,34.67893981933594
2015-09-25,35.19731140136719
2015-09-28,35.34128189086914
2015-09-29,35.49245834350586
2015-09-30,36.442771911621094
2015-10-01,35.93881607055664
2015-10-02,36.36356735229492
2015-10-05,36.7883415222168
2015-10-06,36.45716094970703
2015-10-07,36.29878234863281
2015-10-08,36.7667350769043
2015-10-09,36.44995880126953
2015-10-12,36.84592819213867
2015-10-13,36.68034744262695
2015-10-14,36.896331787109375
2015-10-15,37.31387710571289
2015-10-16,37.60905838012695
2015-10-19,37.421871185302734
2015-10-20,37.580257415771484
2015-10-21,37.479461669921875
2015-10-22,37.94022750854492
2015-10-23,37.23468780517578
2015-10-26,37.472267150878906
2015-10-27,37.38587188720703
2015-10-28,36.69474411010742
2015-10-29,36.54356384277344
2015-10-30,36.67314910888672
2015-11-02,36.68754959106445
2015-11-03,37.040313720703125
2015-11-04,37.1411018371582
2015-11-05,37.07630157470703
2015-11-06,35.2908821105957
2015-11-09,35.52845764160156
2015-11-10,36.262786865234375
2015-11-11,36.7667350769043
2015-11-12,36.161991119384766
2015-11-13,35.852420806884766
2015-11-16,36.69474411010742
2015-11-17,35.74443817138672
2015-11-18,36.42836380004883
2015-11-19,36.745140075683594
2015-11-20,37.03310775756836
2015-11-23,36.8099365234375
2015-11-24,36.464378356933594
2015-11-25,36.25559997558594
2015-11-27,36.37798309326172
2015-11-30,36.68034744262695
2015-12-01,36.550758361816406
2015-12-02,35.802032470703125
2015-12-03,35.506866455078125
2015-12-04,36.44995880126953
2015-12-07,36.84592819213867
2015-12-08,36.79553985595703
2015-12-09,36.60114669799805
2015-12-10,35.4672966003418
2015-12-11,35.503597259521484
2015-12-14,35.70684814453125
2015-12-15,36.09157943725586
2015-12-16,37.129600524902344
2015-12-17,37.543357849121094
2015-12-18,36.621482849121094
2015-12-21,36.34564208984375
2015-12-22,36.79570007324219
2015-12-23,37.485294342041016
2015-12-24,37.557884216308594
2015-12-28,37.63047790527344
2015-12-29,37.674034118652344
2015-12-30,37.63772964477539
2015-12-31,37.071537017822266
2016-01-04,36.93360900878906
2016-01-05,37.274784088134766
2016-01-06,37.35463333129883
2016-01-07,37.12234878540039
2016-01-08,36.89006042480469
2016-01-11,37.04249954223633
2016-01-12,37.10782241821289
2016-01-13,37.238502502441406
2016-01-14,37.64498519897461
2016-01-15,37.3038215637207
2016-01-19,38.17490005493164
2016-01-20,37.129600524902344
2016-01-21,36.715850830078125
2016-01-22,37.44173812866211
2016-01-25,37.485294342041016
2016-01-26,37.855506896972656
2016-01-27,37.97890853881836
2016-01-28,38.537837982177734
2016-01-29,39.05323028564453
2016-02-01,39.612159729003906
2016-02-02,39.982383728027344
2016-02-03,40.44696807861328
2016-02-04,39.87348937988281
2016-02-05,39.67751693725586
2016-02-08,39.263736724853516
2016-02-09,39.699283599853516
2016-02-10,39.88074493408203
2016-02-11,39.125823974609375
2016-02-12,38.84272766113281
2016-02-16,39.0967903137207
2016-02-17,38.864501953125
2016-02-18,39.532318115234375
2016-02-19,39.684757232666016
2016-02-22,40.17111587524414
2016-02-23,40.534053802490234
2016-02-24,40.817161560058594
2016-02-25,41.12929916381836
2016-02-26,39.75735855102539
2016-02-29,39.739051818847656
2016-03-01,39.687835693359375
2016-03-02,39.76831817626953
2016-03-03,39.980567932128906
2016-03-04,40.64653778076172
2016-03-07,41.06370162963867
2016-03-08,41.48815155029297
2016-03-09,41.61989212036133
2016-03-10,41.349117279052734
2016-03-11,41.385704040527344
2016-03-14,41.524757385253906
2016-03-15,41.532081604003906
2016-03-16,42.000450134277344
2016-03-17,42.32978057861328
2016-03-18,41.85408020019531
2016-03-21,41.97118377685547
2016-03-22,42.06631088256836
2016-03-23,42.395633697509766
2016-03-24,42.32245635986328
2016-03-28,42.2785530090332
2016-03-29,42.834754943847656
2016-03-30,42.732295989990234
2016-03-31,42.69570541381836
2016-04-01,43.03234100341797
2016-04-04,42.878662109375
2016-04-05,41.77357482910156
2016-04-06,41.63453674316406
2016-04-07,41.568660736083984
2016-04-08,41.75163269042969
2016-04-11,41.444244384765625
2016-04-12,41.47351837158203
2016-04-13,41.03440475463867
2016-04-14,41.05638122558594
2016-04-15,41.51011657714844
2016-04-18,41.8028564453125
2016-04-19,41.74430465698242
2016-04-20,40.71973419189453
2016-04-21,40.2659797668457
2016-04-22,40.54408645629883
2016-04-25,40.61726379394531
2016-04-26,40.514801025390625
2016-04-27,41.01976776123047
