Date,KMB
2015-08-03,82.80968475341797
2015-08-04,83.03157806396484
2015-08-05,84.18404388427734
2015-08-06,83.50404357910156
2015-08-07,83.53980255126953
2015-08-10,83.6758041381836
2015-08-11,83.48970031738281
2015-08-12,82.78107452392578
2015-08-13,82.8741226196289
2015-08-14,83.1461181640625
2015-08-17,83.1962661743164
2015-08-18,83.06022644042969
2015-08-19,82.58065032958984
2015-08-20,81.63581085205078
2015-08-21,79.74613189697266
2015-08-24,76.14568328857422
2015-08-25,73.97686004638672
2015-08-26,76.0025405883789
2015-08-27,77.11200714111328
2015-08-28,76.73979187011719
2015-08-31,76.25303649902344
2015-09-01,74.46360778808594
2015-09-02,75.64751434326172
2015-09-03,76.26112365722656
2015-09-04,74.73069763183594
2015-09-08,76.50656127929688
2015-09-09,74.98336791992188
2015-09-10,74.83175659179688
2015-09-11,75.1133041381836
2015-09-14,74.91840362548828
2015-09-15,76.26112365722656
2015-09-16,77.43058776855469
2015-09-17,77.84929656982422
2015-09-18,77.85651397705078
2015-09-21,78.5206527709961
2015-09-22,77.84929656982422
2015-09-23,77.86370086669922
2015-09-24,78.0875015258789
2015-09-25,78.47736358642578
2015-09-28,77.10574340820312
2015-09-29,77.77708435058594
2015-09-30,78.71556854248047
2015-10-01,78.49898529052734
2015-10-02,78.78775024414062
2015-10-05,80.86680603027344
2015-10-06,80.46977996826172
2015-10-07,80.8740463256836
2015-10-08,82.15177917480469
2015-10-09,82.82313537597656
2015-10-12,83.3284683227539
2015-10-13,83.05416107177734
2015-10-14,82.80870819091797
2015-10-15,83.83380889892578
2015-10-16,84.66397094726562
2015-10-19,84.78670501708984
2015-10-20,84.62068939208984
2015-10-21,85.24873352050781
2015-10-22,87.2050552368164
2015-10-23,87.52269744873047
2015-10-26,87.59488677978516
2015-10-27,87.37833404541016
2015-10-28,87.24838256835938
2015-10-29,87.90528869628906
2015-10-30,86.41820526123047
2015-11-02,87.75371551513672
2015-11-03,87.37109375
2015-11-04,86.5264663696289
2015-11-05,86.5409164428711
2015-11-06,85.60246276855469
2015-11-09,85.19818878173828
2015-11-10,85.84789276123047
2015-11-11,86.16553497314453
2015-11-12,84.95996856689453
2015-11-13,84.6928482055664
2015-11-16,86.28824615478516
2015-11-17,86.03558349609375
2015-11-18,87.3061294555664
2015-11-19,87.82589721679688
2015-11-20,86.79358673095703
2015-11-23,87.77535247802734
2015-11-24,87.4288330078125
2015-11-25,86.96684265136719
2015-11-27,87.24114227294922
2015-11-30,86.01392364501953
2015-12-01,87.44327545166016
2015-12-02,87.09423065185547
2015-12-03,85.98892211914062
2015-12-04,88.20683288574219
2015-12-07,88.79582214355469
2015-12-08,88.39590454101562
2015-12-09,87.4651107788086
2015-12-10,87.50146484375
2015-12-11,86.67974090576172
2015-12-14,89.18851470947266
2015-12-15,90.49018096923828
2015-12-16,91.56637573242188
2015-12-17,91.50822448730469
2015-12-18,89.8357162475586
2015-12-21,90.83924102783203
2015-12-22,91.89360809326172
2015-12-23,92.39537811279297
2015-12-24,92.26447296142578
2015-12-28,93.24617004394531
2015-12-29,94.19878387451172
2015-12-30,94.11878204345703
2015-12-31,92.56991577148438
2016-01-04,91.9736328125
2016-01-05,93.86427307128906
2016-01-06,93.82067108154297
2016-01-07,92.24995422363281
2016-01-08,91.06462860107422
2016-01-11,91.41365814208984
2016-01-12,91.7190933227539
2016-01-13,91.23188018798828
2016-01-14,92.50443267822266
2016-01-15,91.15917205810547
2016-01-19,91.53731536865234
2016-01-20,89.94479370117188
2016-01-21,90.86103820800781
2016-01-22,92.14813232421875
2016-01-25,89.21761322021484
2016-01-26,90.81739807128906
2016-01-27,90.315673828125
2016-01-28,91.8209228515625
2016-01-29,93.38433074951172
2016-02-01,93.8133773803711
2016-02-02,93.0862045288086
2016-02-03,94.80232238769531
2016-02-04,93.62432098388672
2016-02-05,93.9151611328125
2016-02-08,94.11878204345703
2016-02-09,95.10774230957031
2016-02-10,94.50418853759766
2016-02-11,91.92999267578125
2016-02-12,93.53705596923828
2016-02-16,93.59524536132812
2016-02-17,94.89685821533203
2016-02-18,94.3514633178711
2016-02-19,94.845947265625
2016-02-22,95.5295181274414
2016-02-23,95.64586639404297
2016-02-24,96.24217224121094
2016-02-25,97.07842254638672
2016-02-26,95.4786376953125
2016-02-29,94.75143432617188
2016-03-01,95.72584533691406
2016-03-02,96.34832763671875
2016-03-03,96.39225769042969
2016-03-04,97.05863952636719
2016-03-07,96.36294555664062
2016-03-08,96.91949462890625
2016-03-09,96.6412124633789
2016-03-10,96.5753402709961
2016-03-11,97.5053482055664
2016-03-14,98.65503692626953
2016-03-15,98.58914184570312
2016-03-16,99.02851867675781
2016-03-17,99.59973907470703
2016-03-18,99.25553131103516
2016-03-21,99.05046081542969
2016-03-22,97.8641586303711
2016-03-23,98.11314392089844
2016-03-24,97.79824829101562
2016-03-28,98.30352783203125
2016-03-29,98.8527603149414
2016-03-30,99.38001251220703
2016-03-31,98.50125885009766
2016-04-01,99.73884582519531
2016-04-04,99.78278350830078
2016-04-05,99.77545166015625
2016-04-06,100.52239990234375
2016-04-07,100.068359375
2016-04-08,100.68347930908203
2016-04-11,100.50775146484375
2016-04-12,101.15216827392578
2016-04-13,99.3433837890625
2016-04-14,99.62165069580078
2016-04-15,99.93656158447266
2016-04-18,100.068359375
2016-04-19,100.40522766113281
2016-04-20,99.33606719970703
2016-04-21,96.48013305664062
2016-04-22,92.9138412475586
2016-04-25,92.42318725585938
2016-04-26,90.66569519042969
2016-04-27,92.04972839355469
