Date,POST.VI
2015-08-24,19.198421478271484
2015-08-25,19.238529205322266
2015-08-26,19.138267517089844
2015-08-27,19.61092185974121
2015-08-28,19.857276916503906
2015-08-31,19.671079635620117
2015-09-01,19.43045425415039
2015-09-02,19.315874099731445
2015-09-03,19.78852653503418
2015-09-04,19.381759643554688
2015-09-07,19.252851486206055
2015-09-08,19.338788986206055
2015-09-09,19.12394905090332
2015-09-10,19.11248779296875
2015-09-11,18.539569854736328
2015-09-14,18.748685836791992
2015-09-15,18.768733978271484
2015-09-16,18.777332305908203
2015-09-17,18.625507354736328
2015-09-18,18.636966705322266
2015-09-21,18.54816436767578
2015-09-22,18.061185836791992
2015-09-23,18.001028060913086
2015-09-24,17.293476104736328
2015-09-25,17.468215942382812
2015-09-28,17.01561164855957
2015-09-29,17.17889404296875
2015-09-30,17.577070236206055
2015-10-01,17.473947525024414
2015-10-02,17.50832176208496
2015-10-05,18.04399871826172
2015-10-06,18.22446632385254
2015-10-07,18.12993621826172
2015-10-08,18.390609741210938
2015-10-09,18.70857810974121
2015-10-12,18.599727630615234
2015-10-13,18.22446632385254
2015-10-14,18.276029586791992
2015-10-15,18.416393280029297
2015-10-16,18.26170539855957
2015-10-19,18.250247955322266
2015-10-20,18.149988174438477
2015-10-21,18.65701675415039
2015-10-22,19.017953872680664
2015-10-23,19.456233978271484
2015-10-27,19.17837142944336
2015-10-28,19.510662078857422
2015-10-29,19.61092185974121
2015-10-30,18.96352767944336
2015-11-02,19.221338272094727
2015-11-03,19.14972496032715
2015-11-04,19.31873893737793
2015-11-05,19.40180778503418
2015-11-06,19.313007354736328
2015-11-09,19.353113174438477
2015-11-10,18.96352767944336
2015-11-11,19.16977882385254
2015-11-12,19.34451675415039
2015-11-13,19.310144424438477
2015-11-16,19.29295539855957
2015-11-17,19.207021713256836
2015-11-18,19.44191551208496
2015-11-19,19.479154586791992
2015-11-20,19.59660530090332
2015-11-23,19.3301944732666
2015-11-24,19.335920333862305
2015-11-25,19.404674530029297
2015-11-26,19.444778442382812
2015-11-27,19.576549530029297
2015-11-30,19.444778442382812
2015-12-01,19.82863426208496
2015-12-02,19.76561164855957
2015-12-03,19.479154586791992
2015-12-04,19.482019424438477
2015-12-07,19.56509017944336
2015-12-09,19.232797622680664
2015-12-10,19.201290130615234
2015-12-11,19.003633499145508
2015-12-14,18.754417419433594
2015-12-15,18.82602882385254
2015-12-16,19.052331924438477
2015-12-17,19.138267517089844
2015-12-18,18.903371810913086
2015-12-21,18.803110122680664
2015-12-22,18.565349578857422
2015-12-23,19.14113426208496
2015-12-28,19.42186164855957
2015-12-29,19.204153060913086
2015-12-30,19.267175674438477
2016-01-04,18.771602630615234
2016-01-05,18.9864444732666
2016-01-07,18.33331871032715
2016-01-08,18.69139289855957
2016-01-11,18.611186981201172
2016-01-12,18.327590942382812
2016-01-13,18.648422241210938
2016-01-14,18.25311279296875
2016-01-15,17.791913986206055
2016-01-18,17.577070236206055
2016-01-19,17.88071632385254
2016-01-20,17.38800811767578
2016-01-21,17.992435455322266
2016-01-22,18.39634132385254
2016-01-25,18.273164749145508
2016-01-26,18.11847686767578
2016-01-27,18.390609741210938
2016-01-28,18.201549530029297
2016-01-29,18.722902297973633
2016-02-01,18.525245666503906
2016-02-02,18.5510311126709
2016-02-03,18.456499099731445
2016-02-04,18.648422241210938
2016-02-05,18.742956161499023
2016-02-08,18.01821517944336
2016-02-09,17.938007354736328
2016-02-10,18.01821517944336
2016-02-11,17.780454635620117
2016-02-12,17.995298385620117
2016-02-15,18.857540130615234
2016-02-16,18.9005069732666
2016-02-17,19.015090942382812
2016-02-18,19.07811164855957
2016-02-19,19.05805778503418
2016-02-22,19.590871810913086
2016-02-23,19.204153060913086
2016-02-24,19.132537841796875
2016-02-25,19.32733154296875
2016-02-26,19.40753746032715
2016-02-29,18.95779800415039
2016-03-01,19.315874099731445
2016-03-02,19.479154586791992
2016-03-03,19.060924530029297
2016-03-04,19.39321517944336
2016-03-07,19.877328872680664
2016-03-08,19.99191665649414
2016-03-09,19.851547241210938
2016-03-10,19.619516372680664
2016-03-11,20.135143280029297
2016-03-14,20.613525390625
2016-03-15,20.667949676513672
2016-03-16,20.85701560974121
2016-03-17,20.82550621032715
2016-03-18,20.922901153564453
2016-03-21,20.95154571533203
2016-03-22,20.679414749145508
2016-03-23,20.381494522094727
2016-03-24,20.22394561767578
2016-03-29,19.82290267944336
2016-03-30,20.24399757385254
2016-03-31,20.470294952392578
2016-04-01,20.370037078857422
2016-04-04,20.370037078857422
2016-04-05,20.169519424438477
2016-04-06,20.25832176208496
2016-04-07,20.092174530029297
2016-04-08,20.358579635620117
2016-04-11,20.235403060913086
2016-04-12,20.329933166503906
2016-04-13,20.54764175415039
2016-04-14,20.37576675415039
2016-04-15,20.424467086791992
2016-04-18,20.4044132232666
2016-04-19,20.805452346801758
2016-04-20,20.78826332092285
2016-04-21,20.64504051208496
2016-04-22,20.63071632385254
2016-04-25,20.782535552978516
2016-04-26,20.522188186645508
2016-04-27,20.63117027282715
2016-04-28,20.528240203857422
2016-04-29,20.652362823486328
2016-05-02,20.782535552978516
2016-05-03,20.33146858215332
2016-05-04,20.30422019958496
2016-05-06,20.240646362304688
2016-05-09,20.428340911865234
2016-05-10,20.40109634399414
2016-05-11,20.5040225982666
2016-05-12,20.458616256713867
2016-05-13,19.680593490600586
2016-05-17,19.91975212097168
2016-05-18,19.871313095092773
2016-05-19,19.411161422729492
2016-05-20,19.374834060668945
2016-05-23,19.595829010009766
2016-05-24,19.701784133911133
